team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Tampa Bay Buccaneers,Chase McLaughlin,1/2,50.0,57,1/1,4
Buffalo Bills,Tyler Bass,1/1,100.0,37,3/3,6
Los Angeles Rams,Lucas Havrisik,2/2,100.0,47,0/0,6
Dallas Cowboys,Brandon Aubrey,2/2,100.0,58,5/5,11
Minnesota Vikings,Greg Joseph,1/3,33.0,25,3/3,6
Green Bay Packers,Anders Carlson,1/1,100.0,30,1/1,4
Atlanta Falcons,Younghoe Koo,3/3,100.0,49,2/2,11
Tennessee Titans,Nick Folk,0/0,0.0,0,4/4,4
New Orleans Saints,Blake Grupe,1/1,100.0,27,5/5,8
Indianapolis Colts,Matt Gay,2/2,100.0,42,3/3,9
New England Patriots,Chad Ryland,1/1,100.0,38,2/2,5
Miami Dolphins,Jason Sanders,1/1,100.0,30,4/4,7
New York Jets,Greg Zuerlein,2/2,100.0,35,1/1,7
New York Giants,Graham Gano,1/3,33.0,31,1/1,4
Jacksonville Jaguars,Brandon McManus,4/4,100.0,51,0/0,12
Pittsburgh Steelers,Chris Boswell,1/2,50.0,22,1/1,4
Philadelphia Eagles,Jake Elliott,1/1,100.0,51,5/5,8
Washington Commanders,Joey Slye,1/1,100.0,61,4/4,7
Houston Texans,Ka'imi Fairbairn,0/0,0.0,0,1/1,1
Carolina Panthers,Eddy Pineiro,3/3,100.0,46,0/1,9
Cleveland Browns,Dustin Hopkins,2/2,100.0,27,2/2,8
Seattle Seahawks,Jason Myers,1/1,100.0,32,3/3,6
Kansas City Chiefs,Harrison Butker,3/3,100.0,56,0/0,9
Denver Broncos,Wil Lutz,1/2,50.0,28,3/3,6
Baltimore Ravens,Justin Tucker,1/2,50.0,48,4/4,7
Arizona Cardinals,Matt Prater,1/1,100.0,47,1/1,4
Cincinnati Bengals,Evan McPherson,1/2,50.0,56,4/4,7
San Francisco 49ers,Jake Moody,1/1,100.0,36,2/2,5
Chicago Bears,Cairo Santos,0/0,0.0,0,1/1,1
Los Angeles Chargers,Cameron Dicker,3/3,100.0,53,3/3,12
Las Vegas Raiders,Daniel Carlson,0/0,0.0,0,2/2,2
Detroit Lions,Riley Patterson,4/5,80.0,52,2/2,14
