team,player,receptions,receivingYards,yardsPerReception,receivingTouchdowns,longReception,receivingTargets
Tampa Bay Buccaneers,Rachaad White,7,70,10.0,0,20,7
Tampa Bay Buccaneers,Chris Godwin,5,54,10.8,1,31,7
Tampa Bay Buccaneers,Mike Evans,3,39,13.0,1,24,6
Tampa Bay Buccaneers,Cade Otton,4,27,6.8,0,12,6
Tampa Bay Buccaneers,Trey Palmer,3,22,7.3,0,15,6
Tampa Bay Buccaneers,Chase Edmonds,2,16,8.0,0,9,3
Tampa Bay Buccaneers,Rakim Jarrett,1,9,9.0,0,9,3
Tampa Bay Buccaneers,Payne Durham,0,0,0.0,0,0,1
Buffalo Bills,Khalil Shakir,6,92,15.3,0,30,6
Buffalo Bills,Gabe Davis,9,87,9.7,1,16,12
Buffalo Bills,Stefon Diggs,9,70,7.8,0,17,12
Buffalo Bills,Dalton Kincaid,5,65,13.0,1,22,7
Buffalo Bills,James Cook,1,6,6.0,0,6,1
Buffalo Bills,Latavius Murray,1,4,4.0,0,4,1
Los Angeles Rams,Darrell Henderson Jr.,3,54,18.0,0,32,3
Los Angeles Rams,Tyler Higbee,5,45,9.0,0,20,7
Los Angeles Rams,Puka Nacua,3,43,14.3,0,22,7
Los Angeles Rams,Tutu Atwell,2,21,10.5,0,20,4
Los Angeles Rams,Cooper Kupp,4,21,5.3,0,9,10
Los Angeles Rams,Ben Skowronek,1,20,20.0,1,20,1
Dallas Cowboys,CeeDee Lamb,12,158,13.2,2,26,14
Dallas Cowboys,Brandin Cooks,3,49,16.3,1,25,4
Dallas Cowboys,Jake Ferguson,4,47,11.8,1,18,4
Dallas Cowboys,Michael Gallup,2,20,10.0,0,14,3
Dallas Cowboys,KaVontae Turpin,1,13,13.0,0,13,2
Dallas Cowboys,Luke Schoonmaker,1,13,13.0,0,13,1
Dallas Cowboys,Rico Dowdle,2,7,3.5,0,5,2
Dallas Cowboys,Tony Pollard,1,2,2.0,0,2,1
Dallas Cowboys,Sean McKeon,0,0,0.0,0,0,1
Dallas Cowboys,Jalen Tolbert,0,0,0.0,0,0,1
Dallas Cowboys,Hunter Luepke,1,-2,-2.0,0,-2,1
Minnesota Vikings,K.J. Osborn,8,99,12.4,0,32,10
Minnesota Vikings,T.J. Hockenson,6,88,14.7,1,23,9
Minnesota Vikings,Jordan Addison,7,82,11.7,1,20,8
Minnesota Vikings,Brandon Powell,1,10,10.0,0,10,3
Minnesota Vikings,Johnny Mundt,1,8,8.0,0,8,1
Minnesota Vikings,Cam Akers,1,6,6.0,0,6,1
Minnesota Vikings,C.J. Ham,1,2,2.0,0,2,1
Minnesota Vikings,Alexander Mattison,1,2,2.0,0,2,1
