team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Los Angeles Chargers,Dustin Hopkins,1/1,100.0,31,3/3,6
Kansas City Chiefs,Matt Ammendola,2/2,100.0,31,3/3,9
New York Jets,Greg Zuerlein,1/1,100.0,57,4/4,7
Cleveland Browns,Cade York,1/1,100.0,22,3/4,6
Washington Commanders,Joey Slye,0/0,0.0,0,1/2,1
Detroit Lions,Austin Seibert,2/2,100.0,48,4/4,10
Tampa Bay Buccaneers,Ryan Succop,2/2,100.0,47,2/2,8
New Orleans Saints,Wil Lutz,1/1,100.0,31,1/1,4
Carolina Panthers,Eddy Pineiro,3/3,100.0,38,1/1,10
New York Giants,Graham Gano,4/4,100.0,56,1/1,13
New England Patriots,Nick Folk,1/2,50.0,28,2/2,5
Pittsburgh Steelers,Chris Boswell,2/2,100.0,52,0/0,6
Jacksonville Jaguars,Riley Patterson,1/1,100.0,52,3/3,6
Miami Dolphins,Jason Sanders,0/0,0.0,0,6/6,6
Baltimore Ravens,Justin Tucker,1/1,100.0,51,5/5,8
Atlanta Falcons,Younghoe Koo,1/2,50.0,26,2/2,5
Los Angeles Rams,Matt Gay,1/1,100.0,20,4/4,7
Seattle Seahawks,Jason Myers,0/0,0.0,0,1/1,1
San Francisco 49ers,Robbie Gould,2/3,67.0,33,3/3,9
Cincinnati Bengals,Evan McPherson,3/3,100.0,50,0/0,9
Dallas Cowboys,Brett Maher,2/2,100.0,54,2/2,8
Houston Texans,Ka'imi Fairbairn,3/3,100.0,44,0/0,9
Denver Broncos,Brandon McManus,3/3,100.0,50,1/1,10
Arizona Cardinals,Matt Prater,0/0,0.0,0,1/1,1
Las Vegas Raiders,Daniel Carlson,3/3,100.0,55,2/2,11
Chicago Bears,Cairo Santos,1/1,100.0,44,1/1,4
Green Bay Packers,Mason Crosby,2/2,100.0,40,3/3,9
Tennessee Titans,Randy Bullock,0/0,0.0,0,1/1,1
Buffalo Bills,Tyler Bass,2/2,100.0,49,5/5,11
Minnesota Vikings,Greg Joseph,0/0,0.0,0,1/1,1
Philadelphia Eagles,Jake Elliott,1/2,50.0,38,3/3,6
