team,player,fumbles,fumblesLost,fumblesRecovered
New York Jets,Joe Flacco,1,1,0
New York Jets,Tyler Conklin,1,0,0
New York Jets,Max Mitchell,0,0,1
Cleveland Browns,Jadeveon Clowney,0,0,1
Washington Commanders,Carson Wentz,1,0,0
Tampa Bay Buccaneers,Tom Brady,1,1,0
Tampa Bay Buccaneers,Carl Nassib,0,0,1
Tampa Bay Buccaneers,Carlton Davis III,0,0,1
New Orleans Saints,Mark Ingram II,1,1,0
New Orleans Saints,Chris Olave,1,1,0
New Orleans Saints,Jameis Winston,1,0,0
New Orleans Saints,Adam Prentice,1,0,0
New Orleans Saints,Demario Davis,0,0,1
New Orleans Saints,James Hurst,0,0,1
Carolina Panthers,Robbie Chosen,1,1,0
Carolina Panthers,Chuba Hubbard,1,1,0
Carolina Panthers,Baker Mayfield,1,0,0
New York Giants,Adoree' Jackson,0,0,1
New York Giants,Dane Belton,0,0,1
New England Patriots,Brenden Schooler,0,0,1
Pittsburgh Steelers,Gunner Olszewski,1,1,0
Indianapolis Colts,Matt Ryan,1,0,0
Indianapolis Colts,Keke Coutee,1,0,0
Indianapolis Colts,Nyheim Hines,0,0,1
Baltimore Ravens,Lamar Jackson,1,0,0
Baltimore Ravens,Mike Davis,0,0,1
Atlanta Falcons,Marcus Mariota,1,1,0
Atlanta Falcons,Drew Dalman,1,0,0
Atlanta Falcons,Darren Hall,0,0,1
Atlanta Falcons,Tyler Allgeier,0,0,1
Los Angeles Rams,Cooper Kupp,1,1,0
Los Angeles Rams,Aaron Donald,0,0,1
Seattle Seahawks,Xavier Crawford,1,1,0
San Francisco 49ers,Jake Brendel,1,0,0
San Francisco 49ers,Deebo Samuel,1,0,1
San Francisco 49ers,Ross Dwelley,0,0,2
Cincinnati Bengals,Joe Burrow,1,0,0
Cincinnati Bengals,DJ Reader,0,0,1
Cincinnati Bengals,Joe Mixon,0,0,1
Dallas Cowboys,Dalton Schultz,1,1,0
Houston Texans,Davis Mills,2,0,0
Houston Texans,A.J. Cann,0,0,2
Arizona Cardinals,Byron Murphy Jr.,0,0,1
Las Vegas Raiders,Hunter Renfrow,2,1,0
Las Vegas Raiders,Foster Moreau,0,0,1
Chicago Bears,Justin Fields,1,0,1
Chicago Bears,Mike Pennel Jr.,0,0,1
Green Bay Packers,Aaron Rodgers,1,1,0
Green Bay Packers,Amari Rodgers,1,0,1
Green Bay Packers,Josh Myers,1,0,0
Green Bay Packers,AJ Dillon,0,0,1
Tennessee Titans,Malik Willis,1,1,0
Tennessee Titans,Kyle Philips,1,1,0
Tennessee Titans,Amani Hooker,1,0,0
Tennessee Titans,Tre Avery,0,0,1
Buffalo Bills,Tyrel Dodson,0,0,1
Buffalo Bills,Boogie Basham,0,0,1
Minnesota Vikings,Kirk Cousins,1,0,0
Minnesota Vikings,Ed Ingram,0,0,1
Philadelphia Eagles,Jalen Hurts,1,0,0
Philadelphia Eagles,Miles Sanders,0,0,1
