team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Chicago Bears,Cairo Santos,3/4,75.0,43,1/1,10
Detroit Lions,Riley Patterson,0/0,0.0,0,2/2,2
Las Vegas Raiders,Daniel Carlson,5/5,100.0,56,3/3,18
Dallas Cowboys,Greg Zuerlein,2/3,67.0,45,1/2,7
Buffalo Bills,Tyler Bass,1/1,100.0,34,4/4,7
Pittsburgh Steelers,Chris Boswell,1/1,100.0,40,1/1,4
Cincinnati Bengals,Evan McPherson,2/2,100.0,51,5/5,11
Tampa Bay Buccaneers,Ryan Succop,1/1,100.0,25,5/5,8
Indianapolis Colts,Michael Badgley,1/1,100.0,45,4/4,7
Carolina Panthers,Zane Gonzalez,1/1,100.0,41,1/1,4
Miami Dolphins,Jason Sanders,2/2,100.0,46,3/4,9
Tennessee Titans,Randy Bullock,0/1,0.0,0,1/2,1
New England Patriots,Nick Folk,5/6,83.0,52,3/3,18
Philadelphia Eagles,Jake Elliott,0/0,0.0,0,1/1,1
New York Giants,Graham Gano,2/3,67.0,39,1/1,7
Atlanta Falcons,Younghoe Koo,0/0,0.0,0,3/3,3
Jacksonville Jaguars,Matthew Wright,2/2,100.0,34,0/0,6
New York Jets,Matt Ammendola,2/3,67.0,37,1/1,7
Houston Texans,Ka'imi Fairbairn,0/1,0.0,0,2/2,2
Los Angeles Chargers,Dustin Hopkins,0/1,0.0,0,1/1,1
Denver Broncos,Brandon McManus,0/0,0.0,0,4/4,4
Los Angeles Rams,Matt Gay,2/2,100.0,39,2/2,8
Green Bay Packers,Mason Crosby,3/4,75.0,45,3/3,12
Minnesota Vikings,Greg Joseph,0/0,0.0,0,2/3,2
San Francisco 49ers,Robbie Gould,2/3,67.0,46,4/4,10
Cleveland Browns,Chase McLaughlin,1/2,50.0,46,1/1,4
Baltimore Ravens,Justin Tucker,3/3,100.0,52,1/1,10
Seattle Seahawks,Jason Myers,0/0,0.0,0,1/1,1
Washington,Joey Slye,1/1,100.0,23,0/1,3
