team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Chicago Bears,Andy Dalton,24/39,317,8.1,1,1,1-7,56.2,85.1
Detroit Lions,Jared Goff,21/25,171,6.8,2,0,1-8,65.1,121.8
Las Vegas Raiders,Derek Carr,24/39,373,9.6,1,0,3-7,84.4,101.8
Dallas Cowboys,Dak Prescott,32/47,375,8.0,2,0,1-2,48.5,106.2
Buffalo Bills,Josh Allen,23/28,260,9.3,4,2,2-12,83.9,115.2
New Orleans Saints,Trevor Siemian,17/29,163,5.6,1,1,2-17,16.3,71.5
New Orleans Saints,Blake Gillikin,0/1,0,0.0,0,0,0-0,--,39.6
Pittsburgh Steelers,Ben Roethlisberger,24/41,263,6.4,1,2,3-13,31.8,65.4
Cincinnati Bengals,Joe Burrow,20/24,190,7.9,1,1,2-18,84.6,96.2
Cincinnati Bengals,Brandon Allen,0/1,0,0.0,0,0,0-0,0.2,39.6
Tampa Bay Buccaneers,Tom Brady,25/34,226,6.6,1,1,2-9,50.4,88.6
Indianapolis Colts,Carson Wentz,27/44,306,7.0,3,2,3-21,73.0,86.0
Carolina Panthers,Cam Newton,5/21,92,4.4,0,2,1-14,9.0,5.8
Carolina Panthers,PJ Walker,5/10,87,8.7,0,1,4-31,2.9,40.4
Miami Dolphins,Tua Tagovailoa,27/31,230,7.4,1,0,2-26,47.7,108.3
Tennessee Titans,Ryan Tannehill,11/21,93,4.4,1,1,2-8,38.1,60.2
New England Patriots,Mac Jones,23/32,310,9.7,2,0,2-21,81.1,123.2
Philadelphia Eagles,Jalen Hurts,14/31,129,4.2,0,3,1-5,20.8,17.5
New York Giants,Daniel Jones,19/30,202,6.7,1,0,1-8,53.2,94.0
Atlanta Falcons,Matt Ryan,19/29,190,6.6,1,1,1-7,36.8,81.1
Jacksonville Jaguars,Trevor Lawrence,23/42,228,5.4,1,1,1-12,25.9,68.4
New York Jets,Zach Wilson,14/24,145,6.0,0,1,4-36,9.9,58.5
Houston Texans,Tyrod Taylor,17/26,158,6.1,2,1,5-52,23.0,91.5
Los Angeles Chargers,Justin Herbert,28/44,303,6.9,2,2,3-18,59.9,80.0
Denver Broncos,Teddy Bridgewater,11/18,129,7.2,1,0,0-0,87.5,101.4
Denver Broncos,Drew Lock,4/7,26,3.7,0,1,1-0,0.2,25.6
Los Angeles Rams,Matthew Stafford,21/38,302,7.9,3,1,2-17,48.6,96.6
Los Angeles Rams,Cooper Kupp,0/1,0,0.0,0,0,0-0,12.9,39.6
Green Bay Packers,Aaron Rodgers,28/45,307,6.8,2,0,1-0,74.8,97.2
Minnesota Vikings,Kirk Cousins,20/32,238,7.4,2,1,1-6,40.4,93.0
Minnesota Vikings,Justin Jefferson,1/1,24,24.0,0,0,0-0,92.9,118.8
San Francisco 49ers,Jimmy Garoppolo,17/26,230,8.8,1,1,2-15,62.4,90.2
Cleveland Browns,Baker Mayfield,18/37,247,6.7,1,0,2-24,44.4,79.4
Cleveland Browns,Jarvis Landry,0/0,0,0.0,0,0,1-1,0.0,0.0
Baltimore Ravens,Lamar Jackson,20/32,165,5.2,1,4,2-10,33.6,46.5
Seattle Seahawks,Russell Wilson,20/31,247,8.0,2,0,2-14,62.4,110.6
Washington,Taylor Heinicke,27/35,223,6.4,1,1,1-4,58.8,90.5
