team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Denver Broncos,Teddy Bridgewater,23/33,187,5.7,2,1,2-5,51.3,91.4
Cleveland Browns,Case Keenum,21/33,199,6.0,1,0,1-5,48.0,90.3
Washington,Taylor Heinicke,25/37,268,7.2,1,1,4-33,35.1,86.3
Green Bay Packers,Aaron Rodgers,27/35,274,7.8,3,0,3-27,82.0,127.6
Kansas City Chiefs,Patrick Mahomes,20/35,206,5.9,0,1,4-31,9.9,62.3
Kansas City Chiefs,Chad Henne,11/16,82,5.1,0,0,0-0,74.1,80.7
Tennessee Titans,Ryan Tannehill,21/27,270,10.0,1,1,1-9,91.5,105.2
Tennessee Titans,Derrick Henry,1/1,5,5.0,1,0,0-0,99.9,127.1
Atlanta Falcons,Matt Ryan,25/40,336,8.4,2,1,1-11,69.6,95.4
Miami Dolphins,Tua Tagovailoa,32/40,291,7.3,4,2,1-10,65.9,109.5
New York Jets,Mike White,20/32,202,6.3,1,2,1-8,57.0,64.8
New York Jets,Zach Wilson,6/10,51,5.1,0,0,1-8,70.9,73.3
New England Patriots,Mac Jones,24/36,307,8.5,2,0,1-8,66.2,111.7
New England Patriots,Brian Hoyer,3/4,79,19.8,0,0,0-0,98.4,116.7
New England Patriots,Kendrick Bourne,1/1,25,25.0,1,0,0-0,100.0,158.3
Carolina Panthers,Sam Darnold,16/25,112,4.5,0,1,3-12,16.3,57.4
Carolina Panthers,PJ Walker,3/14,33,2.4,0,0,3-16,4.5,39.6
New York Giants,Daniel Jones,23/33,203,6.2,1,0,2-20,42.3,95.9
New York Giants,Dante Pettis,1/1,16,16.0,0,0,0-0,94.0,118.8
Cincinnati Bengals,Joe Burrow,23/38,416,10.9,3,1,1-7,81.1,113.5
Baltimore Ravens,Lamar Jackson,15/31,257,8.3,1,0,5-18,49.8,87.7
Baltimore Ravens,Tyler Huntley,5/11,39,3.5,0,0,0-0,22.4,54.7
Philadelphia Eagles,Jalen Hurts,18/34,236,6.9,2,0,2-13,55.2,94.7
Las Vegas Raiders,Derek Carr,31/34,323,9.5,2,1,0-0,79.7,113.6
Detroit Lions,Jared Goff,22/36,268,7.4,1,2,2-7,47.7,70.1
Detroit Lions,Jack Fox,1/1,17,17.0,0,0,0-0,--,118.8
Los Angeles Rams,Matthew Stafford,28/41,334,8.1,3,0,1-7,89.2,117.3
Houston Texans,Davis Mills,23/32,135,4.2,0,0,2-17,22.3,79.6
Arizona Cardinals,Kyler Murray,20/28,261,9.3,3,1,4-36,53.7,121.3
Chicago Bears,Justin Fields,22/32,184,5.8,0,3,4-16,2.7,44.3
Tampa Bay Buccaneers,Tom Brady,20/36,211,5.9,4,0,0-0,92.8,109.8
Tampa Bay Buccaneers,Blaine Gabbert,2/3,15,5.0,0,0,0-0,25.3,78.5
Indianapolis Colts,Carson Wentz,17/26,150,5.8,2,0,1-3,86.8,106.2
San Francisco 49ers,Jimmy Garoppolo,16/27,181,6.7,1,2,2-12,11.2,60.9
New Orleans Saints,Jameis Winston,19/35,222,6.3,1,0,2-12,55.0,83.3
Seattle Seahawks,Geno Smith,12/22,167,7.6,1,0,5-38,29.7,94.3
