team,player,fumbles,fumblesLost,fumblesRecovered
Washington,Taylor Heinicke,2,1,2
Washington,DeAndre Carter,1,0,0
Washington,Antonio Gibson,1,0,0
Washington,Chase Roullier,0,0,1
Washington,Landon Collins,0,0,1
Green Bay Packers,AJ Dillon,2,1,0
Green Bay Packers,Lucas Patrick,0,0,1
Green Bay Packers,Dean Lowry,0,0,1
Kansas City Chiefs,Patrick Mahomes,2,1,0
Kansas City Chiefs,Mecole Hardman,1,1,0
Kansas City Chiefs,Mike Remmers,0,0,1
Tennessee Titans,Matthias Farley,0,0,1
Tennessee Titans,Rashaan Evans,0,0,1
Atlanta Falcons,Matt Ryan,1,1,0
Miami Dolphins,Nik Needham,0,0,1
New York Jets,Michael Carter,1,1,0
New England Patriots,Josh Uche,0,0,1
New York Giants,James Bradberry,1,0,1
Cincinnati Bengals,Ja'Marr Chase,1,0,0
Baltimore Ravens,Mark Andrews,1,0,1
Philadelphia Eagles,Jalen Hurts,1,1,0
Philadelphia Eagles,Kenneth Gainwell,1,1,0
Philadelphia Eagles,Jalen Reagor,1,0,0
Las Vegas Raiders,Cory Littleton,0,0,1
Las Vegas Raiders,Johnathan Abram,0,0,1
Houston Texans,Davis Mills,1,1,0
Arizona Cardinals,Max Garcia,1,0,0
Arizona Cardinals,Kyler Murray,0,0,1
Arizona Cardinals,Markus Golden,0,0,1
Chicago Bears,Justin Fields,3,2,1
Chicago Bears,Sam Mustipher,1,0,0
Chicago Bears,Khalil Herbert,0,0,1
Chicago Bears,DeAndre Houston-Carson,0,0,1
Tampa Bay Buccaneers,Ronald Jones,1,1,0
Tampa Bay Buccaneers,Shaquil Barrett,1,0,1
Tampa Bay Buccaneers,Vita Vea,0,0,1
Tampa Bay Buccaneers,Devin White,0,0,1
Indianapolis Colts,Carson Wentz,2,1,1
Indianapolis Colts,Jonathan Taylor,2,1,0
Indianapolis Colts,Ashton Dulin,0,0,1
Indianapolis Colts,Anthony Chesley,0,0,1
Indianapolis Colts,Kwity Paye,0,0,1
San Francisco 49ers,Jimmy Garoppolo,2,1,1
San Francisco 49ers,Deebo Samuel,1,1,0
San Francisco 49ers,Fred Warner,0,0,1
San Francisco 49ers,Azeez Al-Shaair,0,0,1
New Orleans Saints,Adam Trautman,1,1,0
New Orleans Saints,Jameis Winston,1,0,1
Seattle Seahawks,Jordyn Brooks,0,0,1
