team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Tampa Bay Buccaneers,Baker Mayfield,25/42,237,5.6,2,0,3-13,40.4,91.1
Buffalo Bills,Josh Allen,31/40,324,8.1,2,1,2-12,84.8,106.7
Los Angeles Rams,Matthew Stafford,13/22,162,7.4,1,1,1-9,17.2,78.2
Los Angeles Rams,Brett Rypien,5/10,42,4.2,0,0,1-7,7.8,61.2
Dallas Cowboys,Dak Prescott,25/31,304,9.8,4,1,3-22,81.5,133.7
Dallas Cowboys,Cooper Rush,2/3,3,1.0,0,0,0-0,8.1,70.1
Minnesota Vikings,Kirk Cousins,23/31,274,8.8,2,0,2-13,93.1,122.2
Minnesota Vikings,Jaren Hall,3/4,23,5.8,0,0,1-0,5.1,88.5
Green Bay Packers,Jordan Love,24/41,229,5.6,1,1,4-33,19.3,72.1
Atlanta Falcons,Taylor Heinicke,12/21,175,8.3,1,0,1-8,71.4,100.3
Atlanta Falcons,Desmond Ridder,8/12,71,5.9,0,0,5-36,13.8,82.3
Atlanta Falcons,Jonnu Smith,0/1,0,0.0,0,0,0-0,0.8,39.6
Tennessee Titans,Will Levis,19/29,238,8.2,4,0,2-12,56.6,130.5
New Orleans Saints,Derek Carr,19/27,310,11.5,2,0,1-4,81.9,133.3
New Orleans Saints,Taysom Hill,1/2,44,22.0,0,0,0-0,99.7,95.8
Indianapolis Colts,Gardner Minshew,23/41,213,5.2,2,1,2-6,67.5,76.6
New England Patriots,Mac Jones,19/29,161,5.6,2,1,3-20,41.0,88.4
Miami Dolphins,Tua Tagovailoa,30/45,324,7.2,3,1,2-12,59.1,100.6
New York Jets,Zach Wilson,17/36,240,6.7,1,0,4-47,34.5,78.5
New York Giants,Tyrod Taylor,4/7,8,1.1,0,0,2-7,9.0,62.2
New York Giants,Tommy DeVito,2/7,-1,-0.1,0,0,2-9,16.3,39.6
Jacksonville Jaguars,Trevor Lawrence,24/32,292,9.1,1,1,3-21,69.9,100.0
Pittsburgh Steelers,Mitch Trubisky,15/27,138,5.1,1,2,2-15,27.5,51.2
Pittsburgh Steelers,Kenny Pickett,10/16,73,4.6,0,0,1-5,38.6,73.2
Philadelphia Eagles,Jalen Hurts,29/38,319,8.4,4,0,2-4,87.5,135.7
Washington Commanders,Sam Howell,39/52,397,7.6,4,1,1-9,67.6,114.0
Houston Texans,C.J. Stroud,16/24,140,5.8,0,0,2-21,71.6,81.9
Carolina Panthers,Bryce Young,22/31,235,7.6,1,0,6-55,42.9,103.6
Cleveland Browns,PJ Walker,15/31,248,8.0,1,2,3-27,28.0,59.6
Cleveland Browns,Dorian Thompson-Robinson,1/1,9,9.0,0,0,0-0,75.7,104.2
Seattle Seahawks,Geno Smith,23/37,254,6.9,2,2,1-6,56.1,78.0
Kansas City Chiefs,Patrick Mahomes,24/38,240,6.3,0,2,3-28,44.3,59.1
Denver Broncos,Russell Wilson,12/19,114,6.0,3,0,6-27,45.6,119.3
Baltimore Ravens,Lamar Jackson,18/27,157,5.8,1,0,4-19,40.7,94.2
Arizona Cardinals,Joshua Dobbs,25/37,208,5.6,2,2,2-27,40.1,77.3
Cincinnati Bengals,Joe Burrow,28/32,283,8.8,3,0,3-17,90.3,134.8
San Francisco 49ers,Brock Purdy,22/31,365,11.8,1,2,2-18,54.9,94.2
Chicago Bears,Tyson Bagent,25/37,232,6.3,0,2,1-10,24.2,62.0
Los Angeles Chargers,Justin Herbert,31/40,298,7.5,3,0,0-0,81.2,122.7
Las Vegas Raiders,Jimmy Garoppolo,10/21,126,6.0,0,1,6-49,3.1,46.9
Detroit Lions,Jared Goff,26/37,272,7.4,1,1,0-0,55.1,89.0
Detroit Lions,Amon-Ra St. Brown,0/0,0,0.0,0,0,1-8,0.0,0.0
