team,player,fumbles,fumblesLost,fumblesRecovered
Kansas City Chiefs,Patrick Mahomes,1,1,0
Kansas City Chiefs,Ben Niemann,0,0,1
Los Angeles Chargers,Joshua Kelley,1,1,0
Los Angeles Chargers,Drue Tranquill,0,0,1
New England Patriots,Gunner Olszewski,1,0,0
New England Patriots,Rhamondre Stevenson,1,0,0
New England Patriots,Jonnu Smith,0,0,1
Carolina Panthers,Cam Newton,2,0,0
Carolina Panthers,DJ Moore,0,0,1
Carolina Panthers,Chuba Hubbard,0,0,1
Buffalo Bills,Josh Allen,1,0,0
Buffalo Bills,Spencer Brown,0,0,1
Arizona Cardinals,Kyler Murray,1,0,1
Arizona Cardinals,Byron Murphy Jr.,0,0,1
Detroit Lions,Godwin Igwebuike,1,1,0
New York Jets,Zach Wilson,1,1,0
New York Jets,Sheldon Rankins,0,0,1
Miami Dolphins,Clayton Fejedelem,1,1,0
Miami Dolphins,Tua Tagovailoa,1,0,1
Miami Dolphins,Emmanuel Ogbah,0,0,1
Dallas Cowboys,Dak Prescott,1,1,1
Dallas Cowboys,Tony Pollard,1,0,1
Dallas Cowboys,Tyler Biadasz,1,0,0
Dallas Cowboys,Carlos Watkins,0,0,1
New York Giants,Saquon Barkley,1,1,0
New York Giants,Austin Johnson,0,0,1
Tennessee Titans,Ryan Tannehill,2,1,0
Tennessee Titans,Anthony Firkser,1,1,0
Tennessee Titans,Racey McMath,1,1,0
Tennessee Titans,Chester Rogers,1,0,1
Tennessee Titans,Aaron Brewer,0,0,1
Pittsburgh Steelers,Joe Haden,0,0,1
Pittsburgh Steelers,T.J. Watt,0,0,1
Pittsburgh Steelers,Minkah Fitzpatrick,0,0,1
Cincinnati Bengals,Khalid Kareem,0,0,1
Denver Broncos,Drew Lock,1,1,0
Atlanta Falcons,Matt Ryan,1,1,0
Atlanta Falcons,Richie Grant,0,0,1
San Francisco 49ers,JaMycal Hasty,1,1,0
San Francisco 49ers,Jimmy Garoppolo,1,0,0
San Francisco 49ers,Jeff Wilson Jr.,0,0,1
San Francisco 49ers,Fred Warner,0,0,1
New Orleans Saints,Tre'Quan Smith,1,0,0
New Orleans Saints,Marshon Lattimore,0,0,1
Tampa Bay Buccaneers,Tom Brady,1,1,0
Las Vegas Raiders,Derek Carr,2,1,1
Las Vegas Raiders,Hunter Renfrow,2,0,3
Las Vegas Raiders,Bryan Edwards,1,0,0
Cleveland Browns,Porter Gustin,0,0,1
Minnesota Vikings,Kirk Cousins,1,0,0
Minnesota Vikings,Sheldon Richardson,0,0,1
Minnesota Vikings,Anthony Barr,0,0,1
Minnesota Vikings,Kris Boyd,0,0,1
Minnesota Vikings,Christian Darrisaw,0,0,1
Chicago Bears,Justin Fields,2,1,1
Chicago Bears,Damiere Byrd,1,1,0
Chicago Bears,David Montgomery,1,1,0
Washington,Garrett Gilbert,1,0,0
Washington,Jaret Patterson,1,0,0
Washington,Ricky Seals-Jones,0,0,1
Washington,Landon Collins,0,0,1
Washington,Sam Cosmi,0,0,1
Philadelphia Eagles,Jalen Hurts,2,1,0
Philadelphia Eagles,Jordan Howard,0,0,1
