team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Kansas City Chiefs,Harrison Butker,2/2,100.0,33,2/2,8
Los Angeles Chargers,Dustin Hopkins,0/0,0.0,0,4/4,4
New England Patriots,Nick Folk,1/1,100.0,25,2/2,5
Indianapolis Colts,Michael Badgley,2/3,67.0,41,3/3,9
Buffalo Bills,Tyler Bass,1/1,100.0,26,4/4,7
Arizona Cardinals,Matt Prater,2/2,100.0,29,0/0,6
Detroit Lions,Riley Patterson,3/3,100.0,47,3/3,12
New York Jets,Eddy Pineiro,1/1,100.0,27,3/3,6
Miami Dolphins,Jason Sanders,1/1,100.0,24,4/4,7
Dallas Cowboys,Greg Zuerlein,3/3,100.0,42,0/2,9
New York Giants,Graham Gano,2/2,100.0,42,0/0,6
Tennessee Titans,Randy Bullock,2/2,100.0,32,1/1,7
Pittsburgh Steelers,Chris Boswell,4/5,80.0,48,1/1,13
Houston Texans,Ka'imi Fairbairn,3/3,100.0,52,3/3,12
Jacksonville Jaguars,Matthew Wright,3/3,100.0,38,1/1,10
Cincinnati Bengals,Evan McPherson,3/3,100.0,58,0/0,9
Denver Broncos,Brandon McManus,1/2,50.0,54,1/1,4
Atlanta Falcons,Younghoe Koo,2/2,100.0,48,1/1,7
San Francisco 49ers,Robbie Gould,1/1,100.0,30,4/4,7
Green Bay Packers,Mason Crosby,1/1,100.0,29,4/4,7
Baltimore Ravens,Justin Tucker,1/1,100.0,38,3/3,6
New Orleans Saints,Brett Maher,3/3,100.0,42,0/0,9
Tampa Bay Buccaneers,Ryan Succop,0/1,0.0,0,0/0,0
Las Vegas Raiders,Daniel Carlson,3/3,100.0,48,1/1,10
Cleveland Browns,Chase McLaughlin,0/1,0.0,0,2/2,2
Minnesota Vikings,Greg Joseph,1/1,100.0,37,2/2,5
Chicago Bears,Cairo Santos,1/2,50.0,34,0/0,3
Seattle Seahawks,Jason Myers,1/1,100.0,39,1/1,4
Los Angeles Rams,Matt Gay,2/2,100.0,55,2/2,8
Washington,Brian Johnson,1/1,100.0,22,2/2,5
Philadelphia Eagles,Jake Elliott,2/2,100.0,37,3/3,9
