team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Kansas City Chiefs,Patrick Mahomes,31/47,410,8.7,3,1,1-0,79.1,105.8
Los Angeles Chargers,Justin Herbert,22/38,236,6.2,2,1,0-0,51.8,82.8
Los Angeles Chargers,Keenan Allen,0/1,0,0.0,0,0,0-0,1.6,39.6
New England Patriots,Mac Jones,26/45,299,6.6,2,2,1-15,59.4,74.2
Indianapolis Colts,Carson Wentz,5/12,57,4.8,1,1,1-8,35.6,49.7
Carolina Panthers,Cam Newton,18/38,156,4.1,1,1,4-32,17.7,56.5
Buffalo Bills,Josh Allen,19/34,210,6.2,3,1,4-17,50.1,91.5
Arizona Cardinals,Kyler Murray,23/41,257,6.3,1,1,2-20,8.7,72.9
Arizona Cardinals,Colt McCoy,6/9,56,6.2,0,0,0-0,55.7,83.6
Detroit Lions,Jared Goff,21/26,216,8.3,3,0,2-4,93.8,139.7
New York Jets,Zach Wilson,13/23,170,7.4,0,0,6-44,15.5,80.0
New York Jets,Keelan Cole Sr.,0/1,0,0.0,0,0,0-0,4.4,39.6
Miami Dolphins,Tua Tagovailoa,16/27,196,7.3,2,2,1-0,47.1,75.5
Dallas Cowboys,Dak Prescott,28/37,217,5.9,1,0,3-14,78.6,98.6
New York Giants,Mike Glennon,13/24,99,4.1,0,3,0-0,9.2,24.8
New York Giants,Jake Fromm,6/12,82,6.8,0,0,1-3,20.5,72.2
Tennessee Titans,Ryan Tannehill,23/32,153,4.8,0,1,4-36,28.8,68.9
Pittsburgh Steelers,Ben Roethlisberger,16/25,148,5.9,0,0,3-15,16.9,80.1
Houston Texans,Davis Mills,19/30,209,7.0,2,1,1-3,24.7,92.2
Jacksonville Jaguars,Trevor Lawrence,22/38,210,5.5,0,0,3-21,25.7,73.4
Cincinnati Bengals,Joe Burrow,15/22,157,7.1,1,0,3-21,53.2,103.8
Denver Broncos,Teddy Bridgewater,12/22,98,4.5,0,0,2-18,33.7,66.1
Denver Broncos,Drew Lock,6/12,88,7.3,1,0,1-9,25.8,102.1
Atlanta Falcons,Matt Ryan,19/32,236,7.4,1,0,3-23,39.4,92.7
San Francisco 49ers,Jimmy Garoppolo,18/23,235,10.2,1,0,0-0,66.7,123.7
San Francisco 49ers,Deebo Samuel,0/1,0,0.0,0,0,0-0,1.4,39.6
Green Bay Packers,Aaron Rodgers,23/31,268,8.6,3,0,3-18,86.4,132.2
Baltimore Ravens,Tyler Huntley,28/40,215,5.4,2,0,1-4,86.0,99.5
New Orleans Saints,Taysom Hill,13/27,154,5.7,0,0,2-3,35.9,66.0
Tampa Bay Buccaneers,Tom Brady,26/48,214,4.5,0,1,4-30,24.3,57.1
Las Vegas Raiders,Derek Carr,25/38,236,6.2,1,1,2-6,56.7,80.6
Cleveland Browns,Nick Mullens,20/30,147,4.9,1,0,0-0,81.5,89.2
Minnesota Vikings,Kirk Cousins,12/24,87,3.6,2,1,4-26,23.1,69.3
Chicago Bears,Justin Fields,26/39,285,7.3,1,0,3-30,21.5,96.6
Seattle Seahawks,Russell Wilson,17/31,156,5.0,0,1,3-22,36.9,55.3
Los Angeles Rams,Matthew Stafford,21/29,244,8.4,2,1,4-35,50.4,106.1
Washington,Garrett Gilbert,20/31,194,6.3,0,0,2-20,45.6,81.9
Philadelphia Eagles,Jalen Hurts,20/26,296,11.4,1,1,3-15,35.5,110.4
