team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Detroit Lions,Jared Goff,22/35,253,7.2,1,0,1-3,74.1,94.1
Kansas City Chiefs,Patrick Mahomes,21/39,226,5.8,2,1,0-0,73.4,77.5
Carolina Panthers,Bryce Young,20/38,146,3.8,1,2,2-19,13.6,48.8
Atlanta Falcons,Desmond Ridder,15/18,115,6.4,1,0,4-24,27.1,111.8
Cincinnati Bengals,Joe Burrow,14/31,82,2.6,0,0,2-15,36.3,52.2
Cincinnati Bengals,Jake Browning,0/1,0,0.0,0,0,0-0,3.6,39.6
Cleveland Browns,Deshaun Watson,16/29,154,5.3,1,1,3-10,62.6,67.3
Jacksonville Jaguars,Trevor Lawrence,24/32,241,7.5,2,1,2-4,66.2,103.8
Indianapolis Colts,Anthony Richardson,24/37,223,6.0,1,1,4-8,29.5,79.0
Indianapolis Colts,Gardner Minshew,0/2,0,0.0,0,0,0-0,1.5,39.6
Tampa Bay Buccaneers,Baker Mayfield,21/34,173,5.1,2,0,1-4,58.3,94.4
Minnesota Vikings,Kirk Cousins,33/44,344,7.8,2,1,2-16,49.7,102.8
Tennessee Titans,Ryan Tannehill,16/34,198,5.8,0,3,3-17,9.1,28.8
New Orleans Saints,Derek Carr,23/33,305,9.2,1,1,4-23,57.7,96.1
San Francisco 49ers,Brock Purdy,19/29,220,7.6,2,0,3-17,93.2,111.3
Pittsburgh Steelers,Kenny Pickett,31/46,232,5.0,1,2,5-34,24.0,68.4
Arizona Cardinals,Joshua Dobbs,21/30,132,4.4,0,0,3-18,19.4,78.8
Washington Commanders,Sam Howell,19/31,202,6.5,1,1,6-46,37.0,77.6
Houston Texans,C.J. Stroud,28/44,242,5.5,0,0,5-46,36.0,78.0
Baltimore Ravens,Lamar Jackson,17/22,169,7.7,0,1,4-14,11.6,79.5
Green Bay Packers,Jordan Love,15/27,245,9.1,3,0,1-8,73.7,123.2
Chicago Bears,Justin Fields,24/37,216,5.8,1,1,4-27,21.9,78.2
Las Vegas Raiders,Jimmy Garoppolo,20/26,200,7.7,2,1,0-0,73.2,107.9
Denver Broncos,Russell Wilson,27/34,177,5.2,2,0,2-11,76.7,108.0
Philadelphia Eagles,Jalen Hurts,22/33,170,5.2,1,0,3-16,31.6,89.2
New England Patriots,Mac Jones,35/54,316,5.9,3,1,2-10,42.3,91.3
Miami Dolphins,Tua Tagovailoa,28/45,466,10.4,3,1,0-0,84.3,110.0
Los Angeles Chargers,Justin Herbert,23/33,229,6.9,1,0,3-29,46.9,99.2
Los Angeles Rams,Matthew Stafford,24/38,334,8.8,0,0,0-0,87.6,91.3
Seattle Seahawks,Geno Smith,16/26,112,4.3,1,0,2-17,46.8,84.1
Dallas Cowboys,Dak Prescott,13/24,143,6.0,0,0,0-0,75.8,72.0
Dallas Cowboys,Cooper Rush,0/1,0,0.0,0,0,0-0,0.0,39.6
New York Giants,Daniel Jones,15/28,104,3.7,0,2,7-47,9.3,32.4
New York Giants,Tyrod Taylor,2/2,6,3.0,0,0,0-0,13.9,79.2
Buffalo Bills,Josh Allen,29/41,236,5.8,1,3,5-19,46.5,62.7
New York Jets,Zach Wilson,14/21,140,6.7,1,1,2-13,19.2,81.4
New York Jets,Aaron Rodgers,0/1,0,0.0,0,0,1-10,2.1,39.6
