team,player,rushingAttempts,rushingYards,yardsPerRushAttempt,rushingTouchdowns,longRushing
Detroit Lions,David Montgomery,21,74,3.5,1,8
Detroit Lions,Jahmyr Gibbs,7,42,6.0,0,18
Detroit Lions,Jalen Reeves-Maybin,1,3,3.0,0,3
Detroit Lions,Jared Goff,5,-1,-0.2,0,2
Kansas City Chiefs,Patrick Mahomes,6,45,7.5,0,16
Kansas City Chiefs,Isiah Pacheco,8,23,2.9,0,7
Kansas City Chiefs,Clyde Edwards-Helaire,6,22,3.7,0,5
Kansas City Chiefs,Skyy Moore,1,4,4.0,0,4
Kansas City Chiefs,Kadarius Toney,1,-1,-1.0,0,-1
Kansas City Chiefs,Rashee Rice,1,-3,-3.0,0,-3
Carolina Panthers,Miles Sanders,18,72,4.0,0,10
Carolina Panthers,Chuba Hubbard,9,60,6.7,0,21
Carolina Panthers,Bryce Young,3,17,5.7,0,16
Carolina Panthers,Laviska Shenault Jr.,2,5,2.5,0,5
Atlanta Falcons,Tyler Allgeier,15,75,5.0,2,22
Atlanta Falcons,Bijan Robinson,10,56,5.6,0,21
Atlanta Falcons,Desmond Ridder,1,-1,-1.0,0,-1
Cincinnati Bengals,Joe Mixon,13,56,4.3,0,22
Cincinnati Bengals,Chris Evans,2,12,6.0,0,7
Cincinnati Bengals,Trayveon Williams,2,7,3.5,0,5
Cincinnati Bengals,Ja'Marr Chase,1,2,2.0,0,2
Cincinnati Bengals,Jake Browning,1,-1,-1.0,0,-1
Cincinnati Bengals,Joe Burrow,1,-1,-1.0,0,-1
Cleveland Browns,Nick Chubb,18,106,5.9,0,17
Cleveland Browns,Deshaun Watson,5,45,9.0,1,13
Cleveland Browns,Jerome Ford,15,36,2.4,0,17
Cleveland Browns,Elijah Moore,2,19,9.5,0,19
Jacksonville Jaguars,Travis Etienne Jr.,18,77,4.3,1,26
Jacksonville Jaguars,Trevor Lawrence,7,21,3.0,0,11
Jacksonville Jaguars,Tank Bigsby,7,13,1.9,1,4
Jacksonville Jaguars,Jamal Agnew,2,-2,-1.0,0,0
Jacksonville Jaguars,D'Ernest Johnson,1,-4,-4.0,0,-4
Indianapolis Colts,Anthony Richardson,10,40,4.0,1,12
Indianapolis Colts,Deon Jackson,13,14,1.1,0,7
Indianapolis Colts,Jake Funk,2,10,5.0,0,7
Indianapolis Colts,Evan Hull,1,1,1.0,0,1
Tampa Bay Buccaneers,Rachaad White,17,39,2.3,0,6
Tampa Bay Buccaneers,Sean Tucker,5,15,3.0,0,5
Tampa Bay Buccaneers,Baker Mayfield,8,11,1.4,0,5
Tampa Bay Buccaneers,Chase Edmonds,2,8,4.0,0,5
Tampa Bay Buccaneers,Rakim Jarrett,1,0,0.0,0,0
Minnesota Vikings,Alexander Mattison,11,34,3.1,0,9
Minnesota Vikings,Kirk Cousins,3,7,2.3,0,4
Minnesota Vikings,Ty Chandler,3,0,0.0,0,2
Tennessee Titans,Derrick Henry,15,63,4.2,0,18
Tennessee Titans,Tyjae Spears,3,27,9.0,0,17
Tennessee Titans,Treylon Burks,1,9,9.0,0,9
Tennessee Titans,Ryan Tannehill,3,5,1.7,0,2
New Orleans Saints,Jamaal Williams,18,45,2.5,0,11
New Orleans Saints,Rashid Shaheed,2,11,5.5,0,6
New Orleans Saints,Tony Jones Jr.,1,5,5.0,0,5
New Orleans Saints,Derek Carr,3,4,1.3,0,7
New Orleans Saints,Taysom Hill,3,4,1.3,0,4
San Francisco 49ers,Christian McCaffrey,22,152,6.9,1,65
San Francisco 49ers,Brock Purdy,3,20,6.7,0,17
San Francisco 49ers,Elijah Mitchell,5,10,2.0,0,4
San Francisco 49ers,Deebo Samuel,2,8,4.0,0,5
San Francisco 49ers,Sam Darnold,2,-2,-1.0,0,-1
Pittsburgh Steelers,Najee Harris,6,31,5.2,0,24
Pittsburgh Steelers,Jaylen Warren,3,6,2.0,0,3
Pittsburgh Steelers,Kenny Pickett,1,4,4.0,0,4
Arizona Cardinals,James Conner,14,62,4.4,0,12
Arizona Cardinals,Marquise Brown,1,29,29.0,0,29
Arizona Cardinals,Rondale Moore,2,12,6.0,0,8
Arizona Cardinals,Joshua Dobbs,3,-3,-1.0,0,1
Arizona Cardinals,Keaontay Ingram,5,-4,-0.8,0,6
Washington Commanders,Brian Robinson Jr.,19,59,3.1,0,7
