team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Detroit Lions,Riley Patterson,0/0,0.0,0,3/3,3
Kansas City Chiefs,Harrison Butker,2/2,100.0,39,2/2,8
Carolina Panthers,Eddy Pineiro,1/1,100.0,43,1/1,4
Atlanta Falcons,Younghoe Koo,1/1,100.0,49,3/3,6
Cincinnati Bengals,Evan McPherson,1/2,50.0,42,0/0,3
Cleveland Browns,Dustin Hopkins,3/3,100.0,43,1/1,10
Jacksonville Jaguars,Brandon McManus,1/1,100.0,45,4/4,7
Indianapolis Colts,Matt Gay,0/0,0.0,0,3/3,3
Tampa Bay Buccaneers,Chase McLaughlin,2/2,100.0,57,2/2,8
Minnesota Vikings,Greg Joseph,1/1,100.0,25,2/2,5
Tennessee Titans,Nick Folk,5/5,100.0,50,0/0,15
New Orleans Saints,Blake Grupe,3/3,100.0,52,1/1,10
San Francisco 49ers,Jake Moody,3/3,100.0,41,3/3,12
Pittsburgh Steelers,Chris Boswell,0/0,0.0,0,1/1,1
Arizona Cardinals,Matt Prater,3/3,100.0,54,1/1,10
Washington Commanders,Joey Slye,2/2,100.0,33,2/2,8
Houston Texans,Ka'imi Fairbairn,3/3,100.0,38,0/0,9
Baltimore Ravens,Justin Tucker,1/1,100.0,39,2/2,5
Green Bay Packers,Anders Carlson,1/1,100.0,52,5/5,8
Chicago Bears,Cairo Santos,2/2,100.0,47,0/0,6
Las Vegas Raiders,Daniel Carlson,1/1,100.0,24,2/2,5
Denver Broncos,Wil Lutz,1/2,50.0,24,1/2,4
Philadelphia Eagles,Jake Elliott,4/4,100.0,56,1/2,13
New England Patriots,Chad Ryland,0/0,0.0,0,2/2,2
Miami Dolphins,Jason Sanders,3/3,100.0,45,3/4,12
Los Angeles Chargers,Cameron Dicker,2/2,100.0,50,4/4,10
Los Angeles Rams,Brett Maher,3/5,60.0,54,3/3,12
Seattle Seahawks,Jason Myers,2/3,67.0,42,1/1,7
Dallas Cowboys,Brandon Aubrey,2/2,100.0,38,4/5,10
New York Giants,Graham Gano,0/2,0.0,0,0/0,0
Buffalo Bills,Tyler Bass,3/3,100.0,50,1/1,10
New York Jets,Greg Zuerlein,3/3,100.0,43,1/1,10
