team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Las Vegas Raiders,Daniel Carlson,3/3,100.0,52,1/1,10
Los Angeles Rams,Matt Gay,1/2,50.0,55,2/2,5
New York Jets,Greg Zuerlein,1/1,100.0,26,1/1,4
Buffalo Bills,Tyler Bass,2/2,100.0,49,2/2,8
Cleveland Browns,Cade York,1/1,100.0,26,1/1,4
Cincinnati Bengals,Evan McPherson,1/1,100.0,30,2/3,5
Houston Texans,Ka'imi Fairbairn,3/3,100.0,54,2/2,11
Dallas Cowboys,Brett Maher,2/2,100.0,53,3/3,9
Minnesota Vikings,Greg Joseph,1/1,100.0,41,2/2,5
Detroit Lions,Michael Badgley,2/3,67.0,49,4/4,10
Jacksonville Jaguars,Riley Patterson,3/3,100.0,43,3/3,12
Tennessee Titans,Randy Bullock,0/0,0.0,0,2/2,2
Philadelphia Eagles,Jake Elliott,2/2,100.0,39,6/6,12
New York Giants,Graham Gano,0/0,0.0,0,2/2,2
Baltimore Ravens,Justin Tucker,3/3,100.0,42,1/1,10
Pittsburgh Steelers,Chris Boswell,0/1,0.0,0,2/2,2
Kansas City Chiefs,Harrison Butker,2/2,100.0,45,4/4,10
Denver Broncos,Brandon McManus,0/0,0.0,0,4/4,4
Tampa Bay Buccaneers,Ryan Succop,0/1,0.0,0,1/1,1
San Francisco 49ers,Robbie Gould,0/0,0.0,0,5/5,5
Carolina Panthers,Eddy Pineiro,3/3,100.0,47,3/3,12
Seattle Seahawks,Jason Myers,1/1,100.0,27,3/3,6
Miami Dolphins,Jason Sanders,1/1,100.0,55,2/2,5
Los Angeles Chargers,Cameron Dicker,3/3,100.0,33,2/2,11
New England Patriots,Nick Folk,2/2,100.0,51,3/3,9
Arizona Cardinals,Matt Prater,2/3,67.0,33,1/1,7
