team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Las Vegas Raiders,Derek Carr,11/20,137,6.9,0,2,0-0,41.3,36.9
Los Angeles Rams,Baker Mayfield,22/35,230,6.6,1,0,4-19,61.1,91.4
New York Jets,Mike White,27/44,268,6.1,0,0,3-30,56.4,78.6
New York Jets,Joe Flacco,1/3,1,0.3,0,0,1-6,0.1,42.4
Buffalo Bills,Josh Allen,16/27,147,5.4,1,0,3-17,51.4,86.5
Cleveland Browns,Deshaun Watson,26/42,276,6.6,1,1,2-3,62.8,79.1
Cleveland Browns,Jacoby Brissett,0/1,0,0.0,0,0,0-0,0.0,39.6
Cincinnati Bengals,Joe Burrow,18/33,239,7.2,2,1,1-3,78.0,85.3
Cincinnati Bengals,Ja'Marr Chase,0/0,0,0.0,0,0,1-9,0.0,0.0
Houston Texans,Davis Mills,16/21,175,8.3,0,1,0-0,85.6,80.5
Houston Texans,Jeff Driskel,4/6,38,6.3,1,0,0-0,51.7,123.6
Dallas Cowboys,Dak Prescott,24/39,284,7.3,1,2,1-7,23.6,70.9
Minnesota Vikings,Kirk Cousins,31/41,425,10.4,2,0,3-26,76.3,124.5
Minnesota Vikings,Dalvin Cook,0/0,0,0.0,0,0,1-5,0.0,0.0
Detroit Lions,Jared Goff,27/39,330,8.5,3,0,0-0,71.1,120.7
Jacksonville Jaguars,Trevor Lawrence,30/42,368,8.8,3,0,0-0,82.9,121.9
Tennessee Titans,Ryan Tannehill,25/38,254,6.7,2,1,4-27,21.7,91.3
Philadelphia Eagles,Jalen Hurts,21/31,217,7.0,2,0,4-33,85.6,109.2
New York Giants,Daniel Jones,18/27,169,6.3,1,0,4-17,77.0,96.1
New York Giants,Tyrod Taylor,5/5,47,9.4,1,0,3-18,94.2,145.4
Baltimore Ravens,Tyler Huntley,8/12,88,7.3,0,0,1-6,45.3,88.2
Baltimore Ravens,Anthony Brown,3/5,16,3.2,0,0,1-4,59.2,65.4
Pittsburgh Steelers,Mitch Trubisky,22/30,276,9.2,1,3,1-5,60.7,73.1
Pittsburgh Steelers,Kenny Pickett,0/1,0,0.0,0,0,1-7,11.8,39.6
Kansas City Chiefs,Patrick Mahomes,28/42,352,8.4,3,3,2-10,66.9,86.6
Denver Broncos,Russell Wilson,23/36,247,6.9,3,1,6-49,59.4,100.1
Denver Broncos,Brett Rypien,4/8,16,2.0,1,1,0-0,9.8,56.2
Tampa Bay Buccaneers,Tom Brady,34/55,253,4.6,1,2,0-0,35.2,63.7
San Francisco 49ers,Brock Purdy,16/21,185,8.8,2,0,0-0,93.5,134.0
San Francisco 49ers,Josh Johnson,1/2,10,5.0,0,0,0-0,21.9,64.6
Carolina Panthers,Sam Darnold,14/24,120,5.0,1,0,2-15,37.3,85.4
Seattle Seahawks,Geno Smith,21/36,264,7.3,3,2,3-23,58.8,85.9
Miami Dolphins,Tua Tagovailoa,10/28,145,5.2,1,0,2-18,29.9,65.3
Los Angeles Chargers,Justin Herbert,39/51,367,7.2,1,0,4-17,70.7,102.3
New England Patriots,Mac Jones,24/35,235,6.7,0,1,1-10,29.1,75.3
Arizona Cardinals,Colt McCoy,27/40,246,6.2,0,1,6-45,17.4,73.5
Arizona Cardinals,Kyler Murray,1/1,9,9.0,0,0,0-0,62.2,104.2
