team,player,rushingAttempts,rushingYards,yardsPerRushAttempt,rushingTouchdowns,longRushing
Buffalo Bills,Josh Allen,10,56,5.6,1,13
Buffalo Bills,Devin Singletary,8,48,6.0,0,13
Buffalo Bills,Zack Moss,6,15,2.5,0,8
Buffalo Bills,James Cook,1,2,2.0,0,2
Los Angeles Rams,Darrell Henderson Jr.,13,47,3.6,0,18
Los Angeles Rams,Brandon Powell,1,3,3.0,0,3
Los Angeles Rams,Matthew Stafford,1,2,2.0,0,2
Los Angeles Rams,Cam Akers,3,0,0.0,0,0
New Orleans Saints,Taysom Hill,4,81,20.3,1,57
New Orleans Saints,Alvin Kamara,9,39,4.3,0,15
New Orleans Saints,Mark Ingram II,4,22,5.5,0,7
New Orleans Saints,Jameis Winston,2,9,4.5,0,6
Atlanta Falcons,Cordarrelle Patterson,22,120,5.5,1,15
Atlanta Falcons,Marcus Mariota,12,72,6.0,1,16
Atlanta Falcons,Avery Williams,2,7,3.5,0,5
Atlanta Falcons,Damien Williams,2,2,1.0,0,2
San Francisco 49ers,Trey Lance,13,54,4.2,0,13
San Francisco 49ers,Deebo Samuel,8,52,6.5,1,27
San Francisco 49ers,Elijah Mitchell,6,41,6.8,0,16
San Francisco 49ers,Jeff Wilson Jr.,9,22,2.4,0,5
San Francisco 49ers,Brandon Aiyuk,1,7,7.0,0,7
Chicago Bears,Khalil Herbert,9,45,5.0,1,12
Chicago Bears,Justin Fields,11,28,2.5,0,12
Chicago Bears,David Montgomery,17,26,1.5,0,6
Pittsburgh Steelers,Chase Claypool,6,36,6.0,0,15
Pittsburgh Steelers,Najee Harris,10,23,2.3,0,11
Pittsburgh Steelers,Mitch Trubisky,3,9,3.0,0,6
Pittsburgh Steelers,Jaylen Warren,3,7,2.3,0,3
Cincinnati Bengals,Joe Mixon,27,82,3.0,0,31
Cincinnati Bengals,Joe Burrow,6,47,7.8,0,23
Cincinnati Bengals,Samaje Perine,1,4,4.0,0,4
Philadelphia Eagles,Miles Sanders,13,96,7.4,1,24
Philadelphia Eagles,Jalen Hurts,17,90,5.3,1,16
Philadelphia Eagles,Kenneth Gainwell,5,20,4.0,1,7
Philadelphia Eagles,Boston Scott,4,10,2.5,1,8
Detroit Lions,D'Andre Swift,15,144,9.6,1,50
Detroit Lions,Jamaal Williams,11,28,2.5,2,7
Detroit Lions,Jared Goff,2,9,4.5,0,10
New England Patriots,Damien Harris,9,48,5.3,0,12
New England Patriots,Rhamondre Stevenson,8,25,3.1,0,12
New England Patriots,Jakobi Meyers,1,7,7.0,0,7
New England Patriots,Mac Jones,2,0,0.0,0,2
New England Patriots,Ty Montgomery II,2,-2,-1.0,0,0
Miami Dolphins,Chase Edmonds,12,25,2.1,0,7
Miami Dolphins,Raheem Mostert,5,16,3.2,0,11
Miami Dolphins,Cedrick Wilson Jr.,1,8,8.0,0,8
Miami Dolphins,Jaylen Waddle,1,8,8.0,0,8
Miami Dolphins,Tyreek Hill,1,6,6.0,0,6
Miami Dolphins,Alec Ingold,1,2,2.0,0,2
Miami Dolphins,Tua Tagovailoa,2,0,0.0,0,0
Baltimore Ravens,Kenyan Drake,11,31,2.8,0,8
Baltimore Ravens,Lamar Jackson,6,17,2.8,0,8
Baltimore Ravens,Mike Davis,2,11,5.5,0,10
Baltimore Ravens,Justice Hill,2,4,2.0,0,3
New York Jets,Michael Carter,10,60,6.0,0,22
New York Jets,Breece Hall,6,23,3.8,0,14
New York Jets,Joe Flacco,1,0,0.0,0,0
Jacksonville Jaguars,James Robinson,11,66,6.0,1,22
Jacksonville Jaguars,Travis Etienne Jr.,4,47,11.8,0,27
Jacksonville Jaguars,Jamal Agnew,1,6,6.0,0,6
Jacksonville Jaguars,Trevor Lawrence,2,4,2.0,0,6
Washington Commanders,Antonio Gibson,14,58,4.1,0,13
Washington Commanders,Curtis Samuel,4,17,4.3,0,11
Washington Commanders,Carson Wentz,6,12,2.0,0,8
Washington Commanders,J.D. McKissic,3,8,2.7,0,5
Washington Commanders,Jahan Dotson,1,-10,-10.0,0,-10
Cleveland Browns,Nick Chubb,22,141,6.4,0,25
Cleveland Browns,Kareem Hunt,11,46,4.2,1,24
Cleveland Browns,Anthony Schwartz,2,20,10.0,0,15
Cleveland Browns,Jacoby Brissett,4,10,2.5,0,4
Carolina Panthers,Christian McCaffrey,10,33,3.3,1,9
Carolina Panthers,DJ Moore,1,7,7.0,0,7
Carolina Panthers,Baker Mayfield,5,6,1.2,1,7
Carolina Panthers,D'Onta Foreman,2,5,2.5,0,4
Carolina Panthers,Chuba Hubbard,1,3,3.0,0,3
Indianapolis Colts,Jonathan Taylor,31,161,5.2,1,17
Indianapolis Colts,Matt Ryan,4,12,3.0,0,10
Indianapolis Colts,Nyheim Hines,3,4,1.3,0,3
Houston Texans,Rex Burkhead,14,40,2.9,0,8
Houston Texans,Dameon Pierce,11,33,3.0,0,8
Houston Texans,Jeff Driskel,1,5,5.0,0,5
Houston Texans,Davis Mills,2,-1,-0.5,0,1
New York Giants,Saquon Barkley,18,164,9.1,1,68
New York Giants,Daniel Jones,6,25,4.2,0,11
New York Giants,Matt Breida,5,24,4.8,0,9
New York Giants,Kadarius Toney,2,23,11.5,0,19
New York Giants,Richie James,1,2,2.0,0,2
Tennessee Titans,Derrick Henry,21,82,3.9,0,18
Tennessee Titans,Dontrell Hilliard,2,8,4.0,0,5
Tennessee Titans,Ryan Tannehill,2,7,3.5,0,9
Tennessee Titans,Chigoziem Okonkwo,1,-4,-4.0,0,-4
Green Bay Packers,Aaron Jones,5,49,9.8,0,29
Green Bay Packers,AJ Dillon,10,45,4.5,1,14
Green Bay Packers,Romeo Doubs,1,11,11.0,0,11
Green Bay Packers,Christian Watson,1,7,7.0,0,7
Green Bay Packers,Aaron Rodgers,1,-1,-1.0,0,-1
Minnesota Vikings,Dalvin Cook,20,90,4.5,0,16
Minnesota Vikings,Alexander Mattison,8,36,4.5,0,10
Kansas City Chiefs,Isiah Pacheco,12,62,5.2,1,22
Kansas City Chiefs,Clyde Edwards-Helaire,7,42,6.0,0,18
Kansas City Chiefs,Jerick McKinnon,4,22,5.5,0,18
Kansas City Chiefs,Patrick Mahomes,3,5,1.7,0,4
Kansas City Chiefs,Marquez Valdes-Scantling,1,-3,-3.0,0,-3
Arizona Cardinals,Kyler Murray,5,29,5.8,0,21
Arizona Cardinals,Eno Benjamin,4,28,7.0,0,16
