team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Buffalo Bills,Josh Allen,26/31,297,9.6,3,2,2-5,87.4,112.0
Los Angeles Rams,Matthew Stafford,29/41,240,5.9,1,3,7-49,29.8,63.1
New Orleans Saints,Jameis Winston,23/34,269,7.9,2,0,4-35,50.3,111.0
Atlanta Falcons,Marcus Mariota,20/33,215,6.5,0,0,0-0,62.8,79.7
San Francisco 49ers,Trey Lance,13/28,164,5.9,0,1,2-9,33.8,50.3
Chicago Bears,Justin Fields,8/17,121,7.1,2,1,2-16,51.2,85.7
Pittsburgh Steelers,Mitch Trubisky,21/38,194,5.1,1,0,1-2,54.8,78.2
Cincinnati Bengals,Joe Burrow,33/53,338,6.4,2,4,7-39,42.5,61.7
Philadelphia Eagles,Jalen Hurts,18/32,243,7.6,0,0,1-4,57.7,80.6
Detroit Lions,Jared Goff,21/37,215,5.8,2,1,1-10,63.6,80.3
New England Patriots,Mac Jones,21/30,213,7.1,1,1,2-20,7.4,87.2
Miami Dolphins,Tua Tagovailoa,23/33,270,8.2,1,0,3-28,79.1,104.4
Baltimore Ravens,Lamar Jackson,17/30,213,7.1,3,1,2-2,75.6,98.3
New York Jets,Joe Flacco,37/59,309,5.2,1,1,3-12,18.3,74.8
Jacksonville Jaguars,Trevor Lawrence,24/42,275,6.5,1,1,2-15,52.8,75.0
Washington Commanders,Carson Wentz,27/41,313,7.6,4,2,1-8,46.1,101.0
Cleveland Browns,Jacoby Brissett,18/34,147,4.3,1,0,1-9,40.4,74.0
Carolina Panthers,Baker Mayfield,16/27,235,8.7,1,1,4-28,43.4,84.6
Indianapolis Colts,Matt Ryan,32/50,352,7.0,1,1,2-12,52.2,83.1
Houston Texans,Davis Mills,23/37,240,6.5,2,0,3-18,45.9,98.9
New York Giants,Daniel Jones,17/21,188,9.0,2,1,5-32,24.4,115.9
Tennessee Titans,Ryan Tannehill,20/33,266,8.1,2,0,1-0,67.1,106.4
Green Bay Packers,Aaron Rodgers,22/34,195,5.7,0,1,4-33,13.6,67.6
Green Bay Packers,Jordan Love,4/5,65,13.0,0,0,0-0,68.7,118.8
Minnesota Vikings,Kirk Cousins,23/32,277,8.7,2,0,1-8,78.3,118.9
Kansas City Chiefs,Patrick Mahomes,30/39,360,9.2,5,0,0-0,94.9,144.2
Arizona Cardinals,Kyler Murray,22/34,193,5.7,2,0,2-18,53.1,99.3
Arizona Cardinals,Trace McSorley,2/4,12,3.0,0,0,1-8,53.2,56.2
Las Vegas Raiders,Derek Carr,22/37,295,8.0,2,3,5-29,30.2,69.1
Las Vegas Raiders,Davante Adams,0/0,0,0.0,0,0,1-10,0.0,0.0
Los Angeles Chargers,Justin Herbert,26/34,279,8.2,3,0,0-0,79.9,129.4
Tampa Bay Buccaneers,Tom Brady,18/27,212,7.9,1,1,2-17,58.7,87.3
Dallas Cowboys,Dak Prescott,14/29,134,4.6,0,1,2-13,19.9,47.2
Dallas Cowboys,Cooper Rush,7/13,64,4.9,0,0,2-12,15.4,67.5
Denver Broncos,Russell Wilson,29/42,340,8.1,1,0,2-10,58.2,101.3
Seattle Seahawks,Geno Smith,23/28,195,7.0,2,0,2-18,75.0,119.5
