team,player,fumbles,fumblesLost,fumblesRecovered
Buffalo Bills,Zack Moss,1,1,0
Buffalo Bills,James Cook,1,1,0
Los Angeles Rams,Matthew Stafford,1,0,1
Los Angeles Rams,Leonard Floyd,0,0,1
Los Angeles Rams,Justin Hollins,0,0,1
New Orleans Saints,Mark Ingram II,1,1,0
New Orleans Saints,Tyrann Mathieu,0,0,1
New Orleans Saints,Bradley Roby,0,0,1
Atlanta Falcons,Marcus Mariota,2,1,1
Atlanta Falcons,Olamide Zaccheaus,1,1,0
Atlanta Falcons,Rashaan Evans,0,0,1
San Francisco 49ers,Deebo Samuel,1,1,0
San Francisco 49ers,Trey Lance,1,0,1
Chicago Bears,Jaquan Brisker,0,0,1
Pittsburgh Steelers,Diontae Johnson,1,0,0
Pittsburgh Steelers,Cameron Heyward,0,0,1
Cincinnati Bengals,Joe Burrow,2,1,0
Cincinnati Bengals,Samaje Perine,0,0,1
Detroit Lions,Jared Goff,1,0,1
New England Patriots,Nelson Agholor,1,1,0
New England Patriots,Mac Jones,1,1,0
Miami Dolphins,Tyreek Hill,1,0,0
Miami Dolphins,Tua Tagovailoa,1,0,0
Miami Dolphins,Melvin Ingram,0,0,1
Miami Dolphins,Connor Williams,0,0,1
Miami Dolphins,Jaelan Phillips,0,0,1
Baltimore Ravens,Mike Davis,1,0,1
Baltimore Ravens,Marlon Humphrey,0,0,1
New York Jets,Breece Hall,1,1,0
New York Jets,Tyler Conklin,1,0,0
New York Jets,Garrett Wilson,0,0,1
Jacksonville Jaguars,Travis Etienne Jr.,1,0,0
Jacksonville Jaguars,Foyesade Oluokun,0,0,1
Washington Commanders,Curtis Samuel,1,1,0
Cleveland Browns,Demetric Felton Jr.,1,0,0
Cleveland Browns,Herb Miller,0,0,1
Carolina Panthers,Baker Mayfield,4,0,4
Carolina Panthers,Pat Elflein,1,0,0
Carolina Panthers,Christian McCaffrey,0,0,1
Indianapolis Colts,Matt Ryan,4,1,2
Indianapolis Colts,Nyheim Hines,1,0,0
Indianapolis Colts,DeForest Buckner,0,0,1
Indianapolis Colts,Braden Smith,0,0,1
Indianapolis Colts,Isaiah Rodgers Sr.,0,0,1
Houston Texans,Davis Mills,1,1,0
Houston Texans,Christian Kirksey,0,0,1
New York Giants,Daniel Jones,1,1,0
New York Giants,Saquon Barkley,1,0,0
New York Giants,Jason Pinnock,0,0,1
Tennessee Titans,Kyle Philips,1,1,0
Tennessee Titans,Derrick Henry,1,0,1
Tennessee Titans,Bud Dupree,0,0,1
Green Bay Packers,Aaron Rodgers,1,1,0
Minnesota Vikings,Dalvin Tomlinson,0,0,1
Kansas City Chiefs,JuJu Smith-Schuster,2,1,0
Kansas City Chiefs,Chad Henne,1,0,1
Kansas City Chiefs,Patrick Mahomes,1,0,0
Kansas City Chiefs,Isiah Pacheco,1,0,1
Kansas City Chiefs,Clyde Edwards-Helaire,0,0,1
Arizona Cardinals,Rodney Hudson,1,0,0
Arizona Cardinals,James Conner,1,0,1
Arizona Cardinals,Sean Harlow,1,0,0
Arizona Cardinals,Trace McSorley,0,0,1
Arizona Cardinals,Kyler Murray,0,0,1
Arizona Cardinals,Byron Murphy Jr.,0,0,1
Las Vegas Raiders,Derek Carr,2,0,0
Las Vegas Raiders,Hunter Renfrow,1,0,1
Las Vegas Raiders,Kolton Miller,0,0,1
Las Vegas Raiders,John Simpson,0,0,1
Los Angeles Chargers,Tre' McKitty,1,0,0
Denver Broncos,Melvin Gordon III,1,1,0
Denver Broncos,Javonte Williams,1,1,0
Denver Broncos,Justin Simmons,0,0,1
Seattle Seahawks,DK Metcalf,1,1,0
Seattle Seahawks,Geno Smith,1,0,0
Seattle Seahawks,Rashaad Penny,1,0,0
Seattle Seahawks,Austin Blythe,0,0,1
Seattle Seahawks,Michael Jackson,0,0,2
Seattle Seahawks,Charles Cross,0,0,1
