team,player,receptions,receivingYards,yardsPerReception,receivingTouchdowns,longReception,receivingTargets
Jacksonville Jaguars,Christian Kirk,6,90,15.0,1,44,6
Jacksonville Jaguars,Evan Engram,5,45,9.0,0,21,7
Jacksonville Jaguars,Jamal Agnew,4,36,9.0,0,14,6
Jacksonville Jaguars,Travis Etienne Jr.,3,24,8.0,0,15,5
Jacksonville Jaguars,Tim Jones,2,17,8.5,0,13,2
Jacksonville Jaguars,Calvin Ridley,1,5,5.0,0,5,4
New Orleans Saints,Alvin Kamara,12,91,7.6,0,21,14
New Orleans Saints,Chris Olave,7,57,8.1,0,14,15
New Orleans Saints,Taysom Hill,4,50,12.5,0,19,5
New Orleans Saints,Michael Thomas,3,42,14.0,1,17,7
New Orleans Saints,Foster Moreau,3,33,11.0,0,18,4
New Orleans Saints,Rashid Shaheed,4,28,7.0,0,12,8
Las Vegas Raiders,Davante Adams,7,57,8.1,0,15,12
Las Vegas Raiders,Jakobi Meyers,7,50,7.1,1,15,13
Las Vegas Raiders,Zamir White,3,26,8.7,0,15,3
Las Vegas Raiders,Austin Hooper,2,18,9.0,0,12,2
Las Vegas Raiders,Tre Tucker,2,16,8.0,0,12,3
Las Vegas Raiders,Hunter Renfrow,2,14,7.0,0,9,3
Las Vegas Raiders,Michael Mayer,2,13,6.5,0,11,4
Las Vegas Raiders,Josh Jacobs,1,6,6.0,0,6,4
Las Vegas Raiders,Jesper Horsted,1,4,4.0,0,4,1
Chicago Bears,DJ Moore,8,54,6.8,0,15,9
Chicago Bears,Darnell Mooney,4,32,8.0,0,11,5
Chicago Bears,D'Onta Foreman,3,31,10.3,1,17,5
Chicago Bears,Tyler Scott,2,19,9.5,0,13,3
Chicago Bears,Marcedes Lewis,1,16,16.0,0,16,1
Chicago Bears,Darrynton Evans,1,6,6.0,0,6,3
Chicago Bears,Khari Blasingame,1,4,4.0,0,4,1
Chicago Bears,Velus Jones Jr.,1,0,0.0,0,0,1
Chicago Bears,Travis Homer,0,0,0.0,0,0,1
Cleveland Browns,Elijah Moore,4,59,14.8,0,30,7
Cleveland Browns,David Njoku,5,54,10.8,0,26,9
Cleveland Browns,Amari Cooper,2,22,11.0,0,13,8
Cleveland Browns,Donovan Peoples-Jones,2,22,11.0,0,17,3
Cleveland Browns,Jerome Ford,2,20,10.0,0,12,4
Cleveland Browns,Marquise Goodwin,1,6,6.0,0,6,2
Cleveland Browns,Kareem Hunt,0,0,0.0,0,0,1
Cleveland Browns,Harrison Bryant,0,0,0.0,0,0,1
Indianapolis Colts,Josh Downs,5,125,25.0,1,59,6
Indianapolis Colts,Michael Pittman Jr.,2,83,41.5,1,75,5
Indianapolis Colts,Alec Pierce,3,53,17.7,0,32,3
Indianapolis Colts,Jonathan Taylor,3,45,15.0,0,20,4
Indianapolis Colts,Zack Moss,1,5,5.0,0,5,2
Indianapolis Colts,Will Mallory,0,0,0.0,0,0,1
Indianapolis Colts,Mo Alie-Cox,1,-6,-6.0,0,-6,1
Buffalo Bills,Dalton Kincaid,8,75,9.4,0,15,8
Buffalo Bills,Stefon Diggs,6,58,9.7,1,25,12
Buffalo Bills,James Cook,3,46,15.3,1,28,3
Buffalo Bills,Khalil Shakir,4,35,8.8,0,13,4
Buffalo Bills,Latavius Murray,2,20,10.0,0,17,2
Buffalo Bills,Dawson Knox,1,10,10.0,0,10,3
Buffalo Bills,Deonte Harty,1,10,10.0,0,10,1
Buffalo Bills,Gabe Davis,1,6,6.0,0,6,5
Buffalo Bills,Trent Sherfield,1,5,5.0,0,5,1
New England Patriots,Kendrick Bourne,6,63,10.5,1,33,7
New England Patriots,Demario Douglas,4,54,13.5,0,19,6
New England Patriots,Pharaoh Brown,2,51,25.5,0,26,2
New England Patriots,Rhamondre Stevenson,6,51,8.5,0,34,6
New England Patriots,Hunter Henry,2,27,13.5,0,14,3
New England Patriots,Jalen Reagor,1,11,11.0,0,11,1
New England Patriots,DeVante Parker,1,8,8.0,0,8,1
New England Patriots,Mike Gesicki,2,5,2.5,1,4,2
New England Patriots,Tyquan Thornton,1,2,2.0,0,2,1
New England Patriots,Ezekiel Elliott,0,0,0.0,0,0,1
Washington Commanders,Terry McLaurin,6,90,15.0,0,31,9
Washington Commanders,Logan Thomas,4,51,12.8,0,15,6
Washington Commanders,Jahan Dotson,5,43,8.6,0,10,8
Washington Commanders,Curtis Samuel,4,25,6.3,0,18,8
Washington Commanders,Antonio Gibson,2,24,12.0,0,12,2
Washington Commanders,Byron Pringle,1,16,16.0,0,16,1
Washington Commanders,John Bates,0,0,0.0,0,0,1
Washington Commanders,Brian Robinson Jr.,0,0,0.0,0,0,1
New York Giants,Darren Waller,7,98,14.0,1,27,8
New York Giants,Jalin Hyatt,2,75,37.5,0,42,5
New York Giants,Saquon Barkley,3,41,13.7,1,32,4
New York Giants,Darius Slayton,1,22,22.0,0,22,2
New York Giants,Wan'Dale Robinson,1,22,22.0,0,22,2
New York Giants,Isaiah Hodgins,2,13,6.5,0,8,4
New York Giants,Matt Breida,1,5,5.0,0,5,1
New York Giants,Sterling Shepard,1,3,3.0,0,3,1
Atlanta Falcons,Drake London,6,54,9.0,0,15,7
Atlanta Falcons,Tyler Allgeier,3,53,17.7,0,46,3
Atlanta Falcons,Kyle Pitts,3,47,15.7,0,39,5
Atlanta Falcons,Scott Miller,1,46,46.0,0,46,1
Atlanta Falcons,Jonnu Smith,3,27,9.0,0,18,3
Atlanta Falcons,KhaDarel Hodge,1,19,19.0,0,19,1
Atlanta Falcons,Van Jefferson,1,5,5.0,0,5,2
Atlanta Falcons,Keith Smith,1,-1,-1.0,0,-1,1
Tampa Bay Buccaneers,Mike Evans,6,82,13.7,1,40,8
Tampa Bay Buccaneers,Chris Godwin,6,66,11.0,0,33,12
Tampa Bay Buccaneers,Rachaad White,6,65,10.8,0,22,6
Tampa Bay Buccaneers,Cade Otton,5,43,8.6,0,12,6
Tampa Bay Buccaneers,Deven Thompkins,3,14,4.7,0,9,3
Tampa Bay Buccaneers,Trey Palmer,1,5,5.0,0,5,2
Tampa Bay Buccaneers,Ke'Shawn Vaughn,0,0,0.0,0,0,1
Tampa Bay Buccaneers,Payne Durham,0,0,0.0,0,0,1
Tampa Bay Buccaneers,Rakim Jarrett,0,0,0.0,0,0,2
Detroit Lions,Amon-Ra St. Brown,13,102,7.8,0,15,19
Detroit Lions,Jahmyr Gibbs,9,58,6.4,0,21,10
Detroit Lions,Sam LaPorta,6,52,8.7,0,13,7
Detroit Lions,Josh Reynolds,2,43,21.5,0,22,3
Detroit Lions,Kalif Raymond,2,20,10.0,0,11,2
Detroit Lions,Craig Reynolds,1,9,9.0,0,9,1
Detroit Lions,Antoine Green,0,0,0.0,0,0,1
Detroit Lions,Jameson Williams,0,0,0.0,0,0,6
Baltimore Ravens,Gus Edwards,1,80,80.0,0,80,1
Baltimore Ravens,Zay Flowers,4,75,18.8,0,46,6
Baltimore Ravens,Mark Andrews,4,63,15.8,2,22,6
Baltimore Ravens,Odell Beckham Jr.,5,49,9.8,0,20,7
