team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Jacksonville Jaguars,Trevor Lawrence,20/31,229,7.4,0,0,1-11,64.2,86.6
New York Jets,Zach Wilson,9/18,92,5.1,0,1,3-21,5.7,41.9
New York Jets,Chris Streveler,10/15,90,6.0,0,0,0-0,73.9,82.6
Buffalo Bills,Josh Allen,15/26,172,6.6,2,2,1-0,47.1,71.3
Chicago Bears,Justin Fields,15/23,119,5.2,1,0,2-15,55.5,92.5
Chicago Bears,Nathan Peterman,3/5,25,5.0,0,1,0-0,42.6,33.3
New Orleans Saints,Andy Dalton,8/15,92,6.1,0,1,0-0,24.6,44.3
Cleveland Browns,Deshaun Watson,15/31,135,4.4,0,1,2-10,24.3,47.1
Seattle Seahawks,Geno Smith,25/40,215,5.4,1,1,2-15,51.0,74.5
Kansas City Chiefs,Patrick Mahomes,16/28,224,8.0,2,0,1-4,37.6,106.8
New York Giants,Daniel Jones,30/42,334,8.0,1,1,3-15,59.1,92.8
Minnesota Vikings,Kirk Cousins,34/48,299,6.2,3,0,4-29,51.3,107.9
Cincinnati Bengals,Joe Burrow,40/52,375,7.2,3,2,2-6,77.4,99.4
New England Patriots,Mac Jones,21/33,240,7.3,2,0,4-16,58.3,105.6
Detroit Lions,Jared Goff,25/42,355,8.5,3,0,2-19,59.8,110.7
Carolina Panthers,Sam Darnold,15/22,250,11.4,1,0,0-0,86.9,121.4
Atlanta Falcons,Desmond Ridder,22/33,218,6.6,0,0,2-6,54.5,85.2
Baltimore Ravens,Tyler Huntley,9/17,115,6.8,1,0,0-0,17.7,94.0
Houston Texans,Davis Mills,17/28,178,6.4,1,1,1-3,23.3,76.2
Houston Texans,Jeff Driskel,3/4,40,10.0,0,0,0-0,18.2,106.2
Tennessee Titans,Malik Willis,14/23,99,4.3,0,2,4-11,36.0,34.5
Washington Commanders,Taylor Heinicke,13/18,166,9.2,2,1,2-19,84.2,114.6
Washington Commanders,Carson Wentz,12/16,123,7.7,1,0,0-0,70.7,117.4
San Francisco 49ers,Brock Purdy,15/22,234,10.6,2,1,3-16,63.5,114.6
Philadelphia Eagles,Gardner Minshew,24/40,355,8.9,2,2,0-0,73.9,84.9
Dallas Cowboys,Dak Prescott,27/35,347,9.9,3,1,6-43,87.1,124.3
Las Vegas Raiders,Derek Carr,16/30,174,5.8,1,3,3-31,21.1,42.2
Pittsburgh Steelers,Kenny Pickett,26/39,244,6.3,1,1,0-0,59.9,81.6
Green Bay Packers,Aaron Rodgers,24/38,238,6.3,1,1,2-16,34.1,78.6
Miami Dolphins,Tua Tagovailoa,16/25,310,12.4,1,3,2-16,26.7,80.8
Denver Broncos,Russell Wilson,15/27,214,7.9,1,3,6-40,3.7,54.2
Denver Broncos,Brett Rypien,4/8,45,5.6,0,1,0-0,11.8,27.6
Los Angeles Rams,Baker Mayfield,24/28,230,8.2,2,0,0-0,87.1,124.7
Tampa Bay Buccaneers,Tom Brady,32/48,281,5.9,1,2,0-0,36.4,71.6
Arizona Cardinals,Trace McSorley,24/45,217,4.8,0,1,1-17,9.6,57.4
Arizona Cardinals,Andy Lee,1/1,4,4.0,0,0,0-0,--,83.3
Los Angeles Chargers,Justin Herbert,24/31,235,7.6,0,1,4-22,34.1,84.7
Indianapolis Colts,Nick Foles,17/29,143,4.9,0,3,7-39,4.0,31.9
