team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Jacksonville Jaguars,Riley Patterson,4/5,80.0,45,1/1,13
New York Jets,Greg Zuerlein,1/1,100.0,37,0/0,3
Buffalo Bills,Tyler Bass,0/1,0.0,0,3/4,3
Chicago Bears,Cairo Santos,2/2,100.0,37,1/1,7
New Orleans Saints,Wil Lutz,1/1,100.0,23,2/2,5
Cleveland Browns,Cade York,1/1,100.0,30,1/1,4
Seattle Seahawks,Jason Myers,1/1,100.0,22,1/1,4
Kansas City Chiefs,Harrison Butker,1/1,100.0,47,3/3,6
New York Giants,Graham Gano,3/3,100.0,55,1/1,10
Minnesota Vikings,Greg Joseph,2/2,100.0,61,3/3,9
Cincinnati Bengals,Evan McPherson,1/2,50.0,28,1/2,4
New England Patriots,Nick Folk,0/0,0.0,0,0/2,0
Detroit Lions,Michael Badgley,1/1,100.0,34,2/2,5
Carolina Panthers,Eddy Pineiro,3/3,100.0,40,4/4,13
Atlanta Falcons,Younghoe Koo,3/3,100.0,37,0/0,9
Baltimore Ravens,Justin Tucker,3/4,75.0,27,0/0,9
Houston Texans,Ka'imi Fairbairn,2/2,100.0,25,1/1,7
Tennessee Titans,Randy Bullock,0/0,0.0,0,2/2,2
Washington Commanders,Joey Slye,0/0,0.0,0,2/2,2
San Francisco 49ers,Robbie Gould,3/3,100.0,35,4/4,13
Philadelphia Eagles,Jake Elliott,2/2,100.0,47,4/4,10
Dallas Cowboys,Brett Maher,4/4,100.0,48,4/4,16
Las Vegas Raiders,Daniel Carlson,1/1,100.0,40,1/1,4
Pittsburgh Steelers,Chris Boswell,2/4,50.0,44,1/1,7
Green Bay Packers,Mason Crosby,4/4,100.0,46,2/2,14
Miami Dolphins,Jason Sanders,2/3,67.0,46,2/2,8
Denver Broncos,Brandon McManus,2/2,100.0,54,0/0,6
Los Angeles Rams,Matt Gay,3/3,100.0,55,6/6,15
Tampa Bay Buccaneers,Ryan Succop,4/4,100.0,42,1/1,13
Arizona Cardinals,Matt Prater,3/3,100.0,56,1/1,10
Los Angeles Chargers,Cameron Dicker,2/2,100.0,24,2/2,8
Indianapolis Colts,Chase McLaughlin,1/1,100.0,46,0/0,3
