team,player,receptions,receivingYards,yardsPerReception,receivingTouchdowns,longReception,receivingTargets
Jacksonville Jaguars,Evan Engram,7,113,16.1,0,36,8
Jacksonville Jaguars,Travis Etienne Jr.,3,29,9.7,0,22,3
Jacksonville Jaguars,Christian Kirk,3,22,7.3,0,12,6
Jacksonville Jaguars,Dan Arnold,1,17,17.0,0,17,1
Jacksonville Jaguars,Marvin Jones Jr.,3,15,5.0,0,7,4
Jacksonville Jaguars,Zay Jones,1,14,14.0,0,14,4
Jacksonville Jaguars,JaMycal Hasty,1,11,11.0,0,11,3
Jacksonville Jaguars,Jamal Agnew,1,8,8.0,0,8,1
New York Jets,Michael Carter,5,44,8.8,0,12,5
New York Jets,Tyler Conklin,4,34,8.5,0,27,4
New York Jets,C.J. Uzomah,1,30,30.0,0,30,1
New York Jets,Garrett Wilson,4,30,7.5,0,13,9
New York Jets,Zonovan Knight,1,15,15.0,0,15,1
New York Jets,Elijah Moore,2,15,7.5,0,8,3
New York Jets,Corey Davis,2,14,7.0,0,8,7
Buffalo Bills,Gabe Davis,3,45,15.0,1,19,6
Buffalo Bills,Dawson Knox,3,38,12.7,1,24,5
Buffalo Bills,Stefon Diggs,2,26,13.0,0,15,2
Buffalo Bills,Devin Singletary,2,19,9.5,0,10,3
Buffalo Bills,Reggie Gilliam,1,12,12.0,0,12,1
Buffalo Bills,Cole Beasley,1,9,9.0,0,9,1
Buffalo Bills,Nyheim Hines,1,9,9.0,0,9,2
Buffalo Bills,James Cook,1,9,9.0,0,9,2
Buffalo Bills,Khalil Shakir,1,5,5.0,0,5,1
Buffalo Bills,Isaiah McKenzie,0,0,0.0,0,0,2
Chicago Bears,Velus Jones Jr.,2,52,26.0,0,44,4
Chicago Bears,Byron Pringle,2,34,17.0,0,20,2
Chicago Bears,Cole Kmet,5,27,5.4,0,7,6
Chicago Bears,David Montgomery,4,22,5.5,0,10,4
Chicago Bears,Dante Pettis,2,11,5.5,1,6,5
Chicago Bears,Ryan Griffin,1,2,2.0,0,2,1
Chicago Bears,Khalil Herbert,2,-4,-2.0,0,-2,3
New Orleans Saints,Rashid Shaheed,4,41,10.3,0,16,5
New Orleans Saints,Alvin Kamara,2,34,17.0,0,29,4
New Orleans Saints,Juwan Johnson,1,9,9.0,0,9,2
New Orleans Saints,David Johnson,1,8,8.0,0,8,1
New Orleans Saints,Keith Kirkwood,0,0,0.0,0,0,2
Cleveland Browns,Amari Cooper,6,72,12.0,0,21,10
Cleveland Browns,David Bell,1,18,18.0,0,18,2
Cleveland Browns,David Njoku,2,14,7.0,0,8,5
Cleveland Browns,Kareem Hunt,3,14,4.7,0,15,3
Cleveland Browns,Nick Chubb,1,10,10.0,0,10,1
Cleveland Browns,Michael Woods II,1,5,5.0,0,5,1
Cleveland Browns,Donovan Peoples-Jones,1,2,2.0,0,2,5
Seattle Seahawks,DK Metcalf,7,81,11.6,0,35,9
Seattle Seahawks,Colby Parkinson,3,45,15.0,0,39,4
Seattle Seahawks,DeeJay Dallas,6,32,5.3,0,8,6
Seattle Seahawks,Laquon Treadwell,3,26,8.7,0,17,7
Seattle Seahawks,Will Dissly,1,19,19.0,0,19,1
Seattle Seahawks,Noah Fant,2,12,6.0,1,6,3
Seattle Seahawks,Penny Hart,1,2,2.0,0,2,2
Seattle Seahawks,Marquise Goodwin,0,0,0.0,0,0,4
Seattle Seahawks,Kenneth Walker III,2,-2,-1.0,0,0,2
Kansas City Chiefs,Travis Kelce,6,113,18.8,0,52,8
Kansas City Chiefs,Isiah Pacheco,1,32,32.0,0,32,2
Kansas City Chiefs,Jerick McKinnon,3,31,10.3,1,16,3
Kansas City Chiefs,JuJu Smith-Schuster,3,27,9.0,0,13,4
Kansas City Chiefs,Kadarius Toney,1,8,8.0,1,8,2
Kansas City Chiefs,Noah Gray,1,8,8.0,0,8,1
Kansas City Chiefs,Skyy Moore,1,5,5.0,0,5,1
Kansas City Chiefs,Marquez Valdes-Scantling,0,0,0.0,0,0,2
Kansas City Chiefs,Justin Watson,0,0,0.0,0,0,4
New York Giants,Richie James,8,90,11.3,0,33,11
New York Giants,Isaiah Hodgins,8,89,11.1,1,29,12
New York Giants,Darius Slayton,4,79,19.8,0,32,6
New York Giants,Saquon Barkley,8,49,6.1,0,18,10
New York Giants,Daniel Bellinger,2,27,13.5,0,15,2
Minnesota Vikings,Justin Jefferson,12,133,11.1,1,25,16
Minnesota Vikings,T.J. Hockenson,13,109,8.4,2,16,16
Minnesota Vikings,K.J. Osborn,3,17,5.7,0,8,4
Minnesota Vikings,Johnny Mundt,1,16,16.0,0,16,1
Minnesota Vikings,Dalvin Cook,3,13,4.3,0,6,4
Minnesota Vikings,Adam Thielen,1,6,6.0,0,6,5
Minnesota Vikings,C.J. Ham,1,5,5.0,0,5,1
