team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Carolina Panthers,Eddy Pineiro,2/3,67.0,39,1/1,7
Chicago Bears,Cairo Santos,3/3,100.0,54,1/1,10
Indianapolis Colts,Matt Gay,1/2,50.0,51,1/1,4
New England Patriots,Chad Ryland,2/3,67.0,37,0/0,6
Houston Texans,Matt Ammendola,3/3,100.0,45,3/3,12
Cincinnati Bengals,Evan McPherson,2/2,100.0,50,3/3,9
New Orleans Saints,Blake Grupe,1/1,100.0,48,0/0,3
Minnesota Vikings,Greg Joseph,2/3,67.0,40,3/3,9
Green Bay Packers,Anders Carlson,2/2,100.0,31,1/2,7
Pittsburgh Steelers,Chris Boswell,3/3,100.0,49,2/2,11
Tennessee Titans,Nick Folk,2/3,67.0,38,0/0,6
Tampa Bay Buccaneers,Chase McLaughlin,2/2,100.0,35,2/2,8
San Francisco 49ers,Jake Moody,2/2,100.0,39,4/4,10
Jacksonville Jaguars,Brandon McManus,1/1,100.0,37,0/0,3
Cleveland Browns,Dustin Hopkins,4/4,100.0,40,1/2,13
Baltimore Ravens,Justin Tucker,1/2,50.0,37,4/4,7
Atlanta Falcons,Younghoe Koo,1/1,100.0,36,2/2,5
Arizona Cardinals,Matt Prater,4/4,100.0,56,1/1,13
Detroit Lions,Riley Patterson,2/2,100.0,41,5/5,11
Los Angeles Chargers,Cameron Dicker,1/1,100.0,48,5/5,8
New York Giants,Randy Bullock,1/1,100.0,40,2/2,5
Dallas Cowboys,Brandon Aubrey,0/0,0.0,0,7/7,7
Washington Commanders,Joey Slye,2/2,100.0,49,2/3,8
Seattle Seahawks,Jason Myers,5/5,100.0,45,2/2,17
New York Jets,Greg Zuerlein,4/4,100.0,53,0/0,12
Las Vegas Raiders,Daniel Carlson,3/3,100.0,54,1/1,10
Denver Broncos,Wil Lutz,4/4,100.0,49,0/1,12
Buffalo Bills,Tyler Bass,0/0,0.0,0,2/2,2
