team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Jacksonville Jaguars,Matthew Wright,0/0,0.0,0,3/3,3
Cincinnati Bengals,Evan McPherson,1/2,50.0,35,3/3,6
Washington,Dustin Hopkins,1/1,100.0,21,1/3,4
Atlanta Falcons,Younghoe Koo,1/1,100.0,25,3/3,6
Buffalo Bills,Tyler Bass,4/4,100.0,33,4/4,16
Detroit Lions,Ryan Santoso,0/0,0.0,0,2/2,2
Chicago Bears,Cairo Santos,1/1,100.0,33,3/3,6
Carolina Panthers,Zane Gonzalez,0/1,0.0,0,4/4,4
Dallas Cowboys,Greg Zuerlein,1/1,100.0,37,3/3,6
Indianapolis Colts,Rodrigo Blankenship,2/2,100.0,43,3/3,9
Miami Dolphins,Jason Sanders,1/1,100.0,38,2/2,5
Cleveland Browns,Chase McLaughlin,2/2,100.0,53,0/0,6
Minnesota Vikings,Greg Joseph,0/0,0.0,0,1/1,1
New York Giants,Graham Gano,2/3,67.0,48,1/1,7
New Orleans Saints,Aldrick Rosas,0/1,0.0,0,3/3,3
Tennessee Titans,Randy Bullock,3/4,75.0,46,1/1,10
New York Jets,Matt Ammendola,2/2,100.0,27,3/3,9
Kansas City Chiefs,Harrison Butker,0/0,0.0,0,6/6,6
Philadelphia Eagles,Jake Elliott,3/3,100.0,31,3/3,12
Arizona Cardinals,Matt Prater,3/3,100.0,55,4/4,13
Los Angeles Rams,Matt Gay,2/3,67.0,42,2/2,8
Seattle Seahawks,Jason Myers,0/0,0.0,0,4/4,4
San Francisco 49ers,Mitch Wishnowsky,0/1,0.0,0,1/2,1
Baltimore Ravens,Justin Tucker,3/3,100.0,46,2/2,11
Denver Broncos,Brandon McManus,0/0,0.0,0,1/1,1
Pittsburgh Steelers,Chris Boswell,1/1,100.0,52,2/2,5
Green Bay Packers,Mason Crosby,2/2,100.0,29,3/3,9
Tampa Bay Buccaneers,Ryan Succop,4/5,80.0,48,1/1,13
New England Patriots,Nick Folk,1/2,50.0,27,2/2,5
Las Vegas Raiders,Daniel Carlson,0/1,0.0,0,2/2,2
Los Angeles Chargers,Tristan Vizcaino,0/0,0.0,0,4/4,4
