team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Cincinnati Bengals,Evan McPherson,2/3,67.0,50,2/2,8
Baltimore Ravens,Justin Tucker,2/2,100.0,47,4/4,10
Pittsburgh Steelers,Chris Boswell,1/1,100.0,28,1/1,4
Cleveland Browns,Dustin Hopkins,2/2,100.0,34,1/1,7
Chicago Bears,Cairo Santos,4/4,100.0,53,2/2,14
Detroit Lions,Riley Patterson,0/0,0.0,0,3/3,3
Los Angeles Chargers,Cameron Dicker,2/2,100.0,26,2/2,8
Green Bay Packers,Anders Carlson,1/2,50.0,28,2/3,5
Las Vegas Raiders,Daniel Carlson,2/2,100.0,47,1/1,7
Miami Dolphins,Jason Sanders,2/3,67.0,51,2/2,8
New York Giants,Randy Bullock,1/1,100.0,36,4/4,7
Washington Commanders,Joey Slye,2/2,100.0,42,1/2,7
Dallas Cowboys,Brandon Aubrey,2/2,100.0,30,3/4,9
Carolina Panthers,Eddy Pineiro,1/1,100.0,42,1/1,4
Tennessee Titans,Nick Folk,0/0,0.0,0,2/2,2
Jacksonville Jaguars,Brandon McManus,2/2,100.0,30,4/4,10
Arizona Cardinals,Matt Prater,1/1,100.0,57,1/1,4
Houston Texans,Matt Ammendola,0/1,0.0,0,3/3,3
Tampa Bay Buccaneers,Chase McLaughlin,0/0,0.0,0,2/2,2
San Francisco 49ers,Jake Moody,2/2,100.0,37,3/3,9
Buffalo Bills,Tyler Bass,4/4,100.0,50,2/3,14
Seattle Seahawks,Jason Myers,3/4,75.0,54,1/1,10
Los Angeles Rams,Lucas Havrisik,1/1,100.0,22,2/2,5
Minnesota Vikings,Greg Joseph,2/2,100.0,34,2/2,8
Denver Broncos,Wil Lutz,5/5,100.0,52,0/0,15
Philadelphia Eagles,Jake Elliott,0/0,0.0,0,3/3,3
Kansas City Chiefs,Harrison Butker,1/1,100.0,43,2/2,5
