team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Jacksonville Jaguars,Trevor Lawrence,20/29,204,7.0,1,0,0-0,80.4,100.4
Jacksonville Jaguars,Logan Cooke,1/1,13,13.0,0,0,0-0,--,118.8
New Orleans Saints,Derek Carr,33/55,301,5.5,1,1,1-6,38.2,73.4
Las Vegas Raiders,Brian Hoyer,17/32,129,4.0,0,2,1-8,44.0,37.1
Las Vegas Raiders,Aidan O'Connell,10/13,75,5.8,1,1,0-0,39.5,83.8
Chicago Bears,Tyson Bagent,21/29,162,5.6,1,0,1-7,73.1,97.2
Chicago Bears,Nathan Peterman,0/0,0,0.0,0,0,1-5,1.8,0.0
Cleveland Browns,PJ Walker,15/32,178,5.6,0,1,2-17,27.2,51.3
Cleveland Browns,Deshaun Watson,1/5,5,1.0,0,1,0-0,0.4,0.0
Indianapolis Colts,Gardner Minshew,15/23,305,13.3,2,1,4-17,82.1,119.4
Buffalo Bills,Josh Allen,27/41,265,6.5,2,1,1-7,66.5,90.0
New England Patriots,Mac Jones,25/30,272,9.1,2,0,1-4,73.9,126.7
Washington Commanders,Sam Howell,22/42,249,5.9,0,1,6-52,21.1,60.5
New York Giants,Tyrod Taylor,18/29,279,9.6,2,0,4-29,52.2,116.9
Atlanta Falcons,Desmond Ridder,19/25,250,10.0,0,0,1-5,61.2,107.1
Tampa Bay Buccaneers,Baker Mayfield,27/42,275,6.5,1,1,3-19,41.7,81.0
Detroit Lions,Jared Goff,33/53,284,5.4,0,1,5-31,16.8,68.4
Baltimore Ravens,Lamar Jackson,21/27,357,13.2,3,0,0-0,95.0,155.8
Baltimore Ravens,Tyler Huntley,0/1,0,0.0,0,0,0-0,0.2,39.6
Pittsburgh Steelers,Kenny Pickett,17/25,230,9.2,0,0,2-16,51.0,97.1
Los Angeles Rams,Matthew Stafford,14/29,231,8.0,1,1,2-12,55.4,72.6
Arizona Cardinals,Joshua Dobbs,19/33,146,4.4,0,0,4-28,43.4,68.5
Arizona Cardinals,Clayton Tune,1/1,4,4.0,0,0,0-0,0.0,83.3
Seattle Seahawks,Geno Smith,18/24,219,9.1,2,1,2-16,70.4,113.0
Green Bay Packers,Jordan Love,21/31,180,5.8,2,1,0-0,79.5,90.8
Green Bay Packers,Dontayvion Wicks,1/1,14,14.0,0,0,0-0,92.7,118.8
Denver Broncos,Russell Wilson,20/29,194,6.7,1,0,1-0,78.8,98.9
Los Angeles Chargers,Justin Herbert,17/30,259,8.6,1,2,5-40,48.6,68.6
Kansas City Chiefs,Patrick Mahomes,32/42,424,10.1,4,1,1-9,93.0,129.5
Miami Dolphins,Tua Tagovailoa,23/32,216,6.8,1,1,3-10,39.5,87.5
Miami Dolphins,Cedrick Wilson Jr.,0/0,0,0.0,0,0,1-7,0.1,0.0
Philadelphia Eagles,Jalen Hurts,23/31,279,9.0,2,1,3-23,76.5,109.5
San Francisco 49ers,Brock Purdy,21/30,272,9.1,1,2,1-12,70.6,81.5
Minnesota Vikings,Kirk Cousins,35/45,378,8.4,2,1,0-0,78.5,107.2
