team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
New York Giants,Graham Gano,2/2,100.0,57,0/0,6
San Francisco 49ers,Jake Moody,3/3,100.0,36,3/3,12
Tennessee Titans,Nick Folk,1/1,100.0,44,0/0,3
Cleveland Browns,Dustin Hopkins,2/2,100.0,52,3/3,9
Atlanta Falcons,Younghoe Koo,2/3,67.0,48,0/0,6
Detroit Lions,Riley Patterson,2/2,100.0,37,2/2,8
New Orleans Saints,Blake Grupe,1/2,50.0,25,2/2,5
Green Bay Packers,Anders Carlson,1/1,100.0,38,1/1,4
Denver Broncos,Wil Lutz,2/2,100.0,31,2/2,8
Miami Dolphins,Jason Sanders,0/0,0.0,0,10/10,10
Los Angeles Chargers,Cameron Dicker,0/1,0.0,0,4/4,4
Minnesota Vikings,Greg Joseph,1/1,100.0,23,3/3,6
New England Patriots,Chad Ryland,2/4,50.0,51,1/1,7
New York Jets,Greg Zuerlein,1/1,100.0,52,1/1,4
Buffalo Bills,Tyler Bass,3/3,100.0,54,4/4,13
Washington Commanders,Joey Slye,1/1,100.0,51,0/0,3
Houston Texans,Ka'imi Fairbairn,3/3,100.0,33,4/4,13
Jacksonville Jaguars,Brandon McManus,1/3,33.0,33,2/2,5
Indianapolis Colts,Matt Gay,5/5,100.0,54,1/1,16
Baltimore Ravens,Justin Tucker,1/2,50.0,50,2/2,5
Carolina Panthers,Eddy Pineiro,2/3,67.0,47,3/3,9
Seattle Seahawks,Jason Myers,5/5,100.0,43,2/2,17
Chicago Bears,Cairo Santos,1/1,100.0,21,1/1,4
Kansas City Chiefs,Harrison Butker,2/2,100.0,41,5/5,11
Dallas Cowboys,Brandon Aubrey,3/3,100.0,49,1/1,10
Arizona Cardinals,Matt Prater,3/3,100.0,62,1/1,10
Pittsburgh Steelers,Chris Boswell,3/3,100.0,57,2/2,11
Las Vegas Raiders,Daniel Carlson,1/1,100.0,26,1/1,4
Philadelphia Eagles,Jake Elliott,3/3,100.0,38,2/2,11
Tampa Bay Buccaneers,Chase McLaughlin,1/1,100.0,33,0/0,3
Los Angeles Rams,Brett Maher,3/3,100.0,42,1/1,10
Cincinnati Bengals,Evan McPherson,4/5,80.0,54,1/1,13
