team,player,rushingAttempts,rushingYards,yardsPerRushAttempt,rushingTouchdowns,longRushing
Seattle Seahawks,Zach Charbonnet,19,60,3.2,1,14
Seattle Seahawks,Geno Smith,2,6,3.0,1,5
Seattle Seahawks,DeeJay Dallas,1,6,6.0,0,6
Dallas Cowboys,Tony Pollard,20,68,3.4,1,16
Dallas Cowboys,CeeDee Lamb,2,30,15.0,0,24
Dallas Cowboys,Dak Prescott,7,23,3.3,0,8
Dallas Cowboys,Rico Dowdle,5,15,3.0,0,8
Indianapolis Colts,Zack Moss,19,51,2.7,0,5
Indianapolis Colts,Kylen Granson,1,2,2.0,0,2
Indianapolis Colts,Gardner Minshew,3,2,0.7,0,4
Tennessee Titans,Derrick Henry,21,102,4.9,2,22
Tennessee Titans,Tyjae Spears,16,75,4.7,0,19
Tennessee Titans,Will Levis,2,5,2.5,0,6
Tennessee Titans,DeAndre Hopkins,1,4,4.0,0,4
Tennessee Titans,Chigoziem Okonkwo,1,2,2.0,0,2
Tennessee Titans,Ryan Stonehouse,1,-11,-11.0,0,-11
Los Angeles Chargers,Austin Ekeler,14,18,1.3,0,4
Los Angeles Chargers,Joshua Kelley,6,16,2.7,0,7
Los Angeles Chargers,Justin Herbert,4,-5,-1.3,0,1
New England Patriots,Ezekiel Elliott,17,52,3.1,0,8
New England Patriots,Tyquan Thornton,1,39,39.0,0,39
New England Patriots,Rhamondre Stevenson,9,39,4.3,0,9
New England Patriots,Bailey Zappe,4,16,4.0,0,5
New England Patriots,Ty Montgomery II,1,2,2.0,0,2
Detroit Lions,Jahmyr Gibbs,8,60,7.5,0,36
Detroit Lions,David Montgomery,18,56,3.1,1,13
Detroit Lions,Jameson Williams,1,19,19.0,1,19
Detroit Lions,Kalif Raymond,1,9,9.0,0,9
Detroit Lions,Jared Goff,2,-2,-1.0,0,-1
New Orleans Saints,Taysom Hill,13,59,4.5,1,21
New Orleans Saints,Alvin Kamara,14,51,3.6,2,16
New Orleans Saints,Jamaal Williams,5,10,2.0,0,4
New Orleans Saints,Derek Carr,2,-1,-0.5,0,0
New Orleans Saints,Lynn Bowden Jr.,2,-6,-3.0,0,4
Atlanta Falcons,Bijan Robinson,18,53,2.9,0,12
Atlanta Falcons,Tyler Allgeier,8,26,3.3,0,6
Atlanta Falcons,Cordarrelle Patterson,5,11,2.2,0,7
Atlanta Falcons,Desmond Ridder,3,0,0.0,0,1
New York Jets,Dalvin Cook,9,35,3.9,0,14
New York Jets,Breece Hall,13,16,1.2,0,9
New York Jets,Trevor Siemian,1,8,8.0,0,8
New York Jets,Tim Boyle,1,2,2.0,0,2
New York Jets,Xavier Gipson,1,1,1.0,0,1
Arizona Cardinals,James Conner,25,105,4.2,2,29
Arizona Cardinals,Michael Carter,4,25,6.3,0,19
Arizona Cardinals,Kyler Murray,9,20,2.2,0,9
Pittsburgh Steelers,Najee Harris,16,63,3.9,0,11
Pittsburgh Steelers,Jaylen Warren,9,59,6.6,0,18
Pittsburgh Steelers,Mitch Trubisky,3,5,1.7,0,6
Pittsburgh Steelers,Kenny Pickett,3,3,1.0,0,2
Miami Dolphins,De'Von Achane,17,73,4.3,2,15
Miami Dolphins,Raheem Mostert,11,43,3.9,1,12
Miami Dolphins,Jeff Wilson Jr.,4,11,2.8,0,6
Miami Dolphins,Tyreek Hill,2,-4,-2.0,0,6
Washington Commanders,Brian Robinson Jr.,7,53,7.6,0,29
Washington Commanders,Antonio Gibson,10,35,3.5,0,9
Washington Commanders,Chris Rodriguez Jr.,7,29,4.1,0,15
Washington Commanders,Sam Howell,4,21,5.3,2,13
Denver Broncos,Javonte Williams,13,46,3.5,0,16
Denver Broncos,Russell Wilson,10,44,4.4,1,11
Denver Broncos,Jaleel McLaughlin,4,15,3.8,0,8
Denver Broncos,Marvin Mims Jr.,1,8,8.0,0,8
Denver Broncos,Michael Burton,1,4,4.0,0,4
Denver Broncos,Samaje Perine,1,1,1.0,0,1
Houston Texans,Dameon Pierce,15,41,2.7,1,22
Houston Texans,Devin Singletary,8,36,4.5,0,14
Houston Texans,C.J. Stroud,6,11,1.8,0,4
Houston Texans,Dare Ogunbowale,1,1,1.0,0,1
Carolina Panthers,Chuba Hubbard,25,104,4.2,2,17
Carolina Panthers,Miles Sanders,8,23,2.9,0,8
Carolina Panthers,Raheem Blackshear,1,6,6.0,0,6
Tampa Bay Buccaneers,Rachaad White,20,84,4.2,1,30
Tampa Bay Buccaneers,Chris Godwin,1,19,19.0,1,19
Tampa Bay Buccaneers,Trey Palmer,1,13,13.0,0,13
Tampa Bay Buccaneers,Chase Edmonds,2,7,3.5,0,4
Tampa Bay Buccaneers,Deven Thompkins,2,7,3.5,0,5
Tampa Bay Buccaneers,Baker Mayfield,2,-2,-1.0,0,-1
Cleveland Browns,Kareem Hunt,12,48,4.0,0,7
Cleveland Browns,Pierre Strong Jr.,2,20,10.0,0,13
Cleveland Browns,Jerome Ford,9,19,2.1,0,10
Los Angeles Rams,Kyren Williams,21,88,4.2,1,18
Los Angeles Rams,Puka Nacua,2,34,17.0,0,31
Los Angeles Rams,Royce Freeman,1,0,0.0,0,0
Los Angeles Rams,Matthew Stafford,1,-2,-2.0,0,-2
San Francisco 49ers,Christian McCaffrey,17,93,5.5,1,16
San Francisco 49ers,Deebo Samuel,3,22,7.3,1,14
San Francisco 49ers,Elijah Mitchell,3,13,4.3,0,11
San Francisco 49ers,Jordan Mason,2,10,5.0,0,6
San Francisco 49ers,Brock Purdy,2,9,4.5,0,6
San Francisco 49ers,Sam Darnold,1,-1,-1.0,0,-1
Philadelphia Eagles,Jalen Hurts,7,20,2.9,1,7
Philadelphia Eagles,D'Andre Swift,6,13,2.2,0,4
Philadelphia Eagles,Marcus Mariota,2,6,3.0,0,5
Philadelphia Eagles,Kenneth Gainwell,2,5,2.5,0,3
Philadelphia Eagles,Boston Scott,1,2,2.0,0,2
Kansas City Chiefs,Isiah Pacheco,18,110,6.1,1,26
Kansas City Chiefs,Patrick Mahomes,4,26,6.5,0,10
Kansas City Chiefs,Kadarius Toney,1,6,6.0,0,6
Kansas City Chiefs,Clyde Edwards-Helaire,2,6,3.0,0,5
Green Bay Packers,AJ Dillon,18,73,4.1,0,10
Green Bay Packers,Patrick Taylor,2,29,14.5,0,24
Green Bay Packers,Christian Watson,2,15,7.5,0,13
Green Bay Packers,Jordan Love,2,10,5.0,0,8
Green Bay Packers,James Robinson,1,2,2.0,0,2
Cincinnati Bengals,Joe Mixon,19,68,3.6,2,18
Cincinnati Bengals,Chase Brown,9,61,6.8,0,31
Cincinnati Bengals,Jake Browning,2,22,11.0,1,21
Cincinnati Bengals,Tyler Boyd,1,5,5.0,0,5
Jacksonville Jaguars,Travis Etienne Jr.,11,45,4.1,1,13
Jacksonville Jaguars,Trevor Lawrence,5,8,1.6,1,2
Jacksonville Jaguars,C.J. Beathard,1,7,7.0,0,7
Jacksonville Jaguars,Calvin Ridley,3,7,2.3,0,10
Jacksonville Jaguars,D'Ernest Johnson,5,4,0.8,0,4
