team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Seattle Seahawks,Geno Smith,23/41,334,8.1,3,1,0-0,91.6,97.0
Seattle Seahawks,DeeJay Dallas,0/0,0,0.0,0,0,1-0,2.1,0.0
Dallas Cowboys,Dak Prescott,29/41,299,7.3,3,0,4-24,72.0,115.8
Indianapolis Colts,Gardner Minshew,26/42,312,7.4,2,0,3-12,59.3,100.5
Tennessee Titans,Will Levis,16/33,224,6.8,1,0,6-20,25.6,80.9
Los Angeles Chargers,Justin Herbert,22/37,212,5.7,0,0,0-0,53.2,75.5
New England Patriots,Bailey Zappe,13/25,141,5.6,0,0,5-32,16.2,68.9
Detroit Lions,Jared Goff,16/25,213,8.5,2,0,1-8,78.7,117.6
New Orleans Saints,Derek Carr,17/22,226,10.3,1,1,2-18,28.2,105.5
New Orleans Saints,Jameis Winston,2/5,41,8.2,0,0,0-0,22.8,69.6
New Orleans Saints,Taysom Hill,0/2,0,0.0,0,0,0-0,22.8,39.6
Atlanta Falcons,Desmond Ridder,12/27,121,4.5,1,0,3-17,46.6,70.1
New York Jets,Tim Boyle,14/25,148,5.9,0,1,1-5,20.2,56.8
New York Jets,Trevor Siemian,5/13,66,5.1,0,0,3-12,1.6,55.3
Arizona Cardinals,Kyler Murray,13/23,145,6.3,1,0,2-13,52.4,89.9
Pittsburgh Steelers,Mitch Trubisky,11/17,117,6.9,1,0,0-0,21.2,104.3
Pittsburgh Steelers,Kenny Pickett,7/10,70,7.0,0,0,0-0,43.7,89.6
Miami Dolphins,Tua Tagovailoa,18/24,280,11.7,2,0,0-0,89.9,141.0
Miami Dolphins,Mike White,1/1,3,3.0,0,0,0-0,0.2,79.2
Washington Commanders,Sam Howell,12/23,127,5.5,0,1,3-20,16.8,50.5
Denver Broncos,Russell Wilson,15/26,186,7.2,1,3,3-22,20.1,53.2
Houston Texans,C.J. Stroud,16/27,274,10.1,1,0,5-28,18.2,106.1
Houston Texans,Davis Mills,1/1,18,18.0,0,0,0-0,99.4,118.8
Carolina Panthers,Bryce Young,15/31,178,5.7,0,1,4-29,19.1,52.9
Tampa Bay Buccaneers,Baker Mayfield,14/29,202,7.0,1,1,1-8,24.5,68.5
Cleveland Browns,Joe Flacco,23/44,254,5.8,2,1,2-14,49.2,75.4
Los Angeles Rams,Matthew Stafford,22/37,279,7.5,3,0,0-0,80.7,110.1
San Francisco 49ers,Brock Purdy,19/27,314,11.6,4,0,2-4,81.7,148.8
Philadelphia Eagles,Jalen Hurts,26/45,298,6.6,1,0,3-27,37.2,85.2
Philadelphia Eagles,Marcus Mariota,2/3,16,5.3,0,0,0-0,35.2,79.9
Kansas City Chiefs,Patrick Mahomes,21/33,210,6.4,1,1,3-21,51.4,79.1
Green Bay Packers,Jordan Love,25/36,267,7.4,3,0,2-14,90.1,118.6
Cincinnati Bengals,Jake Browning,32/37,354,9.6,1,0,2-12,84.1,115.5
Cincinnati Bengals,Tyler Boyd,0/1,0,0.0,0,1,0-0,0.0,0.0
Cincinnati Bengals,Ja'Marr Chase,1/1,-7,-7.0,0,0,0-0,1.8,79.2
Jacksonville Jaguars,Trevor Lawrence,22/29,258,8.9,2,0,2-14,56.0,125.4
Jacksonville Jaguars,C.J. Beathard,9/10,63,6.3,0,0,2-2,12.0,92.9
