team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Baltimore Ravens,Lamar Jackson,26/43,238,5.5,1,1,4-28,48.9,73.6
Miami Dolphins,Tua Tagovailoa,8/13,158,12.2,0,0,1-6,37.0,104.0
Miami Dolphins,Jacoby Brissett,11/23,156,6.8,0,0,2-17,15.0,70.2
Miami Dolphins,Albert Wilson,0/0,0,0.0,0,0,1-1,0.2,0.0
Atlanta Falcons,Matt Ryan,9/21,117,5.6,0,2,2-20,11.0,21.4
Atlanta Falcons,Josh Rosen,1/6,14,2.3,0,1,0-0,0.1,0.0
Dallas Cowboys,Dak Prescott,24/31,296,9.5,2,0,0-0,94.7,127.9
Dallas Cowboys,Cooper Rush,3/3,17,5.7,0,0,0-0,1.9,90.3
Dallas Cowboys,Ezekiel Elliott,1/1,4,4.0,0,0,0-0,2.7,83.3
New Orleans Saints,Trevor Siemian,19/34,298,8.8,2,0,4-22,60.0,104.8
New Orleans Saints,Taysom Hill,2/2,11,5.5,0,0,0-0,86.4,89.6
Tennessee Titans,Ryan Tannehill,19/27,213,7.9,1,0,2-15,56.9,105.9
Jacksonville Jaguars,Trevor Lawrence,16/35,162,4.6,0,0,3-10,38.1,59.5
Indianapolis Colts,Carson Wentz,22/34,180,5.3,0,0,1-12,28.4,78.1
Cleveland Browns,Case Keenum,8/12,81,6.8,0,0,3-19,4.9,85.8
Cleveland Browns,Baker Mayfield,11/21,73,3.5,1,1,2-17,34.1,56.2
New England Patriots,Mac Jones,19/23,198,8.6,3,0,2-15,90.5,142.1
New England Patriots,Brian Hoyer,3/3,85,28.3,1,0,0-0,99.8,158.3
Buffalo Bills,Josh Allen,21/28,366,13.1,2,1,2-16,85.5,125.6
New York Jets,Mike White,24/44,251,5.7,0,4,1-2,31.8,33.4
New York Jets,Joe Flacco,3/3,47,15.7,1,0,0-0,100.0,158.3
Detroit Lions,Jared Goff,14/25,114,4.6,0,0,4-37,18.5,67.8
Pittsburgh Steelers,Mason Rudolph,30/50,242,4.8,1,1,0-0,45.1,70.6
Tampa Bay Buccaneers,Tom Brady,23/34,220,6.5,2,2,0-0,38.5,80.5
Washington,Taylor Heinicke,26/32,256,8.0,1,0,5-30,58.2,110.4
Carolina Panthers,PJ Walker,22/29,167,5.8,0,1,0-0,65.4,74.9
Carolina Panthers,Cam Newton,3/4,8,2.0,1,0,0-0,87.9,116.7
Arizona Cardinals,Colt McCoy,11/20,107,5.4,0,1,2-22,3.9,49.4
Arizona Cardinals,Chris Streveler,6/9,36,4.0,0,0,2-17,2.2,74.3
Minnesota Vikings,Kirk Cousins,25/37,294,7.9,2,0,2-16,70.4,109.5
Los Angeles Chargers,Justin Herbert,20/34,195,5.7,1,1,2-24,63.7,72.5
Philadelphia Eagles,Jalen Hurts,16/23,178,7.7,2,1,2-8,66.8,103.2
Denver Broncos,Teddy Bridgewater,22/36,226,6.3,0,0,1-14,34.8,79.2
Seattle Seahawks,Russell Wilson,20/40,161,4.0,0,2,3-28,13.7,39.7
Green Bay Packers,Aaron Rodgers,23/37,292,7.9,0,1,1-5,34.1,75.5
Kansas City Chiefs,Patrick Mahomes,35/50,406,8.1,5,0,0-0,84.0,127.6
Kansas City Chiefs,Tommy Townsend,1/1,16,16.0,0,0,0-0,--,118.8
Las Vegas Raiders,Derek Carr,25/35,261,7.5,2,1,2-12,65.2,99.8
Los Angeles Rams,Matthew Stafford,26/41,243,5.9,1,2,2-19,43.0,67.4
Los Angeles Rams,Johnny Hekker,1/1,2,2.0,0,0,0-0,--,79.2
San Francisco 49ers,Jimmy Garoppolo,15/19,182,9.6,2,0,1-3,97.2,141.7
