team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Baltimore Ravens,Justin Tucker,1/2,50.0,46,1/1,4
Miami Dolphins,Jason Sanders,3/3,100.0,31,1/1,10
Atlanta Falcons,Younghoe Koo,1/1,100.0,35,0/0,3
Dallas Cowboys,Lirim Hajrullahu,0/0,0.0,0,5/5,5
New Orleans Saints,Brian Johnson,1/1,100.0,20,0/2,3
Tennessee Titans,Randy Bullock,3/3,100.0,36,2/2,11
Jacksonville Jaguars,Matthew Wright,1/2,50.0,56,0/1,3
Indianapolis Colts,Michael Badgley,3/3,100.0,37,2/2,11
Cleveland Browns,Chase McLaughlin,0/0,0.0,0,1/1,1
New England Patriots,Nick Folk,1/1,100.0,38,6/6,9
Buffalo Bills,Tyler Bass,1/1,100.0,29,6/6,9
New York Jets,Matt Ammendola,1/1,100.0,48,2/2,5
Detroit Lions,Ryan Santoso,1/2,50.0,20,1/2,4
Pittsburgh Steelers,Chris Boswell,3/3,100.0,51,1/1,10
Tampa Bay Buccaneers,Ryan Succop,2/2,100.0,31,1/2,7
Washington,Joey Slye,3/3,100.0,46,2/2,11
Carolina Panthers,Zane Gonzalez,4/4,100.0,49,2/2,14
Arizona Cardinals,Matt Prater,1/1,100.0,47,1/1,4
Minnesota Vikings,Greg Joseph,2/2,100.0,46,3/3,9
Los Angeles Chargers,Dustin Hopkins,2/2,100.0,46,2/2,8
Philadelphia Eagles,Jake Elliott,3/3,100.0,52,3/3,12
Denver Broncos,Brandon McManus,2/3,67.0,28,1/1,7
Green Bay Packers,Mason Crosby,1/2,50.0,27,2/2,5
Kansas City Chiefs,Harrison Butker,2/3,67.0,40,5/5,11
Las Vegas Raiders,Daniel Carlson,0/0,0.0,0,2/2,2
Los Angeles Rams,Matt Gay,1/1,100.0,37,1/1,4
San Francisco 49ers,Robbie Gould,1/1,100.0,50,4/4,7
