team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
New York Giants,Daniel Jones,22/32,137,4.3,0,1,2-16,34.9,64.2
New York Giants,Tyrod Taylor,0/1,0,0.0,0,0,0-0,1.4,39.6
San Francisco 49ers,Brock Purdy,25/37,310,8.4,2,0,2-10,64.8,111.3
Tennessee Titans,Ryan Tannehill,13/25,104,4.2,0,0,5-36,25.2,62.8
Cleveland Browns,Deshaun Watson,27/33,289,8.8,2,0,3-26,79.9,123.4
Atlanta Falcons,Desmond Ridder,21/38,201,5.3,0,0,7-62,15.2,70.2
Detroit Lions,Jared Goff,22/33,243,7.4,1,1,0-0,54.1,85.8
New Orleans Saints,Derek Carr,13/18,103,5.7,1,0,3-21,67.5,104.6
New Orleans Saints,Jameis Winston,10/16,101,6.3,0,0,1-8,55.3,80.5
Green Bay Packers,Jordan Love,22/44,259,5.9,1,1,1-14,45.8,66.4
Denver Broncos,Russell Wilson,23/38,306,8.1,1,1,1-12,64.0,83.9
Miami Dolphins,Tua Tagovailoa,23/26,309,11.9,4,0,0-0,87.4,155.8
Miami Dolphins,Mike White,2/2,67,33.5,1,0,0-0,100.0,158.3
Los Angeles Chargers,Justin Herbert,40/47,405,8.6,3,0,1-9,95.9,123.8
Los Angeles Chargers,Keenan Allen,1/1,49,49.0,1,0,0-0,100.0,158.3
Minnesota Vikings,Kirk Cousins,32/50,367,7.3,3,1,4-22,43.9,97.7
New England Patriots,Mac Jones,15/29,201,6.9,1,0,0-0,60.1,85.6
New York Jets,Zach Wilson,18/36,157,4.4,0,0,3-24,12.1,61.9
Buffalo Bills,Josh Allen,20/32,218,6.8,1,1,0-0,90.4,79.9
Washington Commanders,Sam Howell,19/29,170,5.9,0,4,9-45,10.4,41.5
Houston Texans,C.J. Stroud,20/30,280,9.3,2,0,0-0,87.4,118.8
Jacksonville Jaguars,Trevor Lawrence,27/40,279,7.0,1,1,0-0,53.8,85.3
Jacksonville Jaguars,C.J. Beathard,2/2,9,4.5,0,0,0-0,78.3,85.4
Indianapolis Colts,Gardner Minshew,27/44,227,5.2,1,0,5-39,59.1,82.3
Baltimore Ravens,Lamar Jackson,22/31,202,6.5,0,0,4-24,60.5,88.4
Carolina Panthers,Andy Dalton,34/58,361,6.2,2,0,3-27,54.6,88.4
Seattle Seahawks,Geno Smith,23/36,296,8.2,1,1,2-17,56.1,87.3
Chicago Bears,Justin Fields,11/22,99,4.5,1,1,3-12,20.3,58.7
Kansas City Chiefs,Patrick Mahomes,24/33,272,8.2,3,0,0-0,81.4,127.3
Kansas City Chiefs,Blaine Gabbert,3/5,31,6.2,0,2,0-0,2.0,38.3
Dallas Cowboys,Dak Prescott,25/40,249,6.2,1,1,2-18,36.0,78.0
Arizona Cardinals,Joshua Dobbs,17/21,189,9.0,1,0,2-11,85.8,120.0
Pittsburgh Steelers,Kenny Pickett,16/28,235,8.4,2,0,1-7,80.8,108.5
Las Vegas Raiders,Jimmy Garoppolo,28/44,324,7.4,2,3,4-31,39.4,72.5
Philadelphia Eagles,Jalen Hurts,23/37,277,7.5,1,2,1-6,54.7,71.6
Tampa Bay Buccaneers,Baker Mayfield,15/25,146,5.8,1,1,2-13,28.0,73.1
Los Angeles Rams,Matthew Stafford,18/33,269,8.2,1,2,6-48,26.4,66.4
Cincinnati Bengals,Joe Burrow,26/49,259,5.3,0,1,2-17,23.4,59.8
