team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Indianapolis Colts,Matt Ryan,26/41,251,6.1,0,2,6-51,18.0,60.1
Denver Broncos,Russell Wilson,21/39,274,7.0,0,2,4-24,16.5,54.9
New York Giants,Daniel Jones,21/27,217,8.0,0,0,1-4,76.2,100.2
Green Bay Packers,Aaron Rodgers,25/39,222,5.7,2,0,2-15,53.6,96.3
Pittsburgh Steelers,Kenny Pickett,34/52,327,6.3,0,1,3-17,58.9,74.8
Buffalo Bills,Josh Allen,20/31,424,13.7,4,1,0-0,88.4,134.1
Buffalo Bills,Case Keenum,2/5,8,1.6,0,0,0-0,8.6,47.9
Los Angeles Chargers,Justin Herbert,22/34,228,6.7,1,0,1-1,47.5,93.8
Cleveland Browns,Jacoby Brissett,21/34,230,6.8,1,1,0-0,83.1,79.3
Chicago Bears,Justin Fields,15/21,208,9.9,1,0,2-15,80.8,118.8
Minnesota Vikings,Kirk Cousins,32/41,296,7.2,1,1,1-7,74.4,94.7
Minnesota Vikings,Justin Jefferson,1/1,23,23.0,0,0,0-0,96.9,118.8
Detroit Lions,Jared Goff,19/35,229,6.5,0,1,2-18,8.4,62.7
New England Patriots,Bailey Zappe,17/21,188,9.0,1,1,0-0,24.2,100.0
Seattle Seahawks,Geno Smith,16/25,268,10.7,3,0,3-23,78.3,139.7
New Orleans Saints,Andy Dalton,16/24,187,7.8,1,1,1-6,65.0,86.6
New Orleans Saints,Taysom Hill,1/1,22,22.0,1,0,0-0,100.0,158.3
Miami Dolphins,Skylar Thompson,19/33,166,5.0,0,1,2-8,38.6,58.4
Miami Dolphins,Teddy Bridgewater,0/1,0,0.0,0,0,0-0,5.4,39.6
New York Jets,Zach Wilson,14/21,210,10.0,0,0,2-23,53.5,99.3
Atlanta Falcons,Marcus Mariota,14/25,147,5.9,1,0,5-37,59.8,86.6
Tampa Bay Buccaneers,Tom Brady,35/52,351,6.8,1,0,0-0,52.5,92.7
Tennessee Titans,Ryan Tannehill,15/25,181,7.2,1,0,5-45,20.9,95.6
Washington Commanders,Carson Wentz,25/38,359,9.4,2,1,3-17,49.3,102.9
Houston Texans,Davis Mills,16/24,140,5.8,0,0,1-8,37.3,81.9
Jacksonville Jaguars,Trevor Lawrence,25/47,286,6.1,0,2,0-0,30.6,54.0
San Francisco 49ers,Jimmy Garoppolo,18/30,253,8.4,2,0,2-9,59.0,109.4
Carolina Panthers,Baker Mayfield,20/36,215,6.0,0,1,4-16,22.4,61.7
Carolina Panthers,PJ Walker,5/6,60,10.0,0,0,2-15,13.7,108.3
Dallas Cowboys,Cooper Rush,10/16,102,6.4,0,0,3-26,13.6,80.7
Los Angeles Rams,Matthew Stafford,28/42,308,7.3,1,1,5-35,40.1,86.2
Los Angeles Rams,Riley Dixon,1/1,12,12.0,0,0,0-0,--,116.7
Los Angeles Rams,Cooper Kupp,0/1,0,0.0,0,0,0-0,3.3,39.6
Philadelphia Eagles,Jalen Hurts,26/36,239,6.6,0,0,2-21,56.7,89.9
Arizona Cardinals,Kyler Murray,28/42,250,6.0,1,1,1-11,68.4,80.5
Cincinnati Bengals,Joe Burrow,24/35,217,6.2,1,1,2-15,35.3,82.7
Cincinnati Bengals,Tyler Boyd,0/0,0,0.0,0,0,1-12,0.0,0.0
Baltimore Ravens,Lamar Jackson,19/32,174,5.4,1,1,1-4,30.3,71.6
Las Vegas Raiders,Derek Carr,19/30,241,8.0,2,0,2-18,68.2,110.6
Kansas City Chiefs,Patrick Mahomes,29/43,292,6.8,4,0,3-27,65.5,117.6
