team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Indianapolis Colts,Chase McLaughlin,4/4,100.0,52,0/0,12
Denver Broncos,Brandon McManus,3/4,75.0,45,0/0,9
New York Giants,Graham Gano,2/2,100.0,48,3/3,9
Green Bay Packers,Mason Crosby,2/2,100.0,48,2/2,8
Pittsburgh Steelers,Chris Boswell,1/3,33.0,29,0/0,3
Buffalo Bills,Tyler Bass,1/2,50.0,35,5/5,8
Los Angeles Chargers,Taylor Bertolet,3/3,100.0,28,3/3,12
Cleveland Browns,Cade York,0/2,0.0,0,4/4,4
Chicago Bears,Cairo Santos,3/3,100.0,51,1/1,10
Minnesota Vikings,Greg Joseph,0/2,0.0,0,3/3,3
New England Patriots,Nick Folk,5/5,100.0,44,2/2,17
Seattle Seahawks,Jason Myers,2/2,100.0,56,2/3,8
New Orleans Saints,Wil Lutz,1/1,100.0,56,4/4,7
Miami Dolphins,Jason Sanders,1/2,50.0,46,2/2,5
New York Jets,Greg Zuerlein,1/1,100.0,34,5/5,8
Atlanta Falcons,Younghoe Koo,0/1,0.0,0,1/1,1
Tampa Bay Buccaneers,Ryan Succop,2/2,100.0,44,1/1,7
Tennessee Titans,Randy Bullock,0/0,0.0,0,3/3,3
Washington Commanders,Joey Slye,1/1,100.0,50,2/2,5
Houston Texans,Ka'imi Fairbairn,2/2,100.0,51,1/1,7
Jacksonville Jaguars,Riley Patterson,2/2,100.0,45,0/0,6
San Francisco 49ers,Robbie Gould,1/2,50.0,49,3/3,6
San Francisco 49ers,Mitch Wishnowsky,0/0,0.0,0,1/2,1
Carolina Panthers,Eddy Pineiro,3/4,75.0,43,0/0,9
Dallas Cowboys,Brett Maher,3/3,100.0,40,1/1,10
Los Angeles Rams,Matt Gay,1/2,50.0,29,1/1,4
Philadelphia Eagles,Cameron Dicker,2/2,100.0,42,2/2,8
Arizona Cardinals,Matt Ammendola,1/2,50.0,20,2/2,5
Cincinnati Bengals,Evan McPherson,1/1,100.0,40,2/2,5
Baltimore Ravens,Justin Tucker,4/4,100.0,58,1/1,13
Las Vegas Raiders,Daniel Carlson,3/3,100.0,53,2/2,11
Kansas City Chiefs,Matthew Wright,1/2,50.0,59,3/3,6
