team,player,fumbles,fumblesLost,fumblesRecovered
Indianapolis Colts,Matt Ryan,2,0,1
Indianapolis Colts,Isaiah Rodgers Sr.,1,0,1
Indianapolis Colts,Alec Pierce,1,0,0
Indianapolis Colts,Parris Campbell,0,0,1
Indianapolis Colts,Quenton Nelson,0,0,1
Denver Broncos,Russell Wilson,1,0,1
Denver Broncos,Montrell Washington,1,0,1
New York Giants,Jason Pinnock,1,0,0
Green Bay Packers,Aaron Rodgers,1,0,0
Green Bay Packers,Amari Rodgers,1,0,0
Green Bay Packers,Jon Runyan,0,0,1
Green Bay Packers,Isaiah McDuffie,0,0,1
Pittsburgh Steelers,James Pierre,1,1,0
Pittsburgh Steelers,Josh Jackson,0,0,1
Buffalo Bills,Quintin Morris,1,1,0
Buffalo Bills,Taron Johnson,0,0,1
Chicago Bears,Justin Fields,2,0,1
Chicago Bears,Ihmir Smith-Marsette,1,1,0
Chicago Bears,Lucas Patrick,0,0,1
Minnesota Vikings,Jalen Reagor,1,0,1
Minnesota Vikings,Cameron Dantzler Sr.,0,0,1
Detroit Lions,Jared Goff,1,1,0
New England Patriots,Bailey Zappe,1,0,0
New England Patriots,Kyle Dugger,0,0,1
New England Patriots,Rhamondre Stevenson,0,0,1
Seattle Seahawks,DK Metcalf,1,1,0
Seattle Seahawks,Riq Woolen,1,0,1
New Orleans Saints,Alvin Kamara,1,1,0
New Orleans Saints,Taysom Hill,1,0,1
New Orleans Saints,David Onyemata,0,0,1
Miami Dolphins,Skylar Thompson,1,1,0
New York Jets,Quinnen Williams,0,0,1
Atlanta Falcons,Marcus Mariota,1,0,1
Washington Commanders,Carson Wentz,3,0,3
San Francisco 49ers,George Kittle,1,1,0
San Francisco 49ers,Jimmy Garoppolo,1,0,0
San Francisco 49ers,Jeff Wilson Jr.,0,0,1
Carolina Panthers,Shaq Thompson,1,0,1
Carolina Panthers,Yetur Gross-Matos,1,0,2
Dallas Cowboys,Cooper Rush,2,0,1
Dallas Cowboys,DeMarcus Lawrence,0,0,1
Dallas Cowboys,Sam Williams,0,0,1
Dallas Cowboys,Tyler Smith,0,0,1
Los Angeles Rams,Matthew Stafford,2,2,0
Philadelphia Eagles,Britain Covey,1,0,1
Baltimore Ravens,Tyler Linderbaum,1,0,0
Baltimore Ravens,Devin Duvernay,0,0,1
Las Vegas Raiders,Davante Adams,1,0,0
