team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Dallas Cowboys,Brett Maher,2/2,100.0,45,3/3,9
Tennessee Titans,Randy Bullock,2/2,100.0,37,1/1,7
Arizona Cardinals,Matt Prater,4/5,80.0,57,1/1,13
Atlanta Falcons,Younghoe Koo,2/2,100.0,27,2/2,8
Chicago Bears,Cairo Santos,1/1,100.0,23,1/1,4
Detroit Lions,Michael Badgley,2/2,100.0,41,5/5,11
Denver Broncos,Brandon McManus,1/1,100.0,49,3/3,6
Kansas City Chiefs,Harrison Butker,0/1,0.0,0,3/3,3
Miami Dolphins,Jason Sanders,0/1,0.0,0,3/3,3
New England Patriots,Nick Folk,1/1,100.0,49,2/3,5
Indianapolis Colts,Chase McLaughlin,1/2,50.0,23,1/1,4
New York Giants,Graham Gano,1/1,100.0,36,5/5,8
New Orleans Saints,Wil Lutz,2/2,100.0,54,2/2,8
Philadelphia Eagles,Jake Elliott,1/1,100.0,56,1/1,4
Carolina Panthers,Eddy Pineiro,1/1,100.0,49,3/3,6
Tampa Bay Buccaneers,Ryan Succop,1/3,33.0,22,1/2,4
Cleveland Browns,Cade York,1/1,100.0,37,3/3,6
Washington Commanders,Joey Slye,1/1,100.0,43,1/1,4
Jacksonville Jaguars,Riley Patterson,1/1,100.0,53,4/4,7
Houston Texans,Ka'imi Fairbairn,1/1,100.0,56,0/0,3
San Francisco 49ers,Robbie Gould,3/4,75.0,43,4/4,13
Las Vegas Raiders,Daniel Carlson,2/2,100.0,57,4/4,10
New York Jets,Greg Zuerlein,2/3,67.0,44,0/0,6
Seattle Seahawks,Jason Myers,3/4,75.0,31,2/2,11
Minnesota Vikings,Greg Joseph,1/3,33.0,21,2/2,5
Green Bay Packers,Mason Crosby,2/2,100.0,56,5/5,11
Los Angeles Rams,Matt Gay,1/1,100.0,23,1/1,4
Los Angeles Chargers,Cameron Dicker,1/1,100.0,40,4/4,7
Pittsburgh Steelers,Chris Boswell,3/4,75.0,51,1/1,10
Baltimore Ravens,Justin Tucker,2/2,100.0,51,1/1,7
