team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Atlanta Falcons,Younghoe Koo,2/2,100.0,28,1/1,7
Buffalo Bills,Tyler Bass,0/0,0.0,0,3/3,3
New York Giants,Graham Gano,1/1,100.0,38,0/0,3
Chicago Bears,Cairo Santos,2/2,100.0,44,3/3,9
Kansas City Chiefs,Harrison Butker,1/1,100.0,34,4/4,7
Cincinnati Bengals,Evan McPherson,2/2,100.0,46,4/4,10
Miami Dolphins,Jason Sanders,1/2,50.0,39,0/0,3
Tennessee Titans,Randy Bullock,2/2,100.0,44,4/4,10
Las Vegas Raiders,Daniel Carlson,3/3,100.0,47,2/2,11
Indianapolis Colts,Michael Badgley,2/2,100.0,46,2/2,8
Jacksonville Jaguars,Matthew Wright,1/1,100.0,29,1/1,4
New England Patriots,Nick Folk,1/1,100.0,43,5/6,8
Tampa Bay Buccaneers,Ryan Succop,2/2,100.0,39,2/2,8
New York Jets,Eddy Pineiro,1/1,100.0,51,3/3,6
Philadelphia Eagles,Jake Elliott,2/2,100.0,42,2/2,8
Washington,Joey Slye,3/3,100.0,55,1/1,10
Los Angeles Rams,Matt Gay,0/1,0.0,0,2/2,2
Baltimore Ravens,Justin Tucker,4/4,100.0,46,1/1,13
Denver Broncos,Brandon McManus,2/2,100.0,61,1/1,7
Los Angeles Chargers,Dustin Hopkins,2/2,100.0,23,4/4,10
Houston Texans,Ka'imi Fairbairn,0/1,0.0,0,1/1,1
San Francisco 49ers,Robbie Gould,3/3,100.0,37,2/2,11
Arizona Cardinals,Matt Prater,4/4,100.0,53,1/1,13
Dallas Cowboys,Greg Zuerlein,0/1,0.0,0,2/2,2
Carolina Panthers,Lirim Hajrullahu,1/2,50.0,32,1/1,4
New Orleans Saints,Brett Maher,4/4,100.0,41,0/1,12
Detroit Lions,Riley Patterson,0/1,0.0,0,3/3,3
Seattle Seahawks,Jason Myers,3/3,100.0,51,6/6,15
Minnesota Vikings,Greg Joseph,1/1,100.0,51,1/1,4
Green Bay Packers,Mason Crosby,3/3,100.0,37,4/4,13
Cleveland Browns,Chase McLaughlin,0/0,0.0,0,2/2,2
Pittsburgh Steelers,Chris Boswell,4/4,100.0,50,2/2,14
