team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Atlanta Falcons,Matt Ryan,13/23,197,8.6,0,0,5-28,25.9,84.9
Buffalo Bills,Josh Allen,11/26,120,4.6,0,3,0-0,66.2,17.0
Buffalo Bills,Stefon Diggs,0/0,0,0.0,0,0,1-2,0.4,0.0
New York Giants,Mike Glennon,4/11,24,2.2,0,2,4-30,0.0,5.3
Chicago Bears,Andy Dalton,18/35,173,4.9,1,1,2-11,38.1,63.2
Chicago Bears,David Montgomery,0/1,0,0.0,0,1,0-0,0.8,0.0
Kansas City Chiefs,Patrick Mahomes,26/35,259,7.4,2,0,0-0,89.6,113.9
Cincinnati Bengals,Joe Burrow,30/39,446,11.4,4,0,4-31,67.7,148.0
Cincinnati Bengals,Brandon Allen,0/1,0,0.0,0,0,0-0,--,39.6
Miami Dolphins,Tua Tagovailoa,18/38,205,5.4,0,1,4-23,10.0,53.1
Miami Dolphins,Mike Gesicki,0/1,0,0.0,0,0,0-0,5.3,39.6
Tennessee Titans,Ryan Tannehill,13/18,120,6.7,2,0,1-10,59.7,127.1
Las Vegas Raiders,Derek Carr,24/31,255,8.2,1,2,2-14,63.4,84.7
Las Vegas Raiders,Marcus Mariota,0/1,0,0.0,0,0,0-0,0.6,39.6
Indianapolis Colts,Carson Wentz,16/27,148,5.5,1,0,1-8,33.0,86.7
Jacksonville Jaguars,Trevor Lawrence,17/27,193,7.1,1,3,2-20,25.8,57.1
New England Patriots,Mac Jones,22/30,227,7.6,3,0,0-0,96.0,128.1
New England Patriots,Brian Hoyer,3/4,63,15.8,0,0,0-0,85.1,116.7
Tampa Bay Buccaneers,Tom Brady,34/50,410,8.2,3,1,1-5,82.3,104.6
New York Jets,Zach Wilson,19/33,234,7.1,1,0,1-10,46.5,89.7
Philadelphia Eagles,Jalen Hurts,17/26,214,8.2,0,0,1-2,84.1,90.9
Washington,Taylor Heinicke,27/36,247,6.9,0,1,3-29,41.2,81.6
Los Angeles Rams,Matthew Stafford,26/35,309,8.8,2,2,1-9,64.6,96.0
Baltimore Ravens,Tyler Huntley,20/32,197,6.2,0,1,5-35,57.5,66.8
Denver Broncos,Drew Lock,18/25,245,9.8,1,0,1-10,23.7,116.2
Denver Broncos,Kendall Hinton,1/1,1,1.0,0,0,0-0,100.0,79.2
Denver Broncos,Brett Rypien,0/2,0,0.0,0,0,0-0,1.4,39.6
Los Angeles Chargers,Justin Herbert,22/31,237,7.6,2,0,0-0,91.5,114.6
Houston Texans,Davis Mills,21/32,163,5.1,1,1,3-27,36.4,75.4
San Francisco 49ers,Trey Lance,16/23,249,10.8,2,1,1-8,36.9,116.0
Arizona Cardinals,Kyler Murray,26/38,263,6.9,2,0,1-14,83.1,105.5
Arizona Cardinals,Chris Banjo,1/1,23,23.0,0,0,0-0,--,118.8
Dallas Cowboys,Dak Prescott,24/38,226,5.9,3,0,1-1,67.0,105.8
Dallas Cowboys,Cedrick Wilson Jr.,1/1,31,31.0,0,0,0-0,99.1,118.8
Carolina Panthers,Sam Darnold,17/26,132,5.1,0,1,7-42,28.9,61.7
New Orleans Saints,Taysom Hill,17/28,222,7.9,1,0,2-15,41.1,97.6
Detroit Lions,Tim Boyle,22/37,262,7.1,2,3,0-0,63.3,65.4
Seattle Seahawks,Russell Wilson,20/29,236,8.1,4,0,1-4,91.0,133.0
Minnesota Vikings,Sean Mannion,22/36,189,5.3,1,0,2-15,39.1,84.1
Minnesota Vikings,Kellen Mond,2/3,5,1.7,0,0,0-0,18.2,70.1
Green Bay Packers,Aaron Rodgers,29/38,288,7.6,2,0,0-0,74.3,114.8
Green Bay Packers,Jordan Love,2/4,19,4.8,0,0,0-0,96.6,63.5
Cleveland Browns,Baker Mayfield,16/38,185,4.9,2,2,9-46,19.5,53.1
Pittsburgh Steelers,Ben Roethlisberger,24/46,123,2.7,1,1,2-14,16.1,56.2
