team,player,fumbles,fumblesLost,fumblesRecovered
Detroit Lions,Marvin Jones Jr.,1,1,0
Detroit Lions,Frank Ragnow,1,0,0
Detroit Lions,Jared Goff,0,0,1
Kansas City Chiefs,Bryan Cook,0,0,1
Carolina Panthers,Miles Sanders,1,1,0
Carolina Panthers,Bryce Young,1,0,1
Atlanta Falcons,Desmond Ridder,1,0,1
Atlanta Falcons,Lorenzo Carter,0,0,1
Cincinnati Bengals,Chidobe Awuzie,0,0,1
Cleveland Browns,Jerome Ford,1,1,0
Cleveland Browns,Deshaun Watson,1,0,1
Jacksonville Jaguars,Tank Bigsby,1,1,1
Jacksonville Jaguars,Calvin Ridley,1,0,0
Jacksonville Jaguars,Trevor Lawrence,1,0,0
Jacksonville Jaguars,Angelo Blackson,0,0,1
Jacksonville Jaguars,Devin Lloyd,0,0,1
Indianapolis Colts,Deon Jackson,2,2,0
Indianapolis Colts,DeForest Buckner,0,0,1
Tampa Bay Buccaneers,Antoine Winfield Jr.,0,0,1
Tampa Bay Buccaneers,Joe Tryon-Shoyinka,0,0,1
Minnesota Vikings,Kirk Cousins,2,2,0
Tennessee Titans,Amani Hooker,0,0,1
New Orleans Saints,Rashid Shaheed,1,1,0
New Orleans Saints,Jamaal Williams,1,0,1
San Francisco 49ers,Brock Purdy,2,1,1
San Francisco 49ers,Christian McCaffrey,1,0,1
Pittsburgh Steelers,T.J. Watt,0,0,1
Arizona Cardinals,Joshua Dobbs,3,2,1
Arizona Cardinals,Zaven Collins,0,0,1
Arizona Cardinals,Cameron Thomas,0,0,1
Washington Commanders,Antonio Gibson,1,1,0
Washington Commanders,Sam Howell,1,1,0
Washington Commanders,Abdullah Anderson,0,0,1
Washington Commanders,Daron Payne,0,0,1
Houston Texans,C.J. Stroud,1,1,0
Houston Texans,M.J. Stewart,0,0,1
Baltimore Ravens,Lamar Jackson,2,1,0
Baltimore Ravens,Kevin Zeitler,0,0,1
Baltimore Ravens,Michael Pierce,0,0,1
Green Bay Packers,Jordan Love,1,0,1
Green Bay Packers,Sean Clifford,1,0,1
Green Bay Packers,Rasul Douglas,0,0,1
Chicago Bears,Justin Fields,1,1,0
Las Vegas Raiders,Jimmy Garoppolo,1,0,1
Philadelphia Eagles,Jalen Hurts,1,1,0
Philadelphia Eagles,Zach Cunningham,0,0,1
New England Patriots,Ezekiel Elliott,1,1,0
New England Patriots,Marcus Jones,1,0,1
Miami Dolphins,Tua Tagovailoa,2,1,1
Los Angeles Chargers,Nick Williams,0,0,1
Dallas Cowboys,Tony Pollard,1,0,0
Dallas Cowboys,Tyler Biadasz,0,0,1
Dallas Cowboys,Israel Mukuamu,0,0,1
New York Giants,Daniel Jones,2,0,2
New York Giants,Isaiah Hodgins,1,1,0
New York Giants,Matt Breida,1,0,0
New York Giants,John Michael Schmitz Jr.,1,0,0
New York Giants,Mark Glowinski,0,0,1
New York Giants,Parris Campbell,0,0,1
Buffalo Bills,Josh Allen,2,1,1
New York Jets,Breece Hall,1,0,0
New York Jets,Quinnen Williams,0,0,1
