team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Detroit Lions,Jared Goff,22/35,253,7.2,1,0,1-3,68.3,94.1
Kansas City Chiefs,Patrick Mahomes,21/39,226,5.8,2,1,0-0,66.2,77.5
Carolina Panthers,Bryce Young,20/38,146,3.8,1,2,2-19,15.9,48.8
Atlanta Falcons,Desmond Ridder,15/18,115,6.4,1,0,4-24,26.0,111.8
Cincinnati Bengals,Joe Burrow,14/31,82,2.6,0,0,2-15,34.3,52.2
Cincinnati Bengals,Jake Browning,0/1,0,0.0,0,0,0-0,3.3,39.6
Cleveland Browns,Deshaun Watson,16/29,154,5.3,1,1,3-10,61.7,67.3
Jacksonville Jaguars,Trevor Lawrence,24/32,241,7.5,2,1,2-4,66.2,103.8
Indianapolis Colts,Anthony Richardson,24/37,223,6.0,1,1,4-8,26.3,79.0
Indianapolis Colts,Gardner Minshew,0/2,0,0.0,0,0,0-0,1.3,39.6
Tampa Bay Buccaneers,Baker Mayfield,21/34,173,5.1,2,0,1-4,58.3,94.4
Minnesota Vikings,Kirk Cousins,33/44,344,7.8,2,1,2-16,50.7,102.8
Tennessee Titans,Ryan Tannehill,16/34,198,5.8,0,3,3-17,9.9,28.8
New Orleans Saints,Derek Carr,23/33,305,9.2,1,1,4-23,56.5,96.1
San Francisco 49ers,Brock Purdy,19/29,220,7.6,2,0,3-17,93.4,111.3
Pittsburgh Steelers,Kenny Pickett,31/46,232,5.0,1,2,5-34,24.1,68.4
Arizona Cardinals,Joshua Dobbs,21/30,132,4.4,0,0,3-18,17.4,78.8
Washington Commanders,Sam Howell,19/31,202,6.5,1,1,6-46,32.6,77.6
Houston Texans,C.J. Stroud,28/44,242,5.5,0,0,5-46,32.0,78.0
Baltimore Ravens,Lamar Jackson,17/22,169,7.7,0,1,4-14,11.3,79.5
Green Bay Packers,Jordan Love,15/27,245,9.1,3,0,1-8,79.6,123.2
Chicago Bears,Justin Fields,24/37,216,5.8,1,1,4-27,19.3,78.2
Las Vegas Raiders,Jimmy Garoppolo,20/26,200,7.7,2,1,0-0,77.8,107.9
Denver Broncos,Russell Wilson,27/34,177,5.2,2,0,2-11,78.8,108.0
Philadelphia Eagles,Jalen Hurts,22/33,170,5.2,1,0,3-16,38.1,89.2
New England Patriots,Mac Jones,35/54,316,5.9,3,1,2-10,36.3,91.3
Miami Dolphins,Tua Tagovailoa,28/45,466,10.4,3,1,0-0,85.9,110.0
Los Angeles Chargers,Justin Herbert,23/33,229,6.9,1,0,3-29,50.3,99.2
Los Angeles Rams,Matthew Stafford,24/38,334,8.8,0,0,0-0,85.4,91.3
Seattle Seahawks,Geno Smith,16/26,112,4.3,1,0,2-17,44.8,84.1
Dallas Cowboys,Dak Prescott,13/24,143,6.0,0,0,0-0,75.6,72.0
Dallas Cowboys,Cooper Rush,0/1,0,0.0,0,0,0-0,0.0,39.6
New York Giants,Daniel Jones,15/28,104,3.7,0,2,7-47,8.5,32.4
New York Giants,Tyrod Taylor,2/2,6,3.0,0,0,0-0,12.7,79.2
Buffalo Bills,Josh Allen,29/41,236,5.8,1,3,5-19,55.9,62.7
New York Jets,Zach Wilson,14/21,140,6.7,1,1,2-13,22.0,81.4
New York Jets,Aaron Rodgers,0/1,0,0.0,0,0,1-10,2.5,39.6
