team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
New Orleans Saints,Wil Lutz,2/2,100.0,45,4/4,10
Arizona Cardinals,Rodrigo Blankenship,2/2,100.0,50,2/3,8
Atlanta Falcons,Younghoe Koo,1/1,100.0,43,2/2,5
Cincinnati Bengals,Evan McPherson,0/0,0.0,0,5/5,5
Detroit Lions,Michael Badgley,2/2,100.0,53,0/0,6
Dallas Cowboys,Brett Maher,1/1,100.0,22,3/3,6
Indianapolis Colts,Chase McLaughlin,1/1,100.0,50,1/1,4
Tennessee Titans,Randy Bullock,4/4,100.0,48,1/1,13
Green Bay Packers,Mason Crosby,0/0,0.0,0,3/3,3
Washington Commanders,Joey Slye,3/4,75.0,31,2/2,11
Tampa Bay Buccaneers,Ryan Succop,1/1,100.0,27,0/0,3
Carolina Panthers,Eddy Pineiro,0/0,0.0,0,3/3,3
New York Giants,Graham Gano,3/3,100.0,34,2/2,11
Jacksonville Jaguars,Riley Patterson,1/1,100.0,27,0/1,3
Cleveland Browns,Cade York,2/3,67.0,41,2/2,8
Baltimore Ravens,Justin Tucker,3/3,100.0,55,2/2,11
New York Jets,Greg Zuerlein,3/3,100.0,45,1/1,10
Denver Broncos,Brandon McManus,1/2,50.0,44,0/1,3
Houston Texans,Ka'imi Fairbairn,2/3,67.0,55,2/2,8
Las Vegas Raiders,Daniel Carlson,1/1,100.0,50,5/5,8
Seattle Seahawks,Jason Myers,3/3,100.0,50,4/4,13
Los Angeles Chargers,Taylor Bertolet,0/0,0.0,0,3/3,3
Kansas City Chiefs,Harrison Butker,0/1,0.0,0,6/6,6
San Francisco 49ers,Robbie Gould,3/3,100.0,50,2/2,11
Pittsburgh Steelers,Chris Boswell,1/1,100.0,45,1/1,4
Miami Dolphins,Jason Sanders,3/3,100.0,47,1/1,10
Chicago Bears,Cairo Santos,4/4,100.0,50,3/3,15
New England Patriots,Nick Folk,0/0,0.0,0,2/2,2
