team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
New Orleans Saints,Andy Dalton,30/47,361,7.7,4,3,0-0,60.8,89.1
New Orleans Saints,Taysom Hill,2/2,48,24.0,0,0,0-0,94.3,118.8
Arizona Cardinals,Kyler Murray,20/29,204,7.0,1,0,2-15,68.9,100.4
Atlanta Falcons,Marcus Mariota,8/13,124,9.5,1,0,3-17,55.9,118.8
Cincinnati Bengals,Joe Burrow,34/42,481,11.5,3,0,3-22,84.9,138.2
Detroit Lions,Jared Goff,21/26,228,8.8,0,2,5-33,20.8,71.2
Dallas Cowboys,Dak Prescott,19/25,207,8.3,1,0,2-16,54.3,113.2
Indianapolis Colts,Matt Ryan,33/44,243,5.5,1,2,3-16,32.1,76.2
Tennessee Titans,Ryan Tannehill,13/20,132,6.6,0,0,2-16,43.1,83.8
Green Bay Packers,Aaron Rodgers,23/35,194,5.5,2,0,0-0,50.6,99.0
Washington Commanders,Taylor Heinicke,20/33,201,6.1,2,1,1-3,39.1,85.5
Tampa Bay Buccaneers,Tom Brady,32/49,290,5.9,0,0,1-14,54.7,81.2
Carolina Panthers,PJ Walker,16/22,177,8.0,2,0,1-7,75.9,126.5
New York Giants,Daniel Jones,19/30,202,6.7,1,0,1-2,88.2,94.0
Jacksonville Jaguars,Trevor Lawrence,22/43,310,7.2,0,0,0-0,38.7,74.8
Jacksonville Jaguars,Christian Kirk,0/1,0,0.0,0,0,0-0,10.7,39.6
Cleveland Browns,Jacoby Brissett,22/27,258,9.6,0,0,5-35,61.3,106.5
Baltimore Ravens,Lamar Jackson,9/16,120,7.5,0,0,3-26,54.1,80.2
New York Jets,Zach Wilson,16/26,121,4.7,0,0,3-16,45.3,72.8
Denver Broncos,Brett Rypien,24/46,225,4.9,0,1,1-6,34.6,56.9
Houston Texans,Davis Mills,28/41,302,7.4,2,1,1-6,73.2,95.8
Las Vegas Raiders,Derek Carr,21/27,241,8.9,1,0,1-5,85.7,116.2
Seattle Seahawks,Geno Smith,20/27,210,7.8,2,1,2-19,63.5,105.5
Los Angeles Chargers,Justin Herbert,33/51,293,5.7,2,1,3-17,32.6,84.8
Kansas City Chiefs,Patrick Mahomes,25/34,423,12.4,3,1,1-6,91.9,132.4
Kansas City Chiefs,Chad Henne,0/2,0,0.0,0,0,0-0,3.7,39.6
San Francisco 49ers,Jimmy Garoppolo,25/37,303,8.2,2,1,5-26,41.9,99.3
San Francisco 49ers,Brock Purdy,4/9,66,7.3,0,1,0-0,25.9,30.1
Pittsburgh Steelers,Kenny Pickett,32/44,257,5.8,1,3,2-11,41.9,66.2
Miami Dolphins,Tua Tagovailoa,21/35,261,7.5,1,0,0-0,47.7,92.7
Chicago Bears,Justin Fields,13/21,179,8.5,1,1,4-32,60.3,85.2
New England Patriots,Bailey Zappe,14/22,185,8.4,1,2,1-8,29.5,67.4
New England Patriots,Mac Jones,3/6,13,2.2,0,1,0-0,23.8,16.7
