team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Buffalo Bills,Josh Allen,22/33,223,6.8,2,0,2-0,90.5,106.0
New England Patriots,Mac Jones,22/36,195,5.4,1,0,1-13,41.2,84.8
Pittsburgh Steelers,Kenny Pickett,16/28,197,7.0,1,0,0-0,52.7,90.9
Atlanta Falcons,Marcus Mariota,13/24,167,7.0,1,1,1-7,34.4,72.7
Green Bay Packers,Aaron Rodgers,18/31,182,5.9,1,0,0-0,52.5,85.7
Chicago Bears,Justin Fields,20/25,254,10.2,0,2,0-0,92.6,75.7
Jacksonville Jaguars,Trevor Lawrence,17/31,179,5.8,1,0,2-14,44.9,82.6
Jacksonville Jaguars,C.J. Beathard,2/3,6,2.0,0,0,0-0,52.8,70.1
Detroit Lions,Jared Goff,31/41,340,8.3,2,0,2-3,82.1,115.9
New York Jets,Mike White,31/57,369,6.5,0,2,1-3,22.7,59.8
New York Jets,Garrett Wilson,0/1,0,0.0,0,0,0-0,0.8,39.6
Minnesota Vikings,Kirk Cousins,21/35,173,4.9,1,0,2-14,75.8,82.2
Washington Commanders,Taylor Heinicke,27/41,275,6.7,2,0,5-29,26.7,101.2
New York Giants,Daniel Jones,25/31,200,6.5,1,0,4-18,32.5,104.3
Tennessee Titans,Ryan Tannehill,14/22,141,6.4,1,0,6-35,71.5,97.0
Tennessee Titans,Malik Willis,2/4,16,4.0,0,0,0-0,6.4,60.4
Philadelphia Eagles,Jalen Hurts,29/39,380,9.7,3,0,2-5,74.1,130.3
Philadelphia Eagles,Gardner Minshew,1/2,11,5.5,0,0,0-0,22.1,66.7
Denver Broncos,Russell Wilson,17/22,189,8.6,0,0,2-5,67.0,102.3
Baltimore Ravens,Tyler Huntley,27/32,187,5.8,0,1,2-6,71.6,78.0
Baltimore Ravens,Lamar Jackson,3/4,11,2.8,0,0,2-10,12.1,77.1
Baltimore Ravens,James Proche II,0/1,0,0.0,0,1,0-0,0.0,0.0
Cleveland Browns,Deshaun Watson,12/22,131,6.0,0,1,1-1,29.3,53.4
Houston Texans,Kyle Allen,20/39,201,5.2,1,2,0-0,3.1,53.5
Seattle Seahawks,Geno Smith,28/39,367,9.4,3,1,4-19,67.5,116.1
Los Angeles Rams,John Wolford,14/26,178,6.8,0,2,4-30,25.9,43.4
Miami Dolphins,Tua Tagovailoa,18/33,295,8.9,2,2,3-20,19.3,79.7
Miami Dolphins,Skylar Thompson,0/1,0,0.0,0,1,0-0,0.0,0.0
San Francisco 49ers,Brock Purdy,25/37,210,5.7,2,1,3-26,58.6,88.8
San Francisco 49ers,Jimmy Garoppolo,2/4,56,14.0,0,0,1-10,57.1,95.8
Kansas City Chiefs,Patrick Mahomes,16/27,223,8.3,1,0,2-12,91.5,98.2
Cincinnati Bengals,Joe Burrow,25/31,286,9.2,2,0,1-7,73.2,126.6
Los Angeles Chargers,Justin Herbert,28/47,335,7.1,1,0,5-21,16.0,88.5
Las Vegas Raiders,Derek Carr,16/30,250,8.3,2,1,0-0,58.9,89.6
Indianapolis Colts,Matt Ryan,21/37,233,6.3,2,3,3-30,56.7,59.9
Dallas Cowboys,Dak Prescott,20/30,170,5.7,3,1,1-5,41.9,100.7
New Orleans Saints,Andy Dalton,20/28,229,8.2,1,0,2-18,70.2,107.6
New Orleans Saints,Taysom Hill,1/1,21,21.0,0,0,0-0,45.1,118.8
Tampa Bay Buccaneers,Tom Brady,36/54,281,5.2,2,1,1-7,44.8,84.0
