team,player,fumbles,fumblesLost,fumblesRecovered
Chicago Bears,Cole Kmet,1,0,1
Chicago Bears,Terell Smith,0,0,1
Washington Commanders,Logan Thomas,1,1,0
Jacksonville Jaguars,Trevor Lawrence,3,2,1
Jacksonville Jaguars,Luke Fortner,1,0,0
Jacksonville Jaguars,Travon Walker,0,0,1
Buffalo Bills,Stefon Diggs,1,1,0
Buffalo Bills,Deonte Harty,1,0,0
Buffalo Bills,Tyrel Dodson,0,0,1
Buffalo Bills,AJ Epenesa,0,0,1
Houston Texans,Jalen Pitre,0,0,1
Houston Texans,Dylan Horton,0,0,1
Atlanta Falcons,Jonnu Smith,1,1,0
Atlanta Falcons,Bijan Robinson,1,1,0
Atlanta Falcons,KhaDarel Hodge,1,0,1
Carolina Panthers,Miles Sanders,1,1,0
Carolina Panthers,Laviska Shenault Jr.,1,0,1
Detroit Lions,Will Harris,0,0,1
Indianapolis Colts,Anthony Richardson,1,0,0
New York Giants,Eric Gray,1,0,0
New York Giants,Joshua Ezeudu,0,0,1
New York Giants,Kayvon Thibodeaux,0,0,1
Miami Dolphins,De'Von Achane,1,1,0
Miami Dolphins,Raheem Mostert,1,0,0
New Orleans Saints,Cameron Jordan,0,0,1
New England Patriots,Mac Jones,1,1,0
New England Patriots,Jabrill Peppers,1,0,0
Baltimore Ravens,Lamar Jackson,1,1,0
Baltimore Ravens,Justice Hill,1,1,0
Baltimore Ravens,Kevon Seymour,1,0,1
Baltimore Ravens,Nelson Agholor,1,0,0
Pittsburgh Steelers,Gunner Olszewski,1,1,0
Pittsburgh Steelers,Damontae Kazee,0,0,1
Pittsburgh Steelers,T.J. Watt,0,0,1
Los Angeles Rams,Puka Nacua,1,0,0
Los Angeles Rams,Cooper Kupp,0,0,1
Cincinnati Bengals,Trenton Irwin,1,0,0
Cincinnati Bengals,Sam Hubbard,0,0,1
Arizona Cardinals,Joshua Dobbs,1,1,0
New York Jets,Xavier Gipson,2,1,0
New York Jets,Zach Wilson,2,0,1
New York Jets,Laken Tomlinson,0,0,1
New York Jets,Quinton Jefferson,0,0,1
New York Jets,Sam Eguavoen,0,0,1
New York Jets,Bryce Hall,0,0,1
New York Jets,Will McDonald IV,0,0,1
Denver Broncos,Russell Wilson,2,1,0
Denver Broncos,Samaje Perine,1,1,0
Denver Broncos,Marvin Mims Jr.,1,1,0
Denver Broncos,Tremon Smith,0,0,1
Kansas City Chiefs,Bryan Cook,0,0,1
Minnesota Vikings,Josh Oliver,1,1,0
Minnesota Vikings,Kirk Cousins,1,0,1
Dallas Cowboys,Tony Pollard,1,1,0
Dallas Cowboys,Jourdan Lewis,0,0,1
San Francisco 49ers,Christian McCaffrey,1,1,0
San Francisco 49ers,Kevin Givens,0,0,1
