team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Pittsburgh Steelers,Ben Roethlisberger,28/40,308,7.7,3,1,5-39,42.0,107.1
Minnesota Vikings,Kirk Cousins,14/31,216,7.0,2,2,0-0,32.4,63.4
Baltimore Ravens,Tyler Huntley,27/38,270,7.1,1,0,3-16,65.7,99.7
Baltimore Ravens,Lamar Jackson,4/4,17,4.3,0,0,1-0,9.3,84.4
Cleveland Browns,Baker Mayfield,22/32,190,5.9,2,1,0-0,58.5,91.9
Jacksonville Jaguars,Trevor Lawrence,24/40,221,5.5,0,4,3-37,26.3,35.5
Tennessee Titans,Ryan Tannehill,20/31,191,6.2,0,0,4-30,72.7,81.5
Las Vegas Raiders,Derek Carr,33/45,263,5.8,1,1,4-17,35.5,85.7
Kansas City Chiefs,Patrick Mahomes,20/24,258,10.8,2,0,3-18,71.8,139.2
New Orleans Saints,Taysom Hill,15/21,175,8.3,0,0,3-34,57.8,96.3
New York Jets,Zach Wilson,19/42,202,4.8,0,0,3-24,27.7,59.8
Dallas Cowboys,Dak Prescott,22/39,211,5.4,1,2,4-10,12.3,58.8
Washington,Taylor Heinicke,11/25,122,4.9,1,1,4-46,5.9,55.8
Washington,Kyle Allen,4/9,53,5.9,0,0,1-5,7.0,63.7
Atlanta Falcons,Matt Ryan,19/28,190,6.8,1,0,0-0,64.4,98.8
Carolina Panthers,Cam Newton,15/23,178,7.7,0,1,1-10,32.4,70.6
Carolina Panthers,PJ Walker,6/12,75,6.3,1,1,0-0,12.4,62.8
Seattle Seahawks,Russell Wilson,17/28,260,9.3,2,0,0-0,94.2,115.2
Houston Texans,Davis Mills,33/49,331,6.8,1,0,2-14,32.9,93.2
Detroit Lions,Jared Goff,24/39,215,5.5,1,1,2-17,42.7,74.2
Denver Broncos,Teddy Bridgewater,18/25,179,7.2,2,0,1-5,68.9,118.6
New York Giants,Mike Glennon,17/36,191,5.3,2,1,2-10,25.1,70.5
New York Giants,Riley Dixon,0/1,0,0.0,0,0,0-0,--,39.6
Los Angeles Chargers,Justin Herbert,23/31,275,8.9,3,0,2-4,67.0,133.1
San Francisco 49ers,Jimmy Garoppolo,27/41,296,7.2,2,0,5-41,45.4,103.3
Cincinnati Bengals,Joe Burrow,25/34,348,10.2,2,0,5-37,61.2,125.6
Buffalo Bills,Josh Allen,36/54,308,5.7,2,1,3-15,67.8,86.0
Tampa Bay Buccaneers,Tom Brady,31/46,363,7.9,2,0,2-12,80.0,105.6
Chicago Bears,Justin Fields,18/33,224,6.8,2,2,2-14,40.7,70.8
Green Bay Packers,Aaron Rodgers,29/37,341,9.2,4,0,3-21,65.8,141.1
Los Angeles Rams,Matthew Stafford,23/30,287,9.6,3,0,3-20,84.9,139.2
Arizona Cardinals,Kyler Murray,32/49,383,7.8,0,2,4-39,45.8,72.1
