team,player,receptions,receivingYards,yardsPerReception,receivingTouchdowns,longReception,receivingTargets
Pittsburgh Steelers,Chase Claypool,8,93,11.6,0,38,9
Pittsburgh Steelers,Diontae Johnson,5,76,15.2,0,37,10
Pittsburgh Steelers,James Washington,4,65,16.3,1,30,6
Pittsburgh Steelers,Pat Freiermuth,2,32,16.0,1,17,3
Pittsburgh Steelers,Ray-Ray McCloud III,6,32,5.3,0,10,8
Pittsburgh Steelers,Najee Harris,3,10,3.3,1,6,3
Minnesota Vikings,K.J. Osborn,3,83,27.7,1,62,9
Minnesota Vikings,Justin Jefferson,7,79,11.3,1,22,15
Minnesota Vikings,Tyler Conklin,2,20,10.0,0,19,2
Minnesota Vikings,Dalvin Cook,1,17,17.0,0,17,3
Minnesota Vikings,Chris Herndon,1,17,17.0,0,17,1
Minnesota Vikings,Alexander Mattison,0,0,0.0,0,0,1
Baltimore Ravens,Mark Andrews,11,115,10.5,1,32,11
Baltimore Ravens,Rashod Bateman,7,103,14.7,0,36,8
Baltimore Ravens,Marquise Brown,5,41,8.2,0,12,8
Baltimore Ravens,Devin Duvernay,2,14,7.0,0,11,5
Baltimore Ravens,Devonta Freeman,5,8,1.6,0,4,5
Baltimore Ravens,Josh Oliver,1,6,6.0,0,6,1
Baltimore Ravens,Sammy Watkins,0,0,0.0,0,0,2
Cleveland Browns,Donovan Peoples-Jones,5,90,18.0,0,34,7
Cleveland Browns,Jarvis Landry,5,41,8.2,1,17,10
Cleveland Browns,Austin Hooper,5,30,6.0,1,9,6
Cleveland Browns,Kareem Hunt,2,13,6.5,0,8,2
Cleveland Browns,D'Ernest Johnson,1,7,7.0,0,7,1
Cleveland Browns,Nick Chubb,3,6,2.0,0,4,4
Cleveland Browns,Andy Janovich,1,3,3.0,0,3,1
Jacksonville Jaguars,Marvin Jones Jr.,6,70,11.7,0,31,7
Jacksonville Jaguars,Laquon Treadwell,4,68,17.0,0,41,6
Jacksonville Jaguars,Laviska Shenault Jr.,4,34,8.5,0,14,7
Jacksonville Jaguars,James O'Shaughnessy,4,21,5.3,0,7,6
Jacksonville Jaguars,Tavon Austin,3,17,5.7,0,7,5
Jacksonville Jaguars,Carlos Hyde,1,6,6.0,0,6,2
Jacksonville Jaguars,Dare Ogunbowale,2,5,2.5,0,3,3
Jacksonville Jaguars,Jaydon Mickens,0,0,0.0,0,0,1
Tennessee Titans,Geoff Swaim,3,45,15.0,0,24,4
Tennessee Titans,Anthony Firkser,4,34,8.5,0,11,5
Tennessee Titans,Julio Jones,4,33,8.3,0,16,6
Tennessee Titans,Nick Westbrook-Ikhine,3,31,10.3,0,15,3
Tennessee Titans,D'Onta Foreman,2,15,7.5,0,11,2
Tennessee Titans,Chester Rogers,1,13,13.0,0,13,1
Tennessee Titans,Racey McMath,1,9,9.0,0,9,2
Tennessee Titans,Cody Hollister,1,6,6.0,0,6,1
Tennessee Titans,MyCole Pruitt,1,5,5.0,0,5,3
Tennessee Titans,Dontrell Hilliard,0,0,0.0,0,0,2
Tennessee Titans,Jeremy McNichols,0,0,0.0,0,0,1
Las Vegas Raiders,Hunter Renfrow,13,117,9.0,1,19,14
Las Vegas Raiders,Josh Jacobs,5,46,9.2,0,14,6
Las Vegas Raiders,Zay Jones,5,25,5.0,0,9,7
Las Vegas Raiders,Bryan Edwards,2,24,12.0,0,18,3
Las Vegas Raiders,DeSean Jackson,1,19,19.0,0,19,2
Las Vegas Raiders,Peyton Barber,2,13,6.5,0,11,3
Las Vegas Raiders,Foster Moreau,3,13,4.3,0,7,6
Las Vegas Raiders,Trey Ragas,2,6,3.0,0,4,2
Kansas City Chiefs,Tyreek Hill,4,76,19.0,0,38,4
Kansas City Chiefs,Mecole Hardman,2,59,29.5,0,44,2
Kansas City Chiefs,Darrel Williams,3,31,10.3,1,23,3
Kansas City Chiefs,Byron Pringle,1,28,28.0,0,28,1
Kansas City Chiefs,Travis Kelce,3,27,9.0,0,19,4
Kansas City Chiefs,Derrick Gore,2,23,11.5,0,16,2
Kansas City Chiefs,Josh Gordon,2,9,4.5,1,8,3
Kansas City Chiefs,Clyde Edwards-Helaire,3,5,1.7,0,6,3
New Orleans Saints,Nick Vannett,3,44,14.7,0,19,6
New Orleans Saints,Marquez Callaway,2,34,17.0,0,26,4
New Orleans Saints,Tre'Quan Smith,3,33,11.0,0,21,3
New Orleans Saints,Alvin Kamara,4,25,6.3,0,13,5
New Orleans Saints,Tony Jones Jr.,1,19,19.0,0,19,1
New Orleans Saints,Juwan Johnson,1,15,15.0,0,15,1
New Orleans Saints,Easop Winston Jr.,1,5,5.0,0,5,1
New York Jets,Braxton Berrios,6,52,8.7,0,17,10
New York Jets,Ty Johnson,4,40,10.0,0,16,7
New York Jets,D.J. Montgomery,3,36,12.0,0,14,6
New York Jets,Ryan Griffin,2,28,14.0,0,22,3
New York Jets,Keelan Cole Sr.,1,27,27.0,0,27,6
New York Jets,Jamison Crowder,3,19,6.3,0,11,6
New York Jets,Vyncint Smith,0,0,0.0,0,0,1
New York Jets,Denzel Mims,0,0,0.0,0,0,1
Dallas Cowboys,CeeDee Lamb,7,61,8.7,0,18,10
Dallas Cowboys,Michael Gallup,5,60,12.0,0,24,9
Dallas Cowboys,Amari Cooper,5,51,10.2,1,20,7
Dallas Cowboys,Cedrick Wilson Jr.,2,18,9.0,0,13,2
Dallas Cowboys,Ezekiel Elliott,1,15,15.0,0,15,6
Dallas Cowboys,Dalton Schultz,1,4,4.0,0,4,3
Dallas Cowboys,Corey Clement,1,2,2.0,0,2,2
Washington,Cam Sims,3,69,23.0,1,43,4
Washington,Adam Humphries,4,34,8.5,0,14,7
Washington,Jonathan Williams,1,19,19.0,0,19,1
Washington,John Bates,1,19,19.0,0,19,2
Washington,DeAndre Carter,2,12,6.0,0,10,6
Washington,Jaret Patterson,1,9,9.0,0,9,1
Washington,Ricky Seals-Jones,1,8,8.0,0,8,4
Washington,Antonio Gibson,2,5,2.5,0,6,2
Washington,Terry McLaurin,0,0,0.0,0,0,3
Washington,Curtis Samuel,0,0,0.0,0,0,2
Washington,Dyami Brown,0,0,0.0,0,0,1
Atlanta Falcons,Russell Gage,4,64,16.0,0,36,6
Atlanta Falcons,Kyle Pitts,5,61,12.2,0,23,6
Atlanta Falcons,Mike Davis,5,42,8.4,0,20,6
Atlanta Falcons,Lee Smith,1,12,12.0,0,12,1
Atlanta Falcons,Tajae Sharpe,1,7,7.0,0,7,2
Atlanta Falcons,Hayden Hurst,1,3,3.0,1,3,1
Atlanta Falcons,Cordarrelle Patterson,2,1,0.5,0,3,5
Carolina Panthers,Robbie Chosen,7,84,12.0,1,23,12
Carolina Panthers,DJ Moore,6,84,14.0,0,22,10
Carolina Panthers,Brandon Zylstra,4,45,11.3,0,19,5
Carolina Panthers,Tommy Tremble,2,23,11.5,0,14,2
Carolina Panthers,Ameer Abdullah,2,17,8.5,0,11,4
Carolina Panthers,Ian Thomas,0,0,0.0,0,0,2
Seattle Seahawks,Tyler Lockett,5,142,28.4,1,55,9
Seattle Seahawks,DK Metcalf,4,43,10.8,0,22,8
