team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Pittsburgh Steelers,Chris Boswell,0/1,0.0,0,2/2,2
Minnesota Vikings,Greg Joseph,3/4,75.0,42,3/4,12
Baltimore Ravens,Justin Tucker,3/3,100.0,55,1/1,10
Cleveland Browns,Chase McLaughlin,1/2,50.0,43,3/3,6
Tennessee Titans,Randy Bullock,2/3,67.0,44,2/2,8
Las Vegas Raiders,Daniel Carlson,1/1,100.0,26,0/1,3
Kansas City Chiefs,Harrison Butker,2/2,100.0,54,6/6,12
New Orleans Saints,Brett Maher,3/3,100.0,37,3/3,12
New York Jets,Eddy Pineiro,3/3,100.0,46,0/0,9
Dallas Cowboys,Greg Zuerlein,4/4,100.0,38,1/1,13
Washington,Brian Johnson,0/0,0.0,0,0/1,0
Atlanta Falcons,Younghoe Koo,3/3,100.0,48,2/2,11
Carolina Panthers,Zane Gonzalez,0/0,0.0,0,3/3,3
Seattle Seahawks,Jason Myers,2/2,100.0,38,1/3,7
Houston Texans,Ka'imi Fairbairn,2/2,100.0,61,1/1,7
Detroit Lions,Riley Patterson,1/1,100.0,36,1/1,4
Denver Broncos,Brandon McManus,1/1,100.0,52,5/5,8
New York Giants,Graham Gano,0/0,0.0,0,1/1,1
Los Angeles Chargers,Dustin Hopkins,3/3,100.0,39,4/4,13
San Francisco 49ers,Robbie Gould,2/3,67.0,33,2/2,8
Cincinnati Bengals,Evan McPherson,3/4,75.0,41,2/2,11
Buffalo Bills,Tyler Bass,2/2,100.0,25,3/3,9
Tampa Bay Buccaneers,Ryan Succop,2/2,100.0,24,3/3,9
Chicago Bears,Cairo Santos,3/3,100.0,44,3/3,12
Green Bay Packers,Mason Crosby,1/1,100.0,20,6/6,9
Los Angeles Rams,Matt Gay,3/3,100.0,55,3/3,12
Arizona Cardinals,Matt Prater,3/3,100.0,53,2/2,11
