team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Minnesota Vikings,Kirk Cousins,31/44,364,8.3,4,0,2-18,79.6,125.6
Philadelphia Eagles,Jalen Hurts,18/23,193,8.4,1,1,4-22,41.5,98.0
Green Bay Packers,Jordan Love,14/25,151,6.0,3,0,1-11,77.5,113.5
Atlanta Falcons,Desmond Ridder,19/32,237,7.4,1,1,1-2,71.3,79.8
Las Vegas Raiders,Jimmy Garoppolo,16/24,185,7.7,1,2,0-0,16.8,68.9
Buffalo Bills,Josh Allen,31/37,274,7.4,3,0,2-7,84.6,124.5
Baltimore Ravens,Lamar Jackson,24/33,237,7.2,2,0,0-0,85.9,112.8
Cincinnati Bengals,Joe Burrow,27/41,222,5.4,2,1,1-6,72.0,85.6
Seattle Seahawks,Geno Smith,32/41,328,8.0,2,0,1-17,87.2,116.3
Detroit Lions,Jared Goff,28/35,323,9.2,3,1,2-7,85.4,121.8
Los Angeles Chargers,Justin Herbert,27/41,305,7.4,2,0,3-24,63.7,104.2
Tennessee Titans,Ryan Tannehill,20/24,246,10.3,1,0,5-46,62.4,123.3
Chicago Bears,Justin Fields,16/29,211,7.3,1,2,6-42,16.8,61.1
Tampa Bay Buccaneers,Baker Mayfield,26/34,317,9.3,1,0,0-0,74.5,114.5
Kansas City Chiefs,Patrick Mahomes,29/41,305,7.4,2,1,1-7,74.2,98.1
Jacksonville Jaguars,Trevor Lawrence,22/41,216,5.3,0,0,4-18,18.9,68.8
Jacksonville Jaguars,Christian Kirk,1/1,-1,-1.0,0,0,0-0,4.6,79.2
Indianapolis Colts,Gardner Minshew,19/23,171,7.4,1,0,0-0,88.9,112.1
Indianapolis Colts,Anthony Richardson,6/10,56,5.6,0,0,0-0,89.9,75.4
Houston Texans,C.J. Stroud,30/47,384,8.2,2,0,6-47,48.8,103.5
San Francisco 49ers,Brock Purdy,17/25,206,8.2,0,0,1-0,78.2,93.1
Los Angeles Rams,Matthew Stafford,34/55,307,5.6,1,2,1-10,50.2,67.8
New York Giants,Daniel Jones,26/37,321,8.7,2,1,3-9,75.6,103.5
Arizona Cardinals,Joshua Dobbs,21/31,228,7.4,1,0,0-0,79.6,99.9
New York Jets,Zach Wilson,12/27,170,6.3,1,3,3-19,41.8,38.1
Dallas Cowboys,Dak Prescott,31/38,255,6.7,2,0,1-7,89.4,112.2
Washington Commanders,Sam Howell,27/39,299,7.7,2,0,4-33,58.7,108.8
Denver Broncos,Russell Wilson,18/32,308,9.6,3,1,7-31,42.0,107.3
Miami Dolphins,Tua Tagovailoa,21/30,249,8.3,1,1,1-5,71.1,92.2
New England Patriots,Mac Jones,31/42,231,5.5,1,1,4-31,59.6,84.5
New Orleans Saints,Derek Carr,21/36,228,6.3,0,1,4-29,34.4,65.5
New Orleans Saints,Taysom Hill,1/1,8,8.0,0,0,0-0,96.7,100.0
Carolina Panthers,Bryce Young,22/33,153,4.6,1,0,4-14,44.8,87.1
Cleveland Browns,Deshaun Watson,22/40,235,5.9,1,1,6-25,14.4,70.3
Pittsburgh Steelers,Kenny Pickett,15/30,222,7.4,1,1,2-22,15.5,71.8
