team,player,rushingAttempts,rushingYards,yardsPerRushAttempt,rushingTouchdowns,longRushing
Minnesota Vikings,Alexander Mattison,8,28,3.5,0,7
Minnesota Vikings,Ty Chandler,1,0,0.0,0,0
Philadelphia Eagles,D'Andre Swift,28,175,6.3,1,43
Philadelphia Eagles,Boston Scott,5,40,8.0,0,18
Philadelphia Eagles,Jalen Hurts,12,35,2.9,2,8
Philadelphia Eagles,Rashaad Penny,3,9,3.0,0,6
Green Bay Packers,AJ Dillon,15,55,3.7,0,8
Green Bay Packers,Jordan Love,2,23,11.5,0,24
Green Bay Packers,Emanuel Wilson,3,5,1.7,0,7
Green Bay Packers,Patrick Taylor,1,1,1.0,0,1
Atlanta Falcons,Bijan Robinson,19,124,6.5,0,19
Atlanta Falcons,Tyler Allgeier,16,48,3.0,0,10
Atlanta Falcons,Desmond Ridder,10,39,3.9,1,9
Las Vegas Raiders,Tre Tucker,1,34,34.0,0,34
Las Vegas Raiders,Zamir White,4,22,5.5,0,8
Las Vegas Raiders,Jimmy Garoppolo,1,1,1.0,0,1
Las Vegas Raiders,Josh Jacobs,9,-2,-0.2,0,3
Buffalo Bills,James Cook,17,123,7.2,0,36
Buffalo Bills,Damien Harris,7,33,4.7,1,11
Buffalo Bills,Latavius Murray,6,22,3.7,1,8
Buffalo Bills,Josh Allen,3,7,2.3,0,3
Buffalo Bills,Kyle Allen,2,-2,-1.0,0,-1
Baltimore Ravens,Gus Edwards,10,62,6.2,1,20
Baltimore Ravens,Lamar Jackson,12,54,4.5,0,12
Baltimore Ravens,Justice Hill,11,41,3.7,0,11
Baltimore Ravens,Devin Duvernay,3,15,5.0,0,8
Baltimore Ravens,Zay Flowers,1,6,6.0,0,6
Cincinnati Bengals,Joe Mixon,13,59,4.5,0,14
Cincinnati Bengals,Joe Burrow,1,5,5.0,0,5
Cincinnati Bengals,Chase Brown,1,2,2.0,0,2
Seattle Seahawks,Kenneth Walker III,17,43,2.5,2,14
Seattle Seahawks,Geno Smith,3,20,6.7,0,15
Seattle Seahawks,Zach Charbonnet,4,16,4.0,0,9
Seattle Seahawks,DeeJay Dallas,1,3,3.0,0,3
Detroit Lions,David Montgomery,16,67,4.2,1,16
Detroit Lions,Jahmyr Gibbs,7,17,2.4,0,8
Detroit Lions,Kalif Raymond,1,11,11.0,0,11
Detroit Lions,Craig Reynolds,3,7,2.3,0,5
Los Angeles Chargers,Joshua Kelley,13,39,3.0,0,15
Los Angeles Chargers,Derius Davis,1,10,10.0,0,10
Los Angeles Chargers,Elijah Dotson,4,6,1.5,0,2
Los Angeles Chargers,Mike Williams,1,3,3.0,0,3
