team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Detroit Lions,Jared Goff,19/28,210,7.5,1,1,2-20,61.3,86.9
Green Bay Packers,Jordan Love,23/36,246,6.8,1,2,5-43,8.2,69.9
Atlanta Falcons,Desmond Ridder,19/31,191,6.2,1,2,4-31,11.6,62.7
Jacksonville Jaguars,Trevor Lawrence,23/30,207,6.9,1,0,2-12,77.0,105.8
Miami Dolphins,Tua Tagovailoa,25/35,282,8.1,1,1,4-31,39.0,92.8
Buffalo Bills,Josh Allen,21/25,320,12.8,4,0,2-10,88.9,158.3
Denver Broncos,Russell Wilson,21/28,223,8.0,3,0,1-9,37.0,133.5
Chicago Bears,Justin Fields,28/35,335,9.6,4,1,4-35,70.4,132.7
Baltimore Ravens,Lamar Jackson,15/19,186,9.8,2,0,3-21,67.2,142.5
Cleveland Browns,Dorian Thompson-Robinson,19/36,121,3.4,0,3,4-48,25.2,25.3
Cincinnati Bengals,Joe Burrow,20/30,165,5.5,0,0,3-26,14.4,80.6
Tennessee Titans,Ryan Tannehill,18/25,240,9.6,1,1,3-15,34.5,98.8
Tennessee Titans,Derrick Henry,1/1,2,2.0,1,0,0-0,100.0,118.8
Los Angeles Rams,Matthew Stafford,27/40,319,8.0,1,1,2-16,76.0,89.5
Indianapolis Colts,Anthony Richardson,11/25,200,8.0,2,0,2-4,65.8,98.8
Tampa Bay Buccaneers,Baker Mayfield,25/32,246,7.7,3,1,1-7,90.7,116.9
Tampa Bay Buccaneers,Chris Godwin,0/1,0,0.0,0,0,0-0,0.7,39.6
New Orleans Saints,Derek Carr,23/37,127,3.4,0,0,2-10,21.4,68.2
New Orleans Saints,Taysom Hill,1/1,13,13.0,0,0,1-3,36.4,118.8
New Orleans Saints,Jameis Winston,0/1,0,0.0,0,1,0-0,0.0,0.0
Washington Commanders,Sam Howell,29/41,290,7.1,1,0,5-32,66.7,98.6
Philadelphia Eagles,Jalen Hurts,25/37,319,8.6,2,0,3-8,68.9,112.3
Minnesota Vikings,Kirk Cousins,12/19,139,7.3,2,2,2-9,32.6,80.7
Carolina Panthers,Bryce Young,25/32,204,6.4,0,0,5-55,22.7,93.2
Pittsburgh Steelers,Kenny Pickett,15/23,114,5.0,0,1,3-21,14.0,59.0
Pittsburgh Steelers,Mitch Trubisky,3/5,18,3.6,0,0,0-0,15.5,67.1
Houston Texans,C.J. Stroud,16/30,306,10.2,2,0,0-0,73.5,111.2
Houston Texans,Devin Singletary,1/1,6,6.0,1,0,0-0,100.0,131.2
Las Vegas Raiders,Aidan O'Connell,24/39,238,6.1,0,1,7-50,7.0,68.1
Los Angeles Chargers,Justin Herbert,13/24,167,7.0,1,1,2-17,47.8,72.7
New England Patriots,Mac Jones,12/21,150,7.1,0,2,1-0,15.1,39.9
New England Patriots,Bailey Zappe,4/9,57,6.3,0,0,1-7,19.8,65.5
Dallas Cowboys,Dak Prescott,28/34,261,7.7,1,0,3-28,76.8,108.5
Dallas Cowboys,Cooper Rush,2/2,20,10.0,0,0,0-0,99.6,108.3
Arizona Cardinals,Joshua Dobbs,28/41,265,6.5,2,0,1-8,79.1,102.2
San Francisco 49ers,Brock Purdy,20/21,283,13.5,1,0,1-12,97.1,134.6
Kansas City Chiefs,Patrick Mahomes,18/30,203,6.8,1,2,1-6,74.8,63.6
New York Jets,Zach Wilson,28/39,245,6.3,2,0,2-17,70.5,105.2
Seattle Seahawks,Geno Smith,13/20,110,5.5,1,0,2-13,37.6,95.8
Seattle Seahawks,Drew Lock,2/6,63,10.5,0,0,0-0,85.8,73.6
New York Giants,Daniel Jones,27/34,203,6.0,0,2,10-59,25.5,67.0
New York Giants,Parris Campbell,0/0,0,0.0,0,0,1-8,0.0,0.0
