team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Baltimore Ravens,Justin Tucker,2/3,67.0,30,3/3,9
Tampa Bay Buccaneers,Ryan Succop,3/3,100.0,31,1/1,10
Denver Broncos,Brandon McManus,0/0,0.0,0,3/3,3
Jacksonville Jaguars,Riley Patterson,1/1,100.0,37,2/2,5
Carolina Panthers,Eddy Pineiro,2/3,67.0,42,2/3,8
Atlanta Falcons,Younghoe Koo,3/3,100.0,41,4/4,13
Chicago Bears,Cairo Santos,1/1,100.0,36,2/2,5
Dallas Cowboys,Brett Maher,0/0,0.0,0,7/7,7
Miami Dolphins,Jason Sanders,1/1,100.0,45,4/4,7
Detroit Lions,Michael Badgley,2/2,100.0,42,3/3,9
Arizona Cardinals,Matt Prater,2/2,100.0,44,2/2,8
Minnesota Vikings,Greg Joseph,0/1,0.0,0,4/5,4
New Orleans Saints,Wil Lutz,1/2,50.0,37,3/3,6
New England Patriots,Nick Folk,5/5,100.0,52,1/1,16
New York Jets,Greg Zuerlein,1/2,50.0,28,2/2,5
Pittsburgh Steelers,Nick Sciba,2/2,100.0,38,1/1,7
Philadelphia Eagles,Jake Elliott,0/0,0.0,0,5/5,5
Tennessee Titans,Randy Bullock,1/2,50.0,29,2/2,5
Houston Texans,Ka'imi Fairbairn,1/1,100.0,43,1/1,4
Washington Commanders,Joey Slye,1/1,100.0,28,2/2,5
Indianapolis Colts,Chase McLaughlin,3/3,100.0,46,1/1,10
San Francisco 49ers,Robbie Gould,1/1,100.0,29,4/4,7
Los Angeles Rams,Matt Gay,0/0,0.0,0,2/2,2
New York Giants,Graham Gano,2/2,100.0,45,1/1,7
Seattle Seahawks,Jason Myers,2/2,100.0,51,3/3,9
Green Bay Packers,Mason Crosby,1/2,50.0,38,2/2,5
Buffalo Bills,Tyler Bass,2/2,100.0,42,3/3,9
Cincinnati Bengals,Evan McPherson,0/1,0.0,0,1/2,1
Cleveland Browns,Cade York,1/2,50.0,55,3/3,6
