team,player,fumbles,fumblesLost,fumblesRecovered
San Francisco 49ers,Deebo Samuel,2,0,1
San Francisco 49ers,JaMycal Hasty,1,0,0
San Francisco 49ers,Brandon Aiyuk,0,0,1
Arizona Cardinals,Kyler Murray,2,0,2
Detroit Lions,Dean Marlowe,0,0,1
Atlanta Falcons,Russell Gage,1,1,0
Baltimore Ravens,Josh Johnson,2,0,2
Los Angeles Rams,Matthew Stafford,1,0,1
Minnesota Vikings,Kirk Cousins,3,0,1
Minnesota Vikings,Alexander Mattison,0,0,1
Minnesota Vikings,Christian Darrisaw,0,0,1
New England Patriots,Mac Jones,1,0,0
New England Patriots,Damien Harris,0,0,1
Jacksonville Jaguars,Trevor Lawrence,2,1,0
Jacksonville Jaguars,Will Richardson Jr.,0,0,1
New York Jets,Ronald Blair,0,0,1
New York Giants,Jake Fromm,1,0,0
New York Giants,Kadarius Toney,0,0,1
Philadelphia Eagles,Jalen Hurts,1,0,0
Philadelphia Eagles,Kenneth Gainwell,1,0,0
Philadelphia Eagles,Dallas Goedert,0,0,1
Philadelphia Eagles,J.J. Arcega-Whiteside,0,0,1
Carolina Panthers,Sam Darnold,1,0,1
Los Angeles Chargers,Justin Jackson,1,1,0
Houston Texans,Jonathan Owens,0,0,1
Chicago Bears,Nick Foles,1,0,0
Chicago Bears,Germain Ifedi,0,0,1
Pittsburgh Steelers,Ben Roethlisberger,1,1,0
Pittsburgh Steelers,Diontae Johnson,1,1,0
Kansas City Chiefs,Chad Henne,2,0,2
Kansas City Chiefs,Patrick Mahomes,1,0,0
Kansas City Chiefs,Tyrann Mathieu,0,0,1
Kansas City Chiefs,Joe Thuney,0,0,1
Kansas City Chiefs,Jarran Reed,0,0,1
Denver Broncos,Mike Purcell,0,0,1
Denver Broncos,Dre'Mont Jones,0,0,1
Las Vegas Raiders,Derek Carr,1,1,0
Las Vegas Raiders,Josh Jacobs,1,1,0
Washington,John Bates,1,0,1
Dallas Cowboys,Dak Prescott,1,0,0
Dallas Cowboys,Cedrick Wilson Jr.,1,0,0
Dallas Cowboys,Amari Cooper,0,0,1
Dallas Cowboys,Ezekiel Elliott,0,0,1
Miami Dolphins,Tua Tagovailoa,1,0,0
Miami Dolphins,Liam Eichenberg,0,0,1
