team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
San Francisco 49ers,Robbie Gould,1/1,100.0,48,2/2,5
Tennessee Titans,Randy Bullock,2/2,100.0,44,2/2,8
Cleveland Browns,Chris Naggar,1/1,100.0,37,1/2,4
Green Bay Packers,Mason Crosby,1/1,100.0,32,3/3,6
Indianapolis Colts,Michael Badgley,2/3,67.0,41,2/2,8
Arizona Cardinals,Matt Prater,1/3,33.0,28,1/2,4
Detroit Lions,Riley Patterson,3/3,100.0,37,1/1,10
Atlanta Falcons,Younghoe Koo,2/2,100.0,53,2/2,8
Baltimore Ravens,Justin Tucker,0/0,0.0,0,3/3,3
Cincinnati Bengals,Evan McPherson,2/3,67.0,36,5/5,11
Los Angeles Rams,Matt Gay,3/3,100.0,32,3/3,12
Minnesota Vikings,Greg Joseph,3/3,100.0,44,2/2,11
Buffalo Bills,Tyler Bass,2/2,100.0,34,3/3,9
New England Patriots,Nick Folk,0/0,0.0,0,3/3,3
Jacksonville Jaguars,Matthew Wright,3/3,100.0,45,0/0,9
New York Jets,Eddy Pineiro,2/2,100.0,42,2/3,8
New York Giants,Graham Gano,1/1,100.0,54,1/1,4
Philadelphia Eagles,Jake Elliott,2/3,67.0,37,4/4,10
Tampa Bay Buccaneers,Ryan Succop,4/4,100.0,48,2/2,14
Carolina Panthers,Lirim Hajrullahu,2/2,100.0,29,0/0,6
Los Angeles Chargers,Dustin Hopkins,3/3,100.0,50,0/0,9
Houston Texans,Dominik Eberle,2/3,67.0,51,5/5,11
Chicago Bears,Cairo Santos,1/1,100.0,35,2/2,5
Seattle Seahawks,Jason Myers,1/2,50.0,36,3/3,6
Pittsburgh Steelers,Chris Boswell,1/2,50.0,34,1/1,4
Kansas City Chiefs,Elliott Fry,3/4,75.0,44,3/4,12
Denver Broncos,Brandon McManus,2/3,67.0,55,1/1,7
Las Vegas Raiders,Daniel Carlson,1/1,100.0,41,2/2,5
Washington,Joey Slye,0/0,0.0,0,2/2,2
Dallas Cowboys,Greg Zuerlein,0/0,0.0,0,8/8,8
Miami Dolphins,Jason Sanders,2/3,67.0,48,2/2,8
New Orleans Saints,Brett Maher,1/1,100.0,38,0/0,3
