team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
San Francisco 49ers,Jimmy Garoppolo,26/35,322,9.2,1,2,2-16,53.0,88.0
Tennessee Titans,Ryan Tannehill,22/29,209,7.2,1,0,4-21,80.4,106.8
Tennessee Titans,A.J. Brown,0/1,0,0.0,0,0,0-0,4.4,39.6
Cleveland Browns,Baker Mayfield,21/36,222,6.2,2,4,5-33,41.0,55.3
Green Bay Packers,Aaron Rodgers,24/34,202,5.9,3,0,0-0,83.6,115.1
Indianapolis Colts,Carson Wentz,18/28,225,8.0,2,0,2-5,80.2,112.9
Arizona Cardinals,Kyler Murray,27/43,245,5.7,1,0,0-0,52.4,85.9
Detroit Lions,Tim Boyle,24/34,187,5.5,1,1,0-0,33.5,81.4
Detroit Lions,Jack Fox,1/1,21,21.0,0,0,0-0,--,118.8
Atlanta Falcons,Matt Ryan,18/24,215,9.0,1,0,3-8,58.2,115.8
Baltimore Ravens,Josh Johnson,28/40,304,7.6,2,1,1-9,76.3,98.3
Cincinnati Bengals,Joe Burrow,37/46,525,11.4,4,0,3-27,91.4,143.2
Los Angeles Rams,Matthew Stafford,21/37,197,5.3,1,3,0-0,45.7,46.8
Minnesota Vikings,Kirk Cousins,27/38,315,8.3,1,1,3-20,44.6,93.6
Buffalo Bills,Josh Allen,30/47,314,6.7,3,0,0-0,86.7,104.4
New England Patriots,Mac Jones,14/32,145,4.5,0,2,1-6,41.8,31.4
Jacksonville Jaguars,Trevor Lawrence,26/39,280,7.2,0,0,1-28,44.1,87.6
New York Jets,Zach Wilson,14/22,102,4.6,1,0,1-2,94.5,89.6
New York Giants,Mike Glennon,17/27,93,3.4,1,1,0-0,28.9,65.8
New York Giants,Jake Fromm,6/17,25,1.5,0,1,2-10,5.5,19.5
Philadelphia Eagles,Jalen Hurts,17/29,199,6.9,2,0,1-5,49.5,102.5
Tampa Bay Buccaneers,Tom Brady,18/30,232,7.7,1,0,0-0,84.5,95.4
Tampa Bay Buccaneers,Blaine Gabbert,0/1,0,0.0,0,0,0-0,0.5,39.6
Carolina Panthers,Sam Darnold,15/32,190,5.9,0,0,4-21,23.7,65.9
Carolina Panthers,Cam Newton,7/13,61,4.7,0,1,3-24,22.7,34.5
Los Angeles Chargers,Justin Herbert,27/35,336,9.6,1,2,1-8,49.9,92.1
Houston Texans,Davis Mills,21/27,254,9.4,2,0,1-6,82.8,130.6
Chicago Bears,Nick Foles,24/35,250,7.1,1,0,4-21,51.6,98.5
Seattle Seahawks,Russell Wilson,16/27,181,6.7,2,0,2-20,35.5,104.1
Pittsburgh Steelers,Ben Roethlisberger,23/35,159,4.5,1,1,2-21,15.8,73.4
Pittsburgh Steelers,Mason Rudolph,5/8,35,4.4,0,0,0-0,54.6,72.4
Kansas City Chiefs,Patrick Mahomes,23/30,258,8.6,3,0,2-4,81.0,135.1
Denver Broncos,Drew Lock,15/22,153,7.0,0,0,2-13,49.6,87.9
Las Vegas Raiders,Derek Carr,20/25,201,8.0,1,1,2-19,66.8,96.8
Washington,Taylor Heinicke,7/22,121,5.5,1,2,4-16,4.3,28.8
Washington,Kyle Allen,8/10,67,6.7,1,0,1-0,98.5,127.9
Dallas Cowboys,Dak Prescott,28/39,330,8.5,4,0,3-11,76.5,131.4
Dallas Cowboys,Cooper Rush,2/3,70,23.3,1,0,0-0,97.7,149.3
Miami Dolphins,Tua Tagovailoa,19/26,198,7.6,1,1,2-25,50.0,91.5
Miami Dolphins,Jacoby Brissett,0/0,0,0.0,0,0,1-0,0.0,0.0
New Orleans Saints,Ian Book,12/20,135,6.8,0,2,8-54,2.8,40.6
