team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
New York Jets,Matt Ammendola,1/1,100.0,33,3/3,6
Indianapolis Colts,Michael Badgley,1/1,100.0,39,6/6,9
Cleveland Browns,Chase McLaughlin,2/3,67.0,28,5/5,11
Cincinnati Bengals,Evan McPherson,1/1,100.0,27,1/1,4
Denver Broncos,Brandon McManus,3/4,75.0,53,1/2,10
Houston Texans,Ka'imi Fairbairn,3/3,100.0,40,0/0,9
Miami Dolphins,Jason Sanders,1/1,100.0,42,2/2,5
Atlanta Falcons,Younghoe Koo,2/2,100.0,32,3/3,9
New Orleans Saints,Brian Johnson,2/2,100.0,52,1/1,7
Las Vegas Raiders,Daniel Carlson,3/4,75.0,32,1/1,10
New York Giants,Graham Gano,3/3,100.0,38,2/2,11
New England Patriots,Nick Folk,1/2,50.0,37,3/3,6
Carolina Panthers,Zane Gonzalez,2/2,100.0,49,0/0,6
Buffalo Bills,Tyler Bass,2/2,100.0,41,0/0,6
Jacksonville Jaguars,Matthew Wright,3/4,75.0,55,0/0,9
Minnesota Vikings,Greg Joseph,1/1,100.0,36,4/4,7
Baltimore Ravens,Justin Tucker,2/2,100.0,37,4/4,10
Los Angeles Chargers,Dustin Hopkins,2/2,100.0,30,1/2,7
Philadelphia Eagles,Jake Elliott,1/1,100.0,24,3/3,6
Green Bay Packers,Mason Crosby,0/2,0.0,0,1/1,1
Kansas City Chiefs,Harrison Butker,2/2,100.0,55,1/1,7
Arizona Cardinals,Matt Prater,1/1,100.0,26,4/4,7
San Francisco 49ers,Robbie Gould,1/1,100.0,26,2/2,5
Tennessee Titans,Randy Bullock,0/0,0.0,0,4/4,4
Los Angeles Rams,Matt Gay,3/3,100.0,54,1/1,10
Chicago Bears,Cairo Santos,2/3,67.0,30,3/3,9
Pittsburgh Steelers,Chris Boswell,3/3,100.0,54,2/3,11
