team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
New York Jets,Josh Johnson,27/41,317,7.7,3,1,2-14,27.9,103.4
New York Jets,Mike White,7/11,95,8.6,1,0,0-0,93.6,121.4
Indianapolis Colts,Carson Wentz,22/30,272,9.1,3,0,1-0,91.3,134.3
Cleveland Browns,Baker Mayfield,14/21,218,10.4,2,0,2-10,85.4,132.6
Cincinnati Bengals,Joe Burrow,28/40,282,7.1,0,2,5-25,25.7,69.0
Cincinnati Bengals,Brandon Allen,1/2,6,3.0,0,0,0-0,16.4,56.2
Denver Broncos,Teddy Bridgewater,19/28,249,8.9,1,0,4-32,69.9,107.6
Dallas Cowboys,Dak Prescott,19/39,232,5.9,2,1,2-20,22.6,73.9
Houston Texans,Tyrod Taylor,24/43,240,5.6,0,3,5-41,24.0,42.8
Houston Texans,Danny Amendola,0/1,0,0.0,0,0,0-0,4.1,39.6
Miami Dolphins,Jacoby Brissett,26/43,244,5.7,1,2,4-29,56.0,64.5
Atlanta Falcons,Matt Ryan,23/30,343,11.4,2,0,2-11,95.9,135.8
New Orleans Saints,Trevor Siemian,25/41,249,6.1,2,0,1-15,21.6,94.5
New Orleans Saints,Taysom Hill,2/2,33,16.5,0,0,0-0,92.2,118.8
Las Vegas Raiders,Derek Carr,30/46,296,6.4,1,2,1-10,28.4,72.4
New York Giants,Daniel Jones,15/20,110,5.5,1,0,2-6,45.1,104.2
New York Giants,Kadarius Toney,0/0,0,0.0,0,0,1-6,0.0,0.0
New England Patriots,Mac Jones,12/18,139,7.7,1,1,2-17,25.3,85.2
Carolina Panthers,Sam Darnold,16/33,172,5.2,0,3,1-10,3.3,26.3
Buffalo Bills,Josh Allen,31/47,264,5.6,0,2,4-35,32.4,62.7
Jacksonville Jaguars,Trevor Lawrence,15/26,118,4.5,0,0,2-12,42.4,69.1
Jacksonville Jaguars,C.J. Beathard,2/2,33,16.5,0,0,0-0,94.4,118.8
Minnesota Vikings,Kirk Cousins,17/28,187,6.7,2,0,0-0,74.9,104.3
Baltimore Ravens,Lamar Jackson,27/41,266,6.5,3,2,3-13,52.5,88.1
Los Angeles Chargers,Justin Herbert,32/38,356,9.4,2,0,0-0,95.2,123.2
Philadelphia Eagles,Jalen Hurts,11/17,162,9.5,1,0,1-7,92.7,115.3
Green Bay Packers,Jordan Love,19/34,190,5.6,1,1,1-11,33.1,69.5
Kansas City Chiefs,Patrick Mahomes,20/37,166,4.5,1,0,1-6,48.2,74.8
Arizona Cardinals,Colt McCoy,22/26,249,9.6,1,0,2-8,73.3,119.4
Arizona Cardinals,Christian Kirk,1/1,33,33.0,0,0,0-0,100.0,118.8
San Francisco 49ers,Jimmy Garoppolo,28/40,326,8.2,2,1,5-28,64.2,100.6
Tennessee Titans,Ryan Tannehill,19/27,143,5.3,1,1,3-18,69.1,79.7
Los Angeles Rams,Matthew Stafford,31/48,294,6.1,1,2,5-41,22.1,71.0
Chicago Bears,Justin Fields,17/29,291,10.0,1,1,3-13,64.0,89.9
Pittsburgh Steelers,Ben Roethlisberger,21/30,205,6.8,2,0,4-30,51.5,111.1
