team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Buffalo Bills,Josh Allen,24/42,253,6.0,2,1,3-16,72.9,80.8
Detroit Lions,Jared Goff,23/37,240,6.5,2,0,2-10,79.6,98.9
New York Giants,Daniel Jones,21/35,228,6.5,1,0,3-18,60.9,88.8
Dallas Cowboys,Dak Prescott,21/30,261,8.7,2,2,0-0,72.4,91.1
New England Patriots,Mac Jones,28/39,382,9.8,2,0,3-18,59.8,119.8
Minnesota Vikings,Kirk Cousins,30/37,299,8.1,3,1,1-9,83.6,116.1
Minnesota Vikings,Justin Jefferson,1/1,11,11.0,0,0,0-0,97.2,112.5
Tampa Bay Buccaneers,Tom Brady,29/43,246,5.7,2,0,3-17,57.1,97.6
Cleveland Browns,Jacoby Brissett,23/37,210,5.7,1,1,4-32,52.8,75.3
Cincinnati Bengals,Joe Burrow,22/37,270,7.3,1,0,1-4,64.0,91.0
Tennessee Titans,Ryan Tannehill,22/34,291,8.6,0,0,1-10,56.2,91.7
Houston Texans,Kyle Allen,26/39,215,5.5,1,2,5-41,4.3,67.8
Miami Dolphins,Tua Tagovailoa,22/36,299,8.3,1,0,4-26,83.8,96.9
Miami Dolphins,Skylar Thompson,1/5,6,1.2,0,0,1-6,0.3,39.6
Chicago Bears,Trevor Siemian,14/25,179,7.2,1,1,2-14,28.4,75.2
New York Jets,Mike White,22/28,315,11.3,3,0,1-7,91.3,149.3
New York Jets,Braden Mann,0/1,0,0.0,0,0,0-0,0.0,39.6
Atlanta Falcons,Marcus Mariota,15/25,174,7.0,1,1,1-9,58.5,77.8
Washington Commanders,Taylor Heinicke,14/23,138,6.0,2,1,0-0,55.7,88.7
Denver Broncos,Russell Wilson,19/35,142,4.1,1,0,3-17,26.2,73.7
Carolina Panthers,Sam Darnold,11/19,164,8.6,1,0,0-0,68.2,103.8
Baltimore Ravens,Lamar Jackson,16/32,254,7.9,1,0,1-1,66.8,87.2
Jacksonville Jaguars,Trevor Lawrence,29/37,321,8.7,3,0,4-27,76.4,129.8
Los Angeles Chargers,Justin Herbert,35/47,274,5.8,3,0,4-28,82.0,109.7
Arizona Cardinals,Kyler Murray,18/29,191,6.6,2,1,1-6,86.0,89.9
Las Vegas Raiders,Derek Carr,25/36,295,8.2,3,2,1-2,82.3,98.7
Seattle Seahawks,Geno Smith,27/37,328,8.9,2,1,3-21,47.0,106.6
Los Angeles Rams,Bryce Perkins,13/23,100,4.3,1,2,3-24,29.6,45.6
Los Angeles Rams,Riley Dixon,1/1,6,6.0,0,0,0-0,--,91.7
Kansas City Chiefs,Patrick Mahomes,27/42,320,7.6,1,1,0-0,69.6,85.4
New Orleans Saints,Andy Dalton,18/29,204,7.0,0,0,1-7,58.3,83.1
New Orleans Saints,Taysom Hill,0/1,0,0.0,0,0,0-0,8.0,39.6
San Francisco 49ers,Jimmy Garoppolo,26/37,222,6.0,1,0,1-1,83.4,94.7
Green Bay Packers,Aaron Rodgers,11/16,140,8.8,2,2,3-17,35.5,95.8
Green Bay Packers,Jordan Love,6/9,113,12.6,1,0,0-0,93.4,146.8
Philadelphia Eagles,Jalen Hurts,16/28,153,5.5,2,0,2-16,90.3,96.3
Pittsburgh Steelers,Kenny Pickett,20/28,174,6.2,0,0,3-23,64.9,87.5
Indianapolis Colts,Matt Ryan,22/34,199,5.9,1,1,3-19,34.7,77.9
