team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Buffalo Bills,Tyler Bass,2/2,100.0,47,2/3,8
Detroit Lions,Michael Badgley,1/2,50.0,51,2/2,5
New York Giants,Graham Gano,2/2,100.0,57,2/2,8
Dallas Cowboys,Brett Maher,0/1,0.0,0,4/4,4
New England Patriots,Nick Folk,4/4,100.0,46,2/2,14
Minnesota Vikings,Greg Joseph,2/2,100.0,36,3/4,9
Tampa Bay Buccaneers,Ryan Succop,1/1,100.0,42,2/2,5
Cleveland Browns,Cade York,1/2,50.0,51,2/2,5
Cincinnati Bengals,Evan McPherson,2/2,100.0,47,2/2,8
Tennessee Titans,Caleb Shudak,3/4,75.0,38,1/1,10
Houston Texans,Ka'imi Fairbairn,1/1,100.0,28,0/0,3
Miami Dolphins,Jason Sanders,3/3,100.0,45,3/3,12
Chicago Bears,Cairo Santos,1/1,100.0,22,1/1,4
New York Jets,Greg Zuerlein,1/2,50.0,57,4/4,7
Atlanta Falcons,Younghoe Koo,2/3,67.0,48,1/1,7
Washington Commanders,Joey Slye,2/2,100.0,45,1/2,7
Denver Broncos,Brandon McManus,1/2,50.0,27,1/1,4
Carolina Panthers,Eddy Pineiro,3/3,100.0,42,2/2,11
Baltimore Ravens,Justin Tucker,4/5,80.0,55,1/1,13
Jacksonville Jaguars,Riley Patterson,2/2,100.0,29,2/2,8
Los Angeles Chargers,Cameron Dicker,1/1,100.0,26,2/2,5
Arizona Cardinals,Matt Prater,1/2,50.0,43,3/3,6
Las Vegas Raiders,Daniel Carlson,2/3,67.0,36,4/4,10
Seattle Seahawks,Jason Myers,2/2,100.0,34,4/4,10
Los Angeles Rams,Matt Gay,1/1,100.0,47,1/1,4
Kansas City Chiefs,Harrison Butker,4/4,100.0,32,2/2,14
New Orleans Saints,Wil Lutz,0/1,0.0,0,0/0,0
San Francisco 49ers,Robbie Gould,2/2,100.0,46,1/1,7
Green Bay Packers,Mason Crosby,2/2,100.0,33,3/4,9
Philadelphia Eagles,Jake Elliott,2/2,100.0,54,4/5,10
Pittsburgh Steelers,Matthew Wright,3/3,100.0,52,1/1,10
Indianapolis Colts,Chase McLaughlin,1/2,50.0,51,2/2,5
