team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Dallas Cowboys,Greg Zuerlein,2/2,100.0,55,3/3,9
New Orleans Saints,Brett Maher,1/2,50.0,42,2/2,5
Tampa Bay Buccaneers,Ryan Succop,1/1,100.0,31,3/4,6
Atlanta Falcons,Younghoe Koo,1/1,100.0,21,2/2,5
Arizona Cardinals,Matt Prater,2/2,100.0,33,3/3,9
Chicago Bears,Cairo Santos,0/0,0.0,0,2/2,2
Los Angeles Chargers,Dustin Hopkins,2/2,100.0,43,3/4,9
Cincinnati Bengals,Evan McPherson,1/1,100.0,48,1/2,4
Minnesota Vikings,Greg Joseph,3/3,100.0,41,0/0,9
Detroit Lions,Riley Patterson,3/3,100.0,49,2/2,11
New York Giants,Graham Gano,3/4,75.0,51,0/0,9
Miami Dolphins,Jason Sanders,2/3,67.0,48,2/2,8
Philadelphia Eagles,Jake Elliott,4/4,100.0,46,3/3,15
New York Jets,Alex Kessman,0/0,0.0,0,0/2,0
Indianapolis Colts,Michael Badgley,1/2,50.0,23,4/4,7
Washington,Brian Johnson,1/1,100.0,48,2/2,5
Las Vegas Raiders,Daniel Carlson,3/3,100.0,52,0/0,9
Jacksonville Jaguars,Matthew Wright,0/0,0.0,0,1/1,1
Los Angeles Rams,Matt Gay,3/3,100.0,44,4/4,13
Baltimore Ravens,Justin Tucker,2/2,100.0,35,1/1,7
Pittsburgh Steelers,Chris Boswell,2/2,100.0,53,0/1,6
San Francisco 49ers,Robbie Gould,1/1,100.0,50,2/3,5
Seattle Seahawks,Jason Myers,0/1,0.0,0,4/4,4
Denver Broncos,Brandon McManus,1/1,100.0,42,0/0,3
Kansas City Chiefs,Harrison Butker,3/3,100.0,56,1/2,10
New England Patriots,Nick Folk,2/2,100.0,41,0/0,6
Buffalo Bills,Tyler Bass,1/2,50.0,35,1/1,4
