team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Dallas Cowboys,Dak Prescott,26/40,238,6.0,1,1,1-7,50.6,79.0
New Orleans Saints,Taysom Hill,19/41,264,6.4,2,4,2-12,35.0,44.2
Tampa Bay Buccaneers,Tom Brady,38/51,368,7.2,4,1,0-0,85.9,112.2
Atlanta Falcons,Matt Ryan,30/41,297,7.2,0,0,5-38,32.8,93.2
Arizona Cardinals,Kyler Murray,11/15,123,8.2,2,0,1-3,88.3,136.9
Chicago Bears,Andy Dalton,26/41,229,5.6,2,4,3-12,9.2,54.9
Los Angeles Chargers,Justin Herbert,26/35,317,9.1,3,1,4-33,83.7,118.4
Cincinnati Bengals,Joe Burrow,24/40,300,7.5,1,2,6-40,37.4,70.8
Minnesota Vikings,Kirk Cousins,30/40,340,8.5,2,0,3-14,56.3,116.7
Minnesota Vikings,Justin Jefferson,0/1,0,0.0,0,0,0-0,2.2,39.6
Detroit Lions,Jared Goff,25/41,296,7.2,3,1,3-24,55.9,97.2
New York Giants,Mike Glennon,23/44,187,4.3,0,1,3-28,26.4,53.9
Miami Dolphins,Tua Tagovailoa,30/41,244,6.0,2,0,2-15,72.2,104.1
Philadelphia Eagles,Gardner Minshew,20/25,242,9.7,2,0,2-9,80.6,133.7
New York Jets,Zach Wilson,23/38,226,5.9,2,1,2-15,43.2,83.9
Indianapolis Colts,Carson Wentz,16/22,158,7.2,1,0,1-7,84.7,107.8
Houston Texans,Davis Mills,6/14,49,3.5,0,0,2-13,7.7,52.4
Houston Texans,Tyrod Taylor,5/13,45,3.5,0,1,2-24,3.4,16.5
Washington,Taylor Heinicke,23/30,196,6.5,2,1,1-10,68.8,101.5
Las Vegas Raiders,Derek Carr,28/38,249,6.6,0,0,2-15,41.0,90.8
Jacksonville Jaguars,Trevor Lawrence,16/28,145,5.2,0,0,2-9,39.0,71.3
Los Angeles Rams,Matthew Stafford,26/38,295,7.8,3,0,1-5,67.7,117.8
Baltimore Ravens,Lamar Jackson,23/37,253,6.8,1,1,7-34,55.4,80.1
Pittsburgh Steelers,Ben Roethlisberger,21/31,236,7.6,2,0,1-0,64.9,111.8
San Francisco 49ers,Jimmy Garoppolo,20/30,299,10.0,2,2,1-5,40.9,93.6
Seattle Seahawks,Russell Wilson,30/37,231,6.2,2,1,4-50,36.8,99.4
Denver Broncos,Teddy Bridgewater,22/40,257,6.4,1,2,1-7,27.4,62.2
Kansas City Chiefs,Patrick Mahomes,15/29,184,6.3,0,1,1-6,44.9,57.3
New England Patriots,Mac Jones,2/3,19,6.3,0,0,0-0,5.0,84.0
Buffalo Bills,Josh Allen,15/30,145,4.8,1,0,2-14,19.4,75.0
