team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Pittsburgh Steelers,Chris Boswell,1/1,100.0,25,2/2,5
Baltimore Ravens,Justin Tucker,1/1,100.0,36,1/1,4
Houston Texans,Ka'imi Fairbairn,1/1,100.0,51,2/3,5
Indianapolis Colts,Matt Gay,3/4,75.0,52,0/0,9
Cleveland Browns,Riley Patterson,0/0,0.0,0,2/2,2
Cincinnati Bengals,Evan McPherson,1/1,100.0,45,4/4,7
Minnesota Vikings,Greg Joseph,2/2,100.0,43,2/2,8
Detroit Lions,Michael Badgley,1/1,100.0,39,3/4,6
Jacksonville Jaguars,Brandon McManus,2/2,100.0,44,2/2,8
Tennessee Titans,Nick Folk,0/0,0.0,0,4/4,4
New York Jets,Greg Zuerlein,3/4,75.0,40,0/0,9
New England Patriots,Chad Ryland,1/1,100.0,30,0/0,3
Atlanta Falcons,Younghoe Koo,1/1,100.0,30,2/2,5
New Orleans Saints,Blake Grupe,2/2,100.0,24,6/6,12
Tampa Bay Buccaneers,Chase McLaughlin,3/3,100.0,57,0/0,9
Carolina Panthers,Matthew Wright,0/1,0.0,0,0/0,0
Chicago Bears,Cairo Santos,3/3,100.0,50,0/0,9
Green Bay Packers,Anders Carlson,1/2,50.0,25,2/2,5
Denver Broncos,Wil Lutz,0/0,0.0,0,2/2,2
Las Vegas Raiders,Daniel Carlson,2/2,100.0,49,3/3,9
Philadelphia Eagles,Jake Elliott,1/1,100.0,36,1/1,4
New York Giants,Mason Crosby,2/3,67.0,24,3/3,9
Seattle Seahawks,Jason Myers,2/2,100.0,33,1/1,7
Arizona Cardinals,Matt Prater,2/4,50.0,34,2/2,8
Kansas City Chiefs,Harrison Butker,2/2,100.0,41,1/1,7
Los Angeles Chargers,Cameron Dicker,4/4,100.0,49,0/0,12
Los Angeles Rams,Brett Maher,0/0,0.0,0,1/2,1
San Francisco 49ers,Jake Moody,0/1,0.0,0,2/3,2
Dallas Cowboys,Brandon Aubrey,1/3,33.0,50,5/5,8
Washington Commanders,Joey Slye,1/1,100.0,36,1/1,4
Buffalo Bills,Tyler Bass,0/0,0.0,0,3/3,3
Miami Dolphins,Jason Sanders,0/0,0.0,0,2/2,2
