team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Pittsburgh Steelers,Mason Rudolph,18/20,152,7.6,1,0,3-18,66.2,115.0
Baltimore Ravens,Tyler Huntley,15/28,146,5.2,1,0,4-28,53.5,80.4
Houston Texans,C.J. Stroud,20/26,264,10.2,2,0,2-18,88.3,134.1
Indianapolis Colts,Gardner Minshew,13/24,141,5.9,0,0,1-8,45.7,71.7
Cleveland Browns,Jeff Driskel,13/26,166,6.4,2,2,3-26,4.1,63.9
Cincinnati Bengals,Jake Browning,18/24,156,6.5,3,1,2-22,81.2,113.9
Cincinnati Bengals,AJ McCarron,3/4,20,5.0,0,0,1-9,6.0,85.4
Minnesota Vikings,Nick Mullens,30/44,396,9.0,2,2,4-37,71.6,92.6
Detroit Lions,Jared Goff,23/32,320,10.0,2,0,1-9,88.1,124.5
Jacksonville Jaguars,Trevor Lawrence,29/43,280,6.5,2,2,0-0,42.5,81.5
Tennessee Titans,Ryan Tannehill,17/26,168,6.5,2,1,2-16,53.2,93.1
Tennessee Titans,DeAndre Hopkins,0/1,0,0.0,0,0,0-0,17.2,39.6
New York Jets,Trevor Siemian,8/20,70,3.5,0,0,1-1,10.3,50.0
New England Patriots,Bailey Zappe,12/30,88,2.9,0,2,7-57,1.9,20.1
Atlanta Falcons,Desmond Ridder,22/30,291,9.7,2,1,0-0,62.7,111.9
Atlanta Falcons,Logan Woodside,3/4,27,6.8,0,1,1-7,4.4,53.1
New Orleans Saints,Derek Carr,22/28,264,9.4,4,0,2-17,88.4,145.5
New Orleans Saints,Taysom Hill,0/0,0,0.0,0,0,1-1,68.0,0.0
Tampa Bay Buccaneers,Baker Mayfield,20/32,137,4.3,0,0,3-22,43.1,72.0
Carolina Panthers,Bryce Young,11/18,94,5.2,0,0,3-26,39.7,74.8
Chicago Bears,Justin Fields,11/16,148,9.3,0,0,5-31,58.1,97.9
Green Bay Packers,Jordan Love,27/32,316,9.9,2,0,1-8,73.9,128.6
Denver Broncos,Jarrett Stidham,20/34,272,8.0,1,1,5-34,30.3,82.0
Las Vegas Raiders,Aidan O'Connell,20/31,244,7.9,2,0,2-14,74.7,110.1
Las Vegas Raiders,Jimmy Garoppolo,0/1,0,0.0,0,0,1-0,0.4,39.6
Philadelphia Eagles,Marcus Mariota,13/20,148,7.4,1,1,3-11,62.5,82.9
Philadelphia Eagles,Jalen Hurts,7/16,55,3.4,0,1,2-26,13.5,26.8
New York Giants,Tyrod Taylor,23/32,297,9.3,1,1,1-5,47.4,98.0
New York Giants,Tommy DeVito,2/2,14,7.0,0,0,1-0,34.5,95.8
Seattle Seahawks,Geno Smith,16/28,189,6.8,2,0,0-0,74.3,101.6
Arizona Cardinals,Kyler Murray,22/30,262,8.7,1,0,1-2,53.1,110.7
Kansas City Chiefs,Blaine Gabbert,15/30,154,5.1,0,1,1-9,51.5,51.2
Los Angeles Chargers,Easton Stick,28/47,258,5.5,0,0,3-23,68.0,74.6
Los Angeles Rams,Carson Wentz,17/24,163,6.8,2,1,2-14,89.9,99.8
San Francisco 49ers,Sam Darnold,16/26,189,7.3,1,0,3-14,54.0,96.5
Dallas Cowboys,Dak Prescott,31/36,279,7.8,4,1,0-0,94.7,124.4
Dallas Cowboys,Cooper Rush,3/4,30,7.5,0,0,0-0,84.6,95.8
Washington Commanders,Sam Howell,19/27,153,5.7,1,2,4-27,31.7,65.8
Washington Commanders,Dyami Brown,1/1,4,4.0,0,0,0-0,2.2,83.3
Buffalo Bills,Josh Allen,30/38,359,9.4,2,2,3-14,70.2,101.6
Miami Dolphins,Tua Tagovailoa,17/27,173,6.4,1,2,0-0,73.1,62.7
Miami Dolphins,De'Von Achane,0/0,0,0.0,0,0,1-6,0.1,0.0
